Category: All categories

Month,10 Guy: (Worldwide)
2004-01,66
2004-02,55
2004-03,49
2004-04,50
2004-05,46
2004-06,45
2004-07,44
2004-08,35
2004-09,39
2004-10,42
2004-11,49
2004-12,36
2005-01,46
2005-02,42
2005-03,47
2005-04,42
2005-05,39
2005-06,34
2005-07,36
2005-08,34
2005-09,35
2005-10,32
2005-11,56
2005-12,50
2006-01,51
2006-02,40
2006-03,47
2006-04,42
2006-05,44
2006-06,31
2006-07,50
2006-08,32
2006-09,32
2006-10,29
2006-11,30
2006-12,50
2007-01,35
2007-02,45
2007-03,33
2007-04,42
2007-05,37
2007-06,31
2007-07,33
2007-08,26
2007-09,34
2007-10,33
2007-11,33
2007-12,39
2008-01,46
2008-02,45
2008-03,41
2008-04,39
2008-05,38
2008-06,31
2008-07,35
2008-08,32
2008-09,33
2008-10,28
2008-11,35
2008-12,36
2009-01,34
2009-02,39
2009-03,39
2009-04,42
2009-05,42
2009-06,38
2009-07,41
2009-08,44
2009-09,37
2009-10,40
2009-11,46
2009-12,50
2010-01,51
2010-02,46
2010-03,42
2010-04,53
2010-05,53
2010-06,43
2010-07,46
2010-08,41
2010-09,37
2010-10,41
2010-11,44
2010-12,43
2011-01,47
2011-02,47
2011-03,43
2011-04,44
2011-05,67
2011-06,47
2011-07,51
2011-08,55
2011-09,64
2011-10,82
2011-11,86
2011-12,80
2012-01,80
2012-02,80
2012-03,75
2012-04,75
2012-05,81
2012-06,73
2012-07,70
2012-08,73
2012-09,66
2012-10,66
2012-11,61
2012-12,57
2013-01,71
2013-02,62
2013-03,59
2013-04,53
2013-05,51
2013-06,52
2013-07,48
2013-08,52
2013-09,48
2013-10,48
2013-11,48
2013-12,55
2014-01,51
2014-02,53
2014-03,54
2014-04,48
2014-05,47
2014-06,46
2014-07,46
2014-08,50
2014-09,45
2014-10,44
2014-11,44
2014-12,43
2015-01,42
2015-02,48
2015-03,39
2015-04,41
2015-05,39
2015-06,42
2015-07,44
2015-08,44
2015-09,45
2015-10,40
2015-11,40
2015-12,41
2016-01,39
2016-02,38
2016-03,36
2016-04,37
2016-05,34
2016-06,37
2016-07,39
2016-08,36
2016-09,38
2016-10,47
2016-11,40
2016-12,39
2017-01,50
2017-02,40
2017-03,36
2017-04,39
2017-05,39
2017-06,40
2017-07,35
2017-08,35
2017-09,27
2017-10,30
2017-11,33
2017-12,29
2018-01,42
2018-02,37
2018-03,33
2018-04,34
2018-05,30
2018-06,32
2018-07,34
2018-08,29
2018-09,30
2018-10,26
2018-11,30
2018-12,31
2019-01,25
2019-02,30
2019-03,23
2019-04,21
2019-05,21
2019-06,22
2019-07,20
2019-08,24
2019-09,28
2019-10,25
2019-11,26
2019-12,27
2020-01,27
2020-02,29
2020-03,28
2020-04,35
2020-05,31
2020-06,28
2020-07,32
2020-08,32
2020-09,27
2020-10,27
2020-11,29
2020-12,29
2021-01,32
2021-02,35
2021-03,29
2021-04,31
2021-05,30
2021-06,31
2021-07,27
2021-08,31
2021-09,37
2021-10,30
2021-11,28
2021-12,33
2022-01,35
2022-02,37
2022-03,33
2022-04,32
2022-05,33
2022-06,36
2022-07,36
2022-08,35
2022-09,34
2022-10,45
2022-11,38
2022-12,92
2023-01,59
2023-02,50
2023-03,37
2023-04,46
2023-05,39
2023-06,46
2023-07,51
2023-08,44
2023-09,42
2023-10,54
2023-11,49
2023-12,51
2024-01,65
2024-02,72
2024-03,58
2024-04,52
2024-05,57
2024-06,56
2024-07,55
2024-08,67
2024-09,91
2024-10,66
2024-11,83
2024-12,73
2025-01,83
2025-02,100
