Category: All categories

Month,Arthur Fist: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,1
2010-11,1
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,1
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,1
2016-05,0
2016-06,0
2016-07,13
2016-08,100
2016-09,49
2016-10,56
2016-11,52
2016-12,31
2017-01,25
2017-02,28
2017-03,27
2017-04,17
2017-05,18
2017-06,15
2017-07,14
2017-08,14
2017-09,14
2017-10,17
2017-11,27
2017-12,20
2018-01,15
2018-02,16
2018-03,17
2018-04,17
2018-05,19
2018-06,19
2018-07,15
2018-08,13
2018-09,16
2018-10,19
2018-11,15
2018-12,13
2019-01,11
2019-02,16
2019-03,12
2019-04,13
2019-05,19
2019-06,16
2019-07,12
2019-08,11
2019-09,14
2019-10,15
2019-11,14
2019-12,11
2020-01,10
2020-02,12
2020-03,13
2020-04,12
2020-05,10
2020-06,10
2020-07,11
2020-08,10
2020-09,10
2020-10,12
2020-11,10
2020-12,11
2021-01,11
2021-02,10
2021-03,10
2021-04,10
2021-05,10
2021-06,9
2021-07,10
2021-08,10
2021-09,10
2021-10,12
2021-11,12
2021-12,10
2022-01,12
2022-02,13
2022-03,11
2022-04,11
2022-05,10
2022-06,10
2022-07,10
2022-08,9
2022-09,9
2022-10,11
2022-11,10
2022-12,10
2023-01,10
2023-02,13
2023-03,9
2023-04,9
2023-05,9
2023-06,9
2023-07,8
2023-08,8
2023-09,10
2023-10,11
2023-11,9
2023-12,10
2024-01,9
2024-02,10
2024-03,15
2024-04,11
2024-05,13
2024-06,9
2024-07,10
2024-08,10
2024-09,10
2024-10,12
2024-11,12
2024-12,12
2025-01,11
2025-02,12
