Category: All categories

Month,batman signal: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,40
2005-03,30
2005-04,0
2005-05,0
2005-06,31
2005-07,0
2005-08,0
2005-09,0
2005-10,23
2005-11,24
2005-12,0
2006-01,0
2006-02,0
2006-03,14
2006-04,0
2006-05,18
2006-06,0
2006-07,0
2006-08,14
2006-09,14
2006-10,17
2006-11,12
2006-12,0
2007-01,11
2007-02,0
2007-03,0
2007-04,0
2007-05,9
2007-06,8
2007-07,9
2007-08,12
2007-09,8
2007-10,15
2007-11,14
2007-12,11
2008-01,9
2008-02,12
2008-03,0
2008-04,9
2008-05,9
2008-06,14
2008-07,36
2008-08,17
2008-09,18
2008-10,22
2008-11,11
2008-12,13
2009-01,8
2009-02,13
2009-03,15
2009-04,10
2009-05,9
2009-06,11
2009-07,5
2009-08,14
2009-09,14
2009-10,21
2009-11,13
2009-12,15
2010-01,11
2010-02,8
2010-03,12
2010-04,12
2010-05,11
2010-06,13
2010-07,13
2010-08,11
2010-09,8
2010-10,13
2010-11,10
2010-12,12
2011-01,11
2011-02,13
2011-03,12
2011-04,14
2011-05,12
2011-06,11
2011-07,15
2011-08,17
2011-09,17
2011-10,31
2011-11,25
2011-12,26
2012-01,25
2012-02,21
2012-03,36
2012-04,30
2012-05,24
2012-06,27
2012-07,53
2012-08,48
2012-09,40
2012-10,38
2012-11,27
2012-12,39
2013-01,28
2013-02,25
2013-03,29
2013-04,30
2013-05,26
2013-06,24
2013-07,23
2013-08,28
2013-09,30
2013-10,41
2013-11,41
2013-12,33
2014-01,29
2014-02,27
2014-03,31
2014-04,28
2014-05,30
2014-06,30
2014-07,28
2014-08,35
2014-09,30
2014-10,41
2014-11,31
2014-12,30
2015-01,28
2015-02,27
2015-03,30
2015-04,29
2015-05,30
2015-06,33
2015-07,39
2015-08,37
2015-09,35
2015-10,44
2015-11,29
2015-12,30
2016-01,25
2016-02,28
2016-03,37
2016-04,34
2016-05,26
2016-06,26
2016-07,27
2016-08,27
2016-09,30
2016-10,30
2016-11,25
2016-12,22
2017-01,24
2017-02,27
2017-03,25
2017-04,23
2017-05,21
2017-06,60
2017-07,30
2017-08,28
2017-09,24
2017-10,33
2017-11,27
2017-12,28
2018-01,36
2018-02,25
2018-03,23
2018-04,24
2018-05,21
2018-06,19
2018-07,19
2018-08,21
2018-09,22
2018-10,22
2018-11,19
2018-12,18
2019-01,17
2019-02,18
2019-03,18
2019-04,18
2019-05,16
2019-06,18
2019-07,18
2019-08,19
2019-09,100
2019-10,27
2019-11,21
2019-12,16
2020-01,15
2020-02,17
2020-03,17
2020-04,20
2020-05,18
2020-06,21
2020-07,18
2020-08,20
2020-09,18
2020-10,18
2020-11,14
2020-12,16
2021-01,16
2021-02,12
2021-03,15
2021-04,15
2021-05,15
2021-06,15
2021-07,15
2021-08,19
2021-09,17
2021-10,20
2021-11,16
2021-12,14
2022-01,16
2022-02,41
2022-03,53
2022-04,32
2022-05,26
2022-06,20
2022-07,20
2022-08,22
2022-09,20
2022-10,22
2022-11,21
2022-12,20
2023-01,20
2023-02,22
2023-03,23
2023-04,25
2023-05,23
2023-06,25
2023-07,25
2023-08,25
2023-09,25
2023-10,35
2023-11,32
2023-12,25
2024-01,25
2024-02,26
2024-03,25
2024-04,27
2024-05,22
2024-06,20
2024-07,21
2024-08,28
2024-09,27
2024-10,33
2024-11,33
2024-12,32
2025-01,30
2025-02,26
