Category: All categories

Month,Rick and Carl: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,12
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,4
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,6
2012-04,0
2012-05,0
2012-06,0
2012-07,4
2012-08,4
2012-09,0
2012-10,7
2012-11,13
2012-12,9
2013-01,6
2013-02,12
2013-03,16
2013-04,13
2013-05,5
2013-06,5
2013-07,10
2013-08,6
2013-09,5
2013-10,14
2013-11,16
2013-12,30
2014-01,17
2014-02,47
2014-03,33
2014-04,23
2014-05,18
2014-06,22
2014-07,72
2014-08,44
2014-09,39
2014-10,100
2014-11,63
2014-12,44
2015-01,32
2015-02,43
2015-03,48
2015-04,42
2015-05,29
2015-06,28
2015-07,31
2015-08,40
2015-09,30
2015-10,64
2015-11,48
2015-12,46
2016-01,28
2016-02,75
2016-03,46
2016-04,43
2016-05,26
2016-06,24
2016-07,27
2016-08,20
2016-09,23
2016-10,61
2016-11,50
2016-12,34
2017-01,24
2017-02,25
2017-03,23
2017-04,32
2017-05,19
2017-06,16
2017-07,16
2017-08,17
2017-09,20
2017-10,29
2017-11,21
2017-12,31
2018-01,15
2018-02,25
2018-03,18
2018-04,16
2018-05,11
2018-06,13
2018-07,8
2018-08,10
2018-09,11
2018-10,15
2018-11,19
2018-12,12
2019-01,9
2019-02,12
2019-03,13
2019-04,13
2019-05,8
2019-06,9
2019-07,10
2019-08,8
2019-09,12
2019-10,14
2019-11,13
2019-12,9
2020-01,9
2020-02,9
2020-03,17
2020-04,19
2020-05,13
2020-06,12
2020-07,11
2020-08,12
2020-09,12
2020-10,14
2020-11,10
2020-12,12
2021-01,13
2021-02,14
2021-03,17
2021-04,12
2021-05,13
2021-06,16
2021-07,17
2021-08,25
2021-09,12
2021-10,14
2021-11,10
2021-12,9
2022-01,14
2022-02,15
2022-03,15
2022-04,14
2022-05,11
2022-06,11
2022-07,13
2022-08,14
2022-09,13
2022-10,16
2022-11,21
2022-12,21
2023-01,33
2023-02,27
2023-03,18
2023-04,20
2023-05,14
2023-06,17
2023-07,18
2023-08,19
2023-09,15
2023-10,16
2023-11,16
2023-12,13
2024-01,18
2024-02,24
2024-03,21
2024-04,22
2024-05,15
2024-06,17
2024-07,15
2024-08,15
2024-09,15
2024-10,14
2024-11,15
2024-12,16
2025-01,18
2025-02,19
