Category: All categories

Month,Dancing monkeys: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,58
2004-06,72
2004-07,49
2004-08,0
2004-09,38
2004-10,56
2004-11,0
2004-12,39
2005-01,38
2005-02,56
2005-03,53
2005-04,0
2005-05,41
2005-06,31
2005-07,50
2005-08,43
2005-09,46
2005-10,39
2005-11,44
2005-12,51
2006-01,63
2006-02,87
2006-03,100
2006-04,75
2006-05,50
2006-06,54
2006-07,73
2006-08,63
2006-09,51
2006-10,71
2006-11,55
2006-12,41
2007-01,51
2007-02,65
2007-03,58
2007-04,55
2007-05,55
2007-06,44
2007-07,52
2007-08,43
2007-09,56
2007-10,96
2007-11,68
2007-12,61
2008-01,54
2008-02,47
2008-03,50
2008-04,55
2008-05,44
2008-06,42
2008-07,25
2008-08,32
2008-09,36
2008-10,35
2008-11,38
2008-12,31
2009-01,42
2009-02,50
2009-03,38
2009-04,40
2009-05,43
2009-06,34
2009-07,43
2009-08,38
2009-09,34
2009-10,39
2009-11,39
2009-12,37
2010-01,36
2010-02,43
2010-03,39
2010-04,41
2010-05,40
2010-06,24
2010-07,23
2010-08,29
2010-09,33
2010-10,30
2010-11,27
2010-12,34
2011-01,30
2011-02,32
2011-03,29
2011-04,27
2011-05,33
2011-06,34
2011-07,34
2011-08,28
2011-09,26
2011-10,29
2011-11,30
2011-12,29
2012-01,28
2012-02,29
2012-03,30
2012-04,25
2012-05,25
2012-06,19
2012-07,23
2012-08,21
2012-09,22
2012-10,22
2012-11,20
2012-12,25
2013-01,24
2013-02,27
2013-03,24
2013-04,21
2013-05,22
2013-06,29
2013-07,29
2013-08,29
2013-09,33
2013-10,34
2013-11,36
2013-12,30
2014-01,29
2014-02,30
2014-03,35
2014-04,29
2014-05,29
2014-06,32
2014-07,35
2014-08,31
2014-09,28
2014-10,26
2014-11,28
2014-12,25
2015-01,26
2015-02,25
2015-03,27
2015-04,21
2015-05,24
2015-06,21
2015-07,21
2015-08,20
2015-09,19
2015-10,19
2015-11,23
2015-12,32
2016-01,28
2016-02,30
2016-03,22
2016-04,23
2016-05,21
2016-06,17
2016-07,17
2016-08,16
2016-09,18
2016-10,17
2016-11,21
2016-12,16
2017-01,17
2017-02,14
2017-03,18
2017-04,18
2017-05,16
2017-06,15
2017-07,59
2017-08,23
2017-09,13
2017-10,13
2017-11,17
2017-12,13
2018-01,14
2018-02,14
2018-03,13
2018-04,12
2018-05,13
2018-06,12
2018-07,12
2018-08,10
2018-09,15
2018-10,13
2018-11,12
2018-12,13
2019-01,13
2019-02,12
2019-03,14
2019-04,13
2019-05,11
2019-06,10
2019-07,12
2019-08,14
2019-09,17
2019-10,22
2019-11,21
2019-12,29
2020-01,25
2020-02,23
2020-03,24
2020-04,19
2020-05,19
2020-06,15
2020-07,16
2020-08,12
2020-09,12
2020-10,12
2020-11,13
2020-12,15
2021-01,13
2021-02,16
2021-03,12
2021-04,12
2021-05,12
2021-06,11
2021-07,10
2021-08,11
2021-09,12
2021-10,9
2021-11,13
2021-12,11
2022-01,13
2022-02,11
2022-03,14
2022-04,14
2022-05,17
2022-06,13
2022-07,15
2022-08,13
2022-09,17
2022-10,17
2022-11,15
2022-12,15
2023-01,14
2023-02,18
2023-03,16
2023-04,19
2023-05,17
2023-06,15
2023-07,13
2023-08,15
2023-09,15
2023-10,13
2023-11,16
2023-12,14
2024-01,16
2024-02,19
2024-03,16
2024-04,15
2024-05,14
2024-06,14
2024-07,12
2024-08,14
2024-09,14
2024-10,13
2024-11,17
2024-12,14
2025-01,11
2025-02,16
