Category: All categories

Month,Milk carton: (Worldwide)
2004-01,58
2004-02,57
2004-03,59
2004-04,62
2004-05,69
2004-06,39
2004-07,39
2004-08,36
2004-09,47
2004-10,76
2004-11,52
2004-12,49
2005-01,53
2005-02,53
2005-03,51
2005-04,47
2005-05,48
2005-06,51
2005-07,34
2005-08,40
2005-09,46
2005-10,63
2005-11,49
2005-12,56
2006-01,47
2006-02,52
2006-03,54
2006-04,47
2006-05,54
2006-06,50
2006-07,37
2006-08,39
2006-09,47
2006-10,54
2006-11,47
2006-12,38
2007-01,41
2007-02,37
2007-03,41
2007-04,44
2007-05,43
2007-06,37
2007-07,34
2007-08,29
2007-09,39
2007-10,44
2007-11,46
2007-12,40
2008-01,36
2008-02,40
2008-03,41
2008-04,46
2008-05,43
2008-06,33
2008-07,38
2008-08,35
2008-09,48
2008-10,50
2008-11,41
2008-12,41
2009-01,38
2009-02,43
2009-03,42
2009-04,44
2009-05,43
2009-06,34
2009-07,34
2009-08,33
2009-09,46
2009-10,48
2009-11,39
2009-12,38
2010-01,38
2010-02,41
2010-03,44
2010-04,53
2010-05,44
2010-06,32
2010-07,32
2010-08,33
2010-09,38
2010-10,42
2010-11,39
2010-12,37
2011-01,38
2011-02,34
2011-03,39
2011-04,48
2011-05,43
2011-06,38
2011-07,41
2011-08,41
2011-09,44
2011-10,62
2011-11,46
2011-12,46
2012-01,42
2012-02,47
2012-03,51
2012-04,77
2012-05,60
2012-06,48
2012-07,53
2012-08,47
2012-09,53
2012-10,59
2012-11,56
2012-12,50
2013-01,52
2013-02,55
2013-03,63
2013-04,66
2013-05,57
2013-06,49
2013-07,49
2013-08,49
2013-09,60
2013-10,61
2013-11,58
2013-12,61
2014-01,62
2014-02,69
2014-03,58
2014-04,63
2014-05,59
2014-06,51
2014-07,60
2014-08,52
2014-09,53
2014-10,62
2014-11,52
2014-12,53
2015-01,51
2015-02,49
2015-03,54
2015-04,56
2015-05,65
2015-06,51
2015-07,53
2015-08,53
2015-09,64
2015-10,64
2015-11,63
2015-12,56
2016-01,57
2016-02,56
2016-03,52
2016-04,55
2016-05,57
2016-06,49
2016-07,45
2016-08,48
2016-09,54
2016-10,64
2016-11,41
2016-12,47
2017-01,50
2017-02,52
2017-03,51
2017-04,49
2017-05,52
2017-06,42
2017-07,42
2017-08,43
2017-09,50
2017-10,54
2017-11,51
2017-12,49
2018-01,48
2018-02,50
2018-03,52
2018-04,54
2018-05,53
2018-06,48
2018-07,44
2018-08,40
2018-09,49
2018-10,56
2018-11,49
2018-12,53
2019-01,55
2019-02,54
2019-03,51
2019-04,55
2019-05,49
2019-06,48
2019-07,40
2019-08,46
2019-09,49
2019-10,55
2019-11,54
2019-12,57
2020-01,51
2020-02,65
2020-03,79
2020-04,100
2020-05,68
2020-06,58
2020-07,51
2020-08,57
2020-09,54
2020-10,51
2020-11,46
2020-12,44
2021-01,47
2021-02,43
2021-03,46
2021-04,48
2021-05,50
2021-06,52
2021-07,48
2021-08,49
2021-09,47
2021-10,48
2021-11,48
2021-12,47
2022-01,47
2022-02,50
2022-03,55
2022-04,58
2022-05,51
2022-06,44
2022-07,42
2022-08,48
2022-09,53
2022-10,56
2022-11,50
2022-12,49
2023-01,50
2023-02,50
2023-03,51
2023-04,48
2023-05,50
2023-06,40
2023-07,43
2023-08,46
2023-09,50
2023-10,53
2023-11,51
2023-12,48
2024-01,57
2024-02,52
2024-03,51
2024-04,50
2024-05,51
2024-06,61
2024-07,45
2024-08,62
2024-09,62
2024-10,78
2024-11,55
2024-12,63
2025-01,64
2025-02,82
