Category: All categories

Month,I Was Told There Would Be: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,21
2008-04,30
2008-05,19
2008-06,19
2008-07,0
2008-08,14
2008-09,14
2008-10,0
2008-11,15
2008-12,10
2009-01,13
2009-02,9
2009-03,10
2009-04,0
2009-05,11
2009-06,9
2009-07,9
2009-08,10
2009-09,9
2009-10,8
2009-11,7
2009-12,11
2010-01,9
2010-02,10
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,14
2010-08,11
2010-09,10
2010-10,10
2010-11,12
2010-12,9
2011-01,8
2011-02,12
2011-03,9
2011-04,12
2011-05,8
2011-06,7
2011-07,9
2011-08,9
2011-09,5
2011-10,17
2011-11,9
2011-12,9
2012-01,5
2012-02,5
2012-03,7
2012-04,12
2012-05,10
2012-06,7
2012-07,7
2012-08,8
2012-09,6
2012-10,7
2012-11,8
2012-12,7
2013-01,7
2013-02,7
2013-03,8
2013-04,8
2013-05,15
2013-06,11
2013-07,11
2013-08,13
2013-09,9
2013-10,15
2013-11,17
2013-12,16
2014-01,10
2014-02,14
2014-03,12
2014-04,12
2014-05,8
2014-06,16
2014-07,14
2014-08,11
2014-09,15
2014-10,8
2014-11,12
2014-12,9
2015-01,8
2015-02,8
2015-03,12
2015-04,10
2015-05,9
2015-06,10
2015-07,12
2015-08,11
2015-09,13
2015-10,12
2015-11,8
2015-12,9
2016-01,10
2016-02,17
2016-03,13
2016-04,16
2016-05,21
2016-06,17
2016-07,18
2016-08,13
2016-09,14
2016-10,17
2016-11,20
2016-12,19
2017-01,21
2017-02,23
2017-03,24
2017-04,22
2017-05,29
2017-06,21
2017-07,19
2017-08,16
2017-09,23
2017-10,22
2017-11,20
2017-12,16
2018-01,33
2018-02,19
2018-03,23
2018-04,27
2018-05,23
2018-06,17
2018-07,20
2018-08,19
2018-09,23
2018-10,20
2018-11,19
2018-12,20
2019-01,22
2019-02,23
2019-03,35
2019-04,35
2019-05,35
2019-06,25
2019-07,22
2019-08,24
2019-09,31
2019-10,32
2019-11,31
2019-12,29
2020-01,29
2020-02,35
2020-03,33
2020-04,45
2020-05,47
2020-06,48
2020-07,36
2020-08,29
2020-09,48
2020-10,46
2020-11,44
2020-12,45
2021-01,43
2021-02,53
2021-03,57
2021-04,55
2021-05,60
2021-06,57
2021-07,43
2021-08,39
2021-09,58
2021-10,61
2021-11,61
2021-12,65
2022-01,57
2022-02,68
2022-03,82
2022-04,73
2022-05,69
2022-06,63
2022-07,47
2022-08,48
2022-09,66
2022-10,65
2022-11,69
2022-12,63
2023-01,66
2023-02,79
2023-03,84
2023-04,81
2023-05,90
2023-06,60
2023-07,34
2023-08,39
2023-09,56
2023-10,61
2023-11,59
2023-12,55
2024-01,63
2024-02,72
2024-03,71
2024-04,77
2024-05,67
2024-06,73
2024-07,52
2024-08,58
2024-09,85
2024-10,97
2024-11,81
2024-12,81
2025-01,85
2025-02,100
2025-03,50
