Category: All categories

Month,money smell: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,55
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,30
2006-06,0
2006-07,26
2006-08,28
2006-09,0
2006-10,26
2006-11,20
2006-12,29
2007-01,0
2007-02,0
2007-03,0
2007-04,20
2007-05,35
2007-06,45
2007-07,69
2007-08,46
2007-09,84
2007-10,69
2007-11,62
2007-12,42
2008-01,34
2008-02,51
2008-03,54
2008-04,47
2008-05,33
2008-06,43
2008-07,36
2008-08,42
2008-09,34
2008-10,39
2008-11,36
2008-12,28
2009-01,44
2009-02,27
2009-03,45
2009-04,36
2009-05,45
2009-06,33
2009-07,33
2009-08,37
2009-09,39
2009-10,40
2009-11,37
2009-12,48
2010-01,52
2010-02,46
2010-03,49
2010-04,82
2010-05,75
2010-06,65
2010-07,63
2010-08,46
2010-09,53
2010-10,48
2010-11,49
2010-12,51
2011-01,54
2011-02,55
2011-03,47
2011-04,44
2011-05,38
2011-06,46
2011-07,46
2011-08,60
2011-09,46
2011-10,45
2011-11,38
2011-12,48
2012-01,43
2012-02,59
2012-03,40
2012-04,52
2012-05,47
2012-06,45
2012-07,44
2012-08,40
2012-09,44
2012-10,39
2012-11,47
2012-12,43
2013-01,47
2013-02,44
2013-03,42
2013-04,48
2013-05,43
2013-06,43
2013-07,43
2013-08,42
2013-09,57
2013-10,42
2013-11,48
2013-12,46
2014-01,55
2014-02,50
2014-03,44
2014-04,51
2014-05,44
2014-06,48
2014-07,53
2014-08,53
2014-09,44
2014-10,48
2014-11,43
2014-12,43
2015-01,48
2015-02,51
2015-03,42
2015-04,49
2015-05,44
2015-06,44
2015-07,53
2015-08,49
2015-09,63
2015-10,50
2015-11,50
2015-12,46
2016-01,56
2016-02,45
2016-03,100
2016-04,97
2016-05,75
2016-06,59
2016-07,57
2016-08,52
2016-09,51
2016-10,60
2016-11,50
2016-12,51
2017-01,53
2017-02,49
2017-03,52
2017-04,49
2017-05,51
2017-06,49
2017-07,56
2017-08,51
2017-09,50
2017-10,48
2017-11,51
2017-12,50
2018-01,48
2018-02,46
2018-03,48
2018-04,55
2018-05,48
2018-06,46
2018-07,47
2018-08,45
2018-09,50
2018-10,49
2018-11,50
2018-12,50
2019-01,47
2019-02,47
2019-03,48
2019-04,43
2019-05,43
2019-06,49
2019-07,46
2019-08,47
2019-09,52
2019-10,46
2019-11,45
2019-12,51
2020-01,49
2020-02,52
2020-03,46
2020-04,64
2020-05,55
2020-06,52
2020-07,56
2020-08,53
2020-09,53
2020-10,55
2020-11,52
2020-12,55
2021-01,56
2021-02,58
2021-03,53
2021-04,49
2021-05,54
2021-06,53
2021-07,56
2021-08,57
2021-09,61
2021-10,55
2021-11,54
2021-12,53
2022-01,65
2022-02,58
2022-03,58
2022-04,60
2022-05,61
2022-06,61
2022-07,63
2022-08,63
2022-09,65
2022-10,66
2022-11,61
2022-12,58
2023-01,63
2023-02,59
2023-03,62
2023-04,58
2023-05,59
2023-06,60
2023-07,61
2023-08,58
2023-09,67
2023-10,77
2023-11,66
2023-12,84
2024-01,70
2024-02,66
2024-03,61
2024-04,70
2024-05,62
2024-06,62
2024-07,60
2024-08,63
2024-09,68
2024-10,68
2024-11,60
2024-12,71
2025-01,72
2025-02,70
2025-03,72
