Category: All categories

Month,Archer: (Worldwide)
2004-01,37
2004-02,33
2004-03,32
2004-04,34
2004-05,33
2004-06,33
2004-07,34
2004-08,35
2004-09,32
2004-10,32
2004-11,30
2004-12,30
2005-01,32
2005-02,34
2005-03,30
2005-04,32
2005-05,30
2005-06,30
2005-07,30
2005-08,33
2005-09,31
2005-10,30
2005-11,27
2005-12,31
2006-01,30
2006-02,30
2006-03,28
2006-04,29
2006-05,28
2006-06,28
2006-07,27
2006-08,31
2006-09,33
2006-10,31
2006-11,30
2006-12,26
2007-01,31
2007-02,31
2007-03,29
2007-04,31
2007-05,32
2007-06,30
2007-07,35
2007-08,32
2007-09,30
2007-10,29
2007-11,30
2007-12,31
2008-01,30
2008-02,32
2008-03,32
2008-04,34
2008-05,34
2008-06,32
2008-07,33
2008-08,33
2008-09,30
2008-10,31
2008-11,30
2008-12,30
2009-01,31
2009-02,32
2009-03,31
2009-04,30
2009-05,33
2009-06,31
2009-07,31
2009-08,35
2009-09,36
2009-10,37
2009-11,38
2009-12,34
2010-01,47
2010-02,48
2010-03,49
2010-04,41
2010-05,38
2010-06,37
2010-07,38
2010-08,36
2010-09,37
2010-10,36
2010-11,35
2010-12,38
2011-01,54
2011-02,58
2011-03,58
2011-04,71
2011-05,50
2011-06,45
2011-07,45
2011-08,46
2011-09,54
2011-10,49
2011-11,41
2011-12,44
2012-01,59
2012-02,58
2012-03,64
2012-04,51
2012-05,48
2012-06,45
2012-07,51
2012-08,47
2012-09,47
2012-10,45
2012-11,41
2012-12,47
2013-01,66
2013-02,67
2013-03,75
2013-04,66
2013-05,53
2013-06,51
2013-07,52
2013-08,55
2013-09,50
2013-10,55
2013-11,52
2013-12,53
2014-01,86
2014-02,76
2014-03,80
2014-04,75
2014-05,61
2014-06,55
2014-07,56
2014-08,59
2014-09,56
2014-10,58
2014-11,58
2014-12,60
2015-01,100
2015-02,78
2015-03,85
2015-04,74
2015-05,62
2015-06,65
2015-07,67
2015-08,68
2015-09,64
2015-10,65
2015-11,62
2015-12,66
2016-01,63
2016-02,60
2016-03,66
2016-04,79
2016-05,70
2016-06,67
2016-07,62
2016-08,57
2016-09,57
2016-10,53
2016-11,51
2016-12,53
2017-01,56
2017-02,53
2017-03,56
2017-04,72
2017-05,62
2017-06,56
2017-07,55
2017-08,53
2017-09,49
2017-10,47
2017-11,47
2017-12,50
2018-01,55
2018-02,52
2018-03,48
2018-04,54
2018-05,52
2018-06,48
2018-07,48
2018-08,52
2018-09,45
2018-10,44
2018-11,44
2018-12,45
2019-01,45
2019-02,44
2019-03,46
2019-04,52
2019-05,52
2019-06,56
2019-07,67
2019-08,63
2019-09,50
2019-10,42
2019-11,42
2019-12,43
2020-01,43
2020-02,44
2020-03,43
2020-04,48
2020-05,52
2020-06,46
2020-07,50
2020-08,47
2020-09,57
2020-10,56
2020-11,48
2020-12,45
2021-01,45
2021-02,48
2021-03,50
2021-04,46
2021-05,42
2021-06,41
2021-07,44
2021-08,48
2021-09,42
2021-10,42
2021-11,42
2021-12,43
2022-01,49
2022-02,50
2022-03,47
2022-04,49
2022-05,44
2022-06,41
2022-07,43
2022-08,45
2022-09,46
2022-10,43
2022-11,47
2022-12,42
2023-01,48
2023-02,44
2023-03,43
2023-04,46
2023-05,45
2023-06,42
2023-07,47
2023-08,52
2023-09,48
2023-10,47
2023-11,45
2023-12,50
2024-01,52
2024-02,57
2024-03,54
2024-04,49
2024-05,51
2024-06,52
2024-07,48
2024-08,51
2024-09,51
2024-10,47
2024-11,49
2024-12,56
2025-01,56
2025-02,54
