Category: All categories

Month,Gollum: (Worldwide)
2004-01,100
2004-02,52
2004-03,40
2004-04,30
2004-05,26
2004-06,24
2004-07,20
2004-08,20
2004-09,18
2004-10,19
2004-11,19
2004-12,21
2005-01,18
2005-02,18
2005-03,15
2005-04,16
2005-05,13
2005-06,14
2005-07,13
2005-08,12
2005-09,13
2005-10,15
2005-11,15
2005-12,18
2006-01,13
2006-02,12
2006-03,14
2006-04,14
2006-05,13
2006-06,10
2006-07,10
2006-08,9
2006-09,10
2006-10,10
2006-11,12
2006-12,10
2007-01,9
2007-02,10
2007-03,10
2007-04,9
2007-05,9
2007-06,9
2007-07,9
2007-08,8
2007-09,8
2007-10,8
2007-11,8
2007-12,9
2008-01,10
2008-02,8
2008-03,7
2008-04,8
2008-05,8
2008-06,7
2008-07,7
2008-08,7
2008-09,7
2008-10,8
2008-11,8
2008-12,9
2009-01,8
2009-02,8
2009-03,8
2009-04,10
2009-05,55
2009-06,16
2009-07,13
2009-08,16
2009-09,18
2009-10,11
2009-11,11
2009-12,12
2010-01,12
2010-02,11
2010-03,12
2010-04,12
2010-05,11
2010-06,10
2010-07,10
2010-08,9
2010-09,9
2010-10,10
2010-11,10
2010-12,11
2011-01,12
2011-02,10
2011-03,9
2011-04,9
2011-05,9
2011-06,10
2011-07,12
2011-08,13
2011-09,10
2011-10,10
2011-11,11
2011-12,14
2012-01,13
2012-02,12
2012-03,13
2012-04,12
2012-05,11
2012-06,12
2012-07,11
2012-08,10
2012-09,13
2012-10,14
2012-11,17
2012-12,53
2013-01,39
2013-02,26
2013-03,25
2013-04,23
2013-05,18
2013-06,17
2013-07,16
2013-08,17
2013-09,15
2013-10,17
2013-11,17
2013-12,28
2014-01,25
2014-02,18
2014-03,17
2014-04,17
2014-05,16
2014-06,16
2014-07,16
2014-08,16
2014-09,15
2014-10,17
2014-11,18
2014-12,25
2015-01,22
2015-02,18
2015-03,17
2015-04,17
2015-05,15
2015-06,15
2015-07,16
2015-08,15
2015-09,15
2015-10,15
2015-11,14
2015-12,25
2016-01,17
2016-02,15
2016-03,14
2016-04,14
2016-05,13
2016-06,13
2016-07,13
2016-08,11
2016-09,11
2016-10,11
2016-11,12
2016-12,13
2017-01,13
2017-02,12
2017-03,12
2017-04,12
2017-05,12
2017-06,12
2017-07,17
2017-08,12
2017-09,11
2017-10,13
2017-11,12
2017-12,14
2018-01,13
2018-02,13
2018-03,13
2018-04,11
2018-05,11
2018-06,11
2018-07,11
2018-08,12
2018-09,11
2018-10,11
2018-11,11
2018-12,17
2019-01,14
2019-02,12
2019-03,12
2019-04,11
2019-05,11
2019-06,11
2019-07,10
2019-08,11
2019-09,11
2019-10,11
2019-11,12
2019-12,13
2020-01,14
2020-02,12
2020-03,14
2020-04,15
2020-05,16
2020-06,15
2020-07,12
2020-08,12
2020-09,11
2020-10,11
2020-11,12
2020-12,13
2021-01,14
2021-02,13
2021-03,12
2021-04,11
2021-05,11
2021-06,10
2021-07,12
2021-08,11
2021-09,10
2021-10,10
2021-11,10
2021-12,13
2022-01,15
2022-02,13
2022-03,12
2022-04,13
2022-05,13
2022-06,11
2022-07,13
2022-08,12
2022-09,17
2022-10,15
2022-11,13
2022-12,14
2023-01,13
2023-02,14
2023-03,15
2023-04,13
2023-05,36
2023-06,25
2023-07,16
2023-08,14
2023-09,14
2023-10,14
2023-11,13
2023-12,16
2024-01,15
2024-02,15
2024-03,13
2024-04,12
2024-05,23
2024-06,18
2024-07,16
2024-08,17
2024-09,22
2024-10,19
2024-11,16
2024-12,18
2025-01,16
2025-02,17
