Category: All categories

Month,Hey Internet: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,92
2005-04,0
2005-05,0
2005-06,0
2005-07,73
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,48
2006-04,0
2006-05,68
2006-06,47
2006-07,60
2006-08,0
2006-09,77
2006-10,40
2006-11,50
2006-12,0
2007-01,44
2007-02,35
2007-03,74
2007-04,44
2007-05,35
2007-06,60
2007-07,46
2007-08,40
2007-09,72
2007-10,60
2007-11,80
2007-12,37
2008-01,58
2008-02,54
2008-03,59
2008-04,78
2008-05,50
2008-06,63
2008-07,53
2008-08,69
2008-09,79
2008-10,53
2008-11,50
2008-12,34
2009-01,50
2009-02,57
2009-03,45
2009-04,58
2009-05,60
2009-06,63
2009-07,62
2009-08,70
2009-09,67
2009-10,64
2009-11,48
2009-12,69
2010-01,62
2010-02,76
2010-03,62
2010-04,83
2010-05,70
2010-06,72
2010-07,69
2010-08,78
2010-09,71
2010-10,55
2010-11,68
2010-12,71
2011-01,76
2011-02,100
2011-03,83
2011-04,57
2011-05,71
2011-06,74
2011-07,74
2011-08,64
2011-09,59
2011-10,64
2011-11,59
2011-12,77
2012-01,70
2012-02,71
2012-03,64
2012-04,66
2012-05,68
2012-06,76
2012-07,73
2012-08,66
2012-09,60
2012-10,63
2012-11,72
2012-12,68
2013-01,57
2013-02,62
2013-03,59
2013-04,68
2013-05,58
2013-06,67
2013-07,61
2013-08,67
2013-09,55
2013-10,64
2013-11,57
2013-12,68
2014-01,69
2014-02,59
2014-03,57
2014-04,65
2014-05,60
2014-06,48
2014-07,53
2014-08,40
2014-09,50
2014-10,45
2014-11,49
2014-12,50
2015-01,56
2015-02,55
2015-03,61
2015-04,58
2015-05,53
2015-06,51
2015-07,63
2015-08,52
2015-09,56
2015-10,55
2015-11,46
2015-12,57
2016-01,42
2016-02,44
2016-03,44
2016-04,45
2016-05,43
2016-06,37
2016-07,40
2016-08,35
2016-09,43
2016-10,40
2016-11,43
2016-12,49
2017-01,48
2017-02,38
2017-03,40
2017-04,43
2017-05,40
2017-06,39
2017-07,36
2017-08,39
2017-09,38
2017-10,37
2017-11,44
2017-12,47
2018-01,40
2018-02,34
2018-03,41
2018-04,35
2018-05,41
2018-06,39
2018-07,35
2018-08,43
2018-09,37
2018-10,40
2018-11,46
2018-12,42
2019-01,41
2019-02,44
2019-03,41
2019-04,45
2019-05,42
2019-06,48
2019-07,55
2019-08,45
2019-09,51
2019-10,45
2019-11,44
2019-12,55
2020-01,54
2020-02,50
2020-03,56
2020-04,58
2020-05,62
2020-06,60
2020-07,60
2020-08,53
2020-09,65
2020-10,58
2020-11,48
2020-12,53
2021-01,49
2021-02,50
2021-03,51
2021-04,47
2021-05,45
2021-06,50
2021-07,56
2021-08,49
2021-09,47
2021-10,52
2021-11,48
2021-12,55
2022-01,81
2022-02,89
2022-03,85
2022-04,80
2022-05,81
2022-06,76
2022-07,82
2022-08,81
2022-09,85
2022-10,72
2022-11,77
2022-12,69
2023-01,65
2023-02,65
2023-03,65
2023-04,69
2023-05,61
2023-06,60
2023-07,60
2023-08,51
2023-09,62
2023-10,59
2023-11,63
2023-12,62
2024-01,63
2024-02,72
2024-03,68
2024-04,62
2024-05,64
2024-06,57
2024-07,66
2024-08,70
2024-09,83
2024-10,69
2024-11,75
2024-12,87
2025-01,78
2025-02,77
2025-03,88
