Category: All categories

Month,Scared Cat: (Worldwide)
2004-01,22
2004-02,18
2004-03,21
2004-04,0
2004-05,15
2004-06,0
2004-07,16
2004-08,0
2004-09,18
2004-10,16
2004-11,22
2004-12,0
2005-01,14
2005-02,12
2005-03,15
2005-04,0
2005-05,10
2005-06,0
2005-07,0
2005-08,18
2005-09,14
2005-10,16
2005-11,13
2005-12,15
2006-01,15
2006-02,14
2006-03,11
2006-04,14
2006-05,12
2006-06,16
2006-07,8
2006-08,16
2006-09,12
2006-10,15
2006-11,11
2006-12,10
2007-01,13
2007-02,12
2007-03,9
2007-04,10
2007-05,10
2007-06,11
2007-07,15
2007-08,15
2007-09,14
2007-10,17
2007-11,13
2007-12,14
2008-01,14
2008-02,13
2008-03,12
2008-04,14
2008-05,15
2008-06,18
2008-07,20
2008-08,16
2008-09,16
2008-10,19
2008-11,15
2008-12,15
2009-01,16
2009-02,15
2009-03,17
2009-04,16
2009-05,14
2009-06,15
2009-07,14
2009-08,20
2009-09,16
2009-10,20
2009-11,18
2009-12,22
2010-01,18
2010-02,19
2010-03,16
2010-04,18
2010-05,19
2010-06,16
2010-07,20
2010-08,20
2010-09,18
2010-10,21
2010-11,19
2010-12,20
2011-01,20
2011-02,19
2011-03,21
2011-04,20
2011-05,23
2011-06,22
2011-07,24
2011-08,27
2011-09,25
2011-10,28
2011-11,21
2011-12,25
2012-01,26
2012-02,26
2012-03,26
2012-04,28
2012-05,27
2012-06,29
2012-07,30
2012-08,27
2012-09,29
2012-10,31
2012-11,32
2012-12,43
2013-01,34
2013-02,34
2013-03,33
2013-04,33
2013-05,49
2013-06,42
2013-07,41
2013-08,38
2013-09,39
2013-10,41
2013-11,40
2013-12,42
2014-01,39
2014-02,39
2014-03,37
2014-04,36
2014-05,43
2014-06,38
2014-07,41
2014-08,41
2014-09,38
2014-10,41
2014-11,47
2014-12,47
2015-01,39
2015-02,40
2015-03,39
2015-04,39
2015-05,40
2015-06,44
2015-07,58
2015-08,50
2015-09,44
2015-10,51
2015-11,100
2015-12,63
2016-01,55
2016-02,45
2016-03,47
2016-04,47
2016-05,47
2016-06,52
2016-07,46
2016-08,42
2016-09,51
2016-10,53
2016-11,47
2016-12,45
2017-01,44
2017-02,40
2017-03,44
2017-04,41
2017-05,41
2017-06,44
2017-07,46
2017-08,43
2017-09,48
2017-10,49
2017-11,45
2017-12,44
2018-01,42
2018-02,38
2018-03,40
2018-04,41
2018-05,41
2018-06,41
2018-07,44
2018-08,42
2018-09,41
2018-10,49
2018-11,44
2018-12,43
2019-01,41
2019-02,40
2019-03,44
2019-04,42
2019-05,41
2019-06,42
2019-07,45
2019-08,43
2019-09,45
2019-10,48
2019-11,48
2019-12,45
2020-01,43
2020-02,45
2020-03,47
2020-04,55
2020-05,57
2020-06,57
2020-07,59
2020-08,56
2020-09,56
2020-10,53
2020-11,50
2020-12,58
2021-01,51
2021-02,50
2021-03,50
2021-04,50
2021-05,54
2021-06,53
2021-07,56
2021-08,57
2021-09,49
2021-10,53
2021-11,50
2021-12,49
2022-01,55
2022-02,48
2022-03,51
2022-04,51
2022-05,48
2022-06,54
2022-07,58
2022-08,53
2022-09,51
2022-10,70
2022-11,50
2022-12,50
2023-01,51
2023-02,50
2023-03,49
2023-04,52
2023-05,51
2023-06,56
2023-07,58
2023-08,55
2023-09,62
2023-10,55
2023-11,53
2023-12,55
2024-01,54
2024-02,56
2024-03,57
2024-04,56
2024-05,59
2024-06,61
2024-07,57
2024-08,61
2024-09,59
2024-10,63
2024-11,62
2024-12,63
2025-01,62
2025-02,60
