Category: All categories

Month,Laughing Leo: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,36
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,14
2011-10,0
2011-11,0
2011-12,0
2012-01,11
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,14
2013-09,0
2013-10,0
2013-11,10
2013-12,0
2014-01,0
2014-02,9
2014-03,8
2014-04,0
2014-05,0
2014-06,0
2014-07,10
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,10
2015-01,11
2015-02,0
2015-03,10
2015-04,14
2015-05,0
2015-06,11
2015-07,9
2015-08,10
2015-09,9
2015-10,10
2015-11,11
2015-12,7
2016-01,54
2016-02,23
2016-03,13
2016-04,9
2016-05,9
2016-06,16
2016-07,14
2016-08,11
2016-09,8
2016-10,0
2016-11,11
2016-12,0
2017-01,9
2017-02,8
2017-03,9
2017-04,9
2017-05,9
2017-06,8
2017-07,12
2017-08,13
2017-09,8
2017-10,10
2017-11,0
2017-12,9
2018-01,0
2018-02,9
2018-03,0
2018-04,11
2018-05,0
2018-06,6
2018-07,0
2018-08,8
2018-09,8
2018-10,8
2018-11,0
2018-12,8
2019-01,6
2019-02,0
2019-03,7
2019-04,0
2019-05,0
2019-06,8
2019-07,12
2019-08,8
2019-09,0
2019-10,7
2019-11,7
2019-12,0
2020-01,8
2020-02,6
2020-03,11
2020-04,8
2020-05,9
2020-06,5
2020-07,6
2020-08,94
2020-09,100
2020-10,62
2020-11,73
2020-12,61
2021-01,38
2021-02,35
2021-03,23
2021-04,20
2021-05,22
2021-06,16
2021-07,21
2021-08,21
2021-09,21
2021-10,23
2021-11,29
2021-12,26
2022-01,22
2022-02,14
2022-03,18
2022-04,25
2022-05,19
2022-06,23
2022-07,21
2022-08,21
2022-09,24
2022-10,27
2022-11,22
2022-12,22
2023-01,16
2023-02,18
2023-03,23
2023-04,16
2023-05,11
2023-06,13
2023-07,17
2023-08,13
2023-09,17
2023-10,24
2023-11,21
2023-12,19
2024-01,20
2024-02,16
2024-03,19
2024-04,17
2024-05,14
2024-06,11
2024-07,8
2024-08,16
2024-09,15
2024-10,13
2024-11,15
2024-12,15
2025-01,17
2025-02,13
