Category: All categories

Month,math is math: (Worldwide)
2004-01,12
2004-02,14
2004-03,14
2004-04,12
2004-05,12
2004-06,9
2004-07,7
2004-08,9
2004-09,15
2004-10,14
2004-11,13
2004-12,11
2005-01,12
2005-02,13
2005-03,11
2005-04,13
2005-05,13
2005-06,9
2005-07,8
2005-08,9
2005-09,16
2005-10,15
2005-11,14
2005-12,11
2006-01,14
2006-02,15
2006-03,15
2006-04,13
2006-05,13
2006-06,9
2006-07,7
2006-08,8
2006-09,16
2006-10,14
2006-11,13
2006-12,11
2007-01,12
2007-02,13
2007-03,14
2007-04,13
2007-05,14
2007-06,11
2007-07,8
2007-08,10
2007-09,17
2007-10,17
2007-11,16
2007-12,15
2008-01,15
2008-02,18
2008-03,17
2008-04,18
2008-05,19
2008-06,14
2008-07,10
2008-08,14
2008-09,22
2008-10,21
2008-11,19
2008-12,18
2009-01,22
2009-02,25
2009-03,25
2009-04,23
2009-05,24
2009-06,18
2009-07,13
2009-08,18
2009-09,32
2009-10,31
2009-11,29
2009-12,24
2010-01,29
2010-02,29
2010-03,31
2010-04,30
2010-05,30
2010-06,24
2010-07,15
2010-08,21
2010-09,36
2010-10,33
2010-11,31
2010-12,25
2011-01,32
2011-02,33
2011-03,34
2011-04,33
2011-05,34
2011-06,26
2011-07,17
2011-08,24
2011-09,40
2011-10,37
2011-11,34
2011-12,27
2012-01,34
2012-02,36
2012-03,35
2012-04,36
2012-05,38
2012-06,27
2012-07,19
2012-08,27
2012-09,48
2012-10,42
2012-11,37
2012-12,32
2013-01,38
2013-02,40
2013-03,37
2013-04,42
2013-05,38
2013-06,30
2013-07,21
2013-08,31
2013-09,49
2013-10,46
2013-11,42
2013-12,35
2014-01,42
2014-02,44
2014-03,44
2014-04,43
2014-05,43
2014-06,31
2014-07,20
2014-08,34
2014-09,53
2014-10,51
2014-11,43
2014-12,37
2015-01,46
2015-02,48
2015-03,46
2015-04,47
2015-05,43
2015-06,32
2015-07,20
2015-08,33
2015-09,63
2015-10,52
2015-11,48
2015-12,40
2016-01,43
2016-02,49
2016-03,44
2016-04,45
2016-05,42
2016-06,30
2016-07,18
2016-08,31
2016-09,58
2016-10,47
2016-11,45
2016-12,37
2017-01,46
2017-02,50
2017-03,49
2017-04,46
2017-05,47
2017-06,31
2017-07,22
2017-08,36
2017-09,55
2017-10,55
2017-11,51
2017-12,40
2018-01,46
2018-02,53
2018-03,51
2018-04,49
2018-05,50
2018-06,31
2018-07,21
2018-08,37
2018-09,58
2018-10,56
2018-11,50
2018-12,40
2019-01,50
2019-02,52
2019-03,51
2019-04,53
2019-05,50
2019-06,34
2019-07,22
2019-08,38
2019-09,59
2019-10,61
2019-11,49
2019-12,42
2020-01,51
2020-02,56
2020-03,57
2020-04,66
2020-05,61
2020-06,38
2020-07,31
2020-08,51
2020-09,100
2020-10,75
2020-11,52
2020-12,47
2021-01,54
2021-02,61
2021-03,57
2021-04,51
2021-05,51
2021-06,36
2021-07,29
2021-08,37
2021-09,65
2021-10,61
2021-11,49
2021-12,44
2022-01,57
2022-02,68
2022-03,71
2022-04,79
2022-05,75
2022-06,48
2022-07,34
2022-08,55
2022-09,88
2022-10,72
2022-11,69
2022-12,53
2023-01,68
2023-02,77
2023-03,75
2023-04,66
2023-05,70
2023-06,46
2023-07,33
2023-08,56
2023-09,85
2023-10,73
2023-11,62
2023-12,55
2024-01,66
2024-02,77
2024-03,72
2024-04,73
2024-05,75
2024-06,41
2024-07,34
2024-08,58
2024-09,80
2024-10,81
2024-11,69
2024-12,62
2025-01,74
2025-02,76
2025-03,45
