Category: All categories

Month,where monkey: (Worldwide)
2004-01,21
2004-02,19
2004-03,21
2004-04,17
2004-05,16
2004-06,16
2004-07,13
2004-08,15
2004-09,17
2004-10,22
2004-11,24
2004-12,17
2005-01,18
2005-02,14
2005-03,14
2005-04,23
2005-05,20
2005-06,15
2005-07,12
2005-08,17
2005-09,13
2005-10,21
2005-11,21
2005-12,18
2006-01,19
2006-02,18
2006-03,22
2006-04,24
2006-05,19
2006-06,15
2006-07,17
2006-08,14
2006-09,17
2006-10,18
2006-11,17
2006-12,15
2007-01,18
2007-02,13
2007-03,17
2007-04,18
2007-05,18
2007-06,17
2007-07,18
2007-08,16
2007-09,19
2007-10,20
2007-11,20
2007-12,20
2008-01,21
2008-02,20
2008-03,23
2008-04,22
2008-05,24
2008-06,19
2008-07,24
2008-08,21
2008-09,21
2008-10,22
2008-11,23
2008-12,26
2009-01,22
2009-02,25
2009-03,25
2009-04,26
2009-05,26
2009-06,23
2009-07,26
2009-08,29
2009-09,24
2009-10,28
2009-11,31
2009-12,29
2010-01,27
2010-02,29
2010-03,28
2010-04,29
2010-05,31
2010-06,28
2010-07,29
2010-08,28
2010-09,26
2010-10,30
2010-11,31
2010-12,34
2011-01,30
2011-02,30
2011-03,31
2011-04,33
2011-05,32
2011-06,32
2011-07,31
2011-08,29
2011-09,27
2011-10,30
2011-11,32
2011-12,34
2012-01,33
2012-02,34
2012-03,30
2012-04,32
2012-05,34
2012-06,32
2012-07,32
2012-08,32
2012-09,31
2012-10,32
2012-11,31
2012-12,37
2013-01,30
2013-02,31
2013-03,34
2013-04,34
2013-05,32
2013-06,31
2013-07,29
2013-08,27
2013-09,29
2013-10,31
2013-11,33
2013-12,32
2014-01,33
2014-02,33
2014-03,30
2014-04,31
2014-05,31
2014-06,27
2014-07,31
2014-08,30
2014-09,27
2014-10,30
2014-11,30
2014-12,37
2015-01,33
2015-02,32
2015-03,33
2015-04,36
2015-05,35
2015-06,30
2015-07,29
2015-08,29
2015-09,34
2015-10,32
2015-11,32
2015-12,35
2016-01,34
2016-02,43
2016-03,31
2016-04,31
2016-05,30
2016-06,26
2016-07,24
2016-08,23
2016-09,26
2016-10,26
2016-11,28
2016-12,29
2017-01,30
2017-02,31
2017-03,31
2017-04,27
2017-05,28
2017-06,24
2017-07,26
2017-08,28
2017-09,26
2017-10,31
2017-11,32
2017-12,31
2018-01,31
2018-02,28
2018-03,29
2018-04,28
2018-05,28
2018-06,25
2018-07,25
2018-08,26
2018-09,26
2018-10,25
2018-11,27
2018-12,27
2019-01,28
2019-02,29
2019-03,29
2019-04,31
2019-05,27
2019-06,27
2019-07,25
2019-08,27
2019-09,27
2019-10,28
2019-11,29
2019-12,31
2020-01,33
2020-02,32
2020-03,32
2020-04,36
2020-05,33
2020-06,33
2020-07,34
2020-08,31
2020-09,31
2020-10,31
2020-11,33
2020-12,33
2021-01,34
2021-02,33
2021-03,35
2021-04,34
2021-05,33
2021-06,33
2021-07,33
2021-08,30
2021-09,33
2021-10,31
2021-11,34
2021-12,32
2022-01,38
2022-02,34
2022-03,35
2022-04,43
2022-05,75
2022-06,52
2022-07,79
2022-08,100
2022-09,46
2022-10,40
2022-11,38
2022-12,36
2023-01,38
2023-02,40
2023-03,40
2023-04,38
2023-05,43
2023-06,37
2023-07,34
2023-08,35
2023-09,38
2023-10,37
2023-11,36
2023-12,36
2024-01,39
2024-02,44
2024-03,43
2024-04,58
2024-05,47
2024-06,41
2024-07,40
2024-08,78
2024-09,54
2024-10,46
2024-11,47
2024-12,43
2025-01,46
2025-02,56
