Category: All categories

Month,NPC: (Worldwide)
2004-01,27
2004-02,29
2004-03,29
2004-04,29
2004-05,30
2004-06,34
2004-07,38
2004-08,54
2004-09,50
2004-10,43
2004-11,31
2004-12,32
2005-01,29
2005-02,31
2005-03,33
2005-04,34
2005-05,36
2005-06,35
2005-07,40
2005-08,54
2005-09,50
2005-10,43
2005-11,33
2005-12,31
2006-01,30
2006-02,31
2006-03,31
2006-04,33
2006-05,35
2006-06,33
2006-07,40
2006-08,40
2006-09,31
2006-10,34
2006-11,30
2006-12,28
2007-01,31
2007-02,34
2007-03,28
2007-04,32
2007-05,29
2007-06,30
2007-07,39
2007-08,40
2007-09,32
2007-10,32
2007-11,34
2007-12,33
2008-01,35
2008-02,36
2008-03,36
2008-04,36
2008-05,40
2008-06,40
2008-07,47
2008-08,48
2008-09,38
2008-10,39
2008-11,43
2008-12,42
2009-01,41
2009-02,41
2009-03,43
2009-04,48
2009-05,49
2009-06,50
2009-07,55
2009-08,63
2009-09,56
2009-10,59
2009-11,58
2009-12,61
2010-01,60
2010-02,56
2010-03,55
2010-04,57
2010-05,59
2010-06,61
2010-07,64
2010-08,59
2010-09,54
2010-10,56
2010-11,51
2010-12,56
2011-01,53
2011-02,50
2011-03,51
2011-04,51
2011-05,52
2011-06,56
2011-07,62
2011-08,55
2011-09,50
2011-10,51
2011-11,56
2011-12,63
2012-01,58
2012-02,54
2012-03,57
2012-04,60
2012-05,56
2012-06,62
2012-07,65
2012-08,62
2012-09,54
2012-10,54
2012-11,50
2012-12,48
2013-01,48
2013-02,47
2013-03,53
2013-04,49
2013-05,47
2013-06,51
2013-07,54
2013-08,51
2013-09,43
2013-10,48
2013-11,47
2013-12,48
2014-01,46
2014-02,44
2014-03,47
2014-04,49
2014-05,50
2014-06,49
2014-07,52
2014-08,47
2014-09,40
2014-10,41
2014-11,43
2014-12,43
2015-01,43
2015-02,40
2015-03,44
2015-04,48
2015-05,44
2015-06,45
2015-07,50
2015-08,47
2015-09,45
2015-10,42
2015-11,43
2015-12,43
2016-01,42
2016-02,39
2016-03,43
2016-04,58
2016-05,51
2016-06,45
2016-07,45
2016-08,41
2016-09,38
2016-10,38
2016-11,41
2016-12,38
2017-01,38
2017-02,37
2017-03,38
2017-04,39
2017-05,34
2017-06,36
2017-07,37
2017-08,34
2017-09,32
2017-10,32
2017-11,31
2017-12,33
2018-01,33
2018-02,32
2018-03,32
2018-04,32
2018-05,31
2018-06,34
2018-07,34
2018-08,32
2018-09,30
2018-10,53
2018-11,37
2018-12,31
2019-01,32
2019-02,30
2019-03,34
2019-04,32
2019-05,32
2019-06,34
2019-07,33
2019-08,32
2019-09,30
2019-10,29
2019-11,29
2019-12,33
2020-01,33
2020-02,34
2020-03,35
2020-04,41
2020-05,47
2020-06,42
2020-07,42
2020-08,38
2020-09,33
2020-10,34
2020-11,33
2020-12,39
2021-01,40
2021-02,39
2021-03,38
2021-04,36
2021-05,36
2021-06,38
2021-07,41
2021-08,41
2021-09,37
2021-10,39
2021-11,41
2021-12,41
2022-01,47
2022-02,55
2022-03,90
2022-04,66
2022-05,58
2022-06,62
2022-07,68
2022-08,62
2022-09,62
2022-10,63
2022-11,68
2022-12,74
2023-01,83
2023-02,93
2023-03,85
2023-04,76
2023-05,59
2023-06,63
2023-07,77
2023-08,85
2023-09,100
2023-10,72
2023-11,64
2023-12,67
2024-01,69
2024-02,61
2024-03,63
2024-04,67
2024-05,63
2024-06,76
2024-07,79
2024-08,73
2024-09,68
2024-10,66
2024-11,63
2024-12,70
2025-01,71
2025-02,67
2025-03,78
