Category: All categories

Month,Spiderman Peter Parker: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,11
2004-06,27
2004-07,74
2004-08,11
2004-09,12
2004-10,16
2004-11,18
2004-12,16
2005-01,14
2005-02,0
2005-03,8
2005-04,9
2005-05,8
2005-06,7
2005-07,8
2005-08,7
2005-09,5
2005-10,8
2005-11,11
2005-12,5
2006-01,6
2006-02,4
2006-03,6
2006-04,6
2006-05,0
2006-06,10
2006-07,8
2006-08,7
2006-09,5
2006-10,7
2006-11,5
2006-12,3
2007-01,7
2007-02,5
2007-03,9
2007-04,20
2007-05,49
2007-06,16
2007-07,8
2007-08,7
2007-09,8
2007-10,8
2007-11,9
2007-12,6
2008-01,8
2008-02,8
2008-03,7
2008-04,5
2008-05,7
2008-06,14
2008-07,6
2008-08,8
2008-09,7
2008-10,7
2008-11,8
2008-12,6
2009-01,7
2009-02,6
2009-03,8
2009-04,7
2009-05,6
2009-06,8
2009-07,7
2009-08,7
2009-09,5
2009-10,7
2009-11,7
2009-12,9
2010-01,9
2010-02,8
2010-03,8
2010-04,7
2010-05,8
2010-06,8
2010-07,10
2010-08,8
2010-09,8
2010-10,9
2010-11,8
2010-12,7
2011-01,11
2011-02,10
2011-03,7
2011-04,9
2011-05,9
2011-06,12
2011-07,15
2011-08,32
2011-09,11
2011-10,11
2011-11,9
2011-12,10
2012-01,10
2012-02,10
2012-03,11
2012-04,12
2012-05,17
2012-06,24
2012-07,76
2012-08,19
2012-09,15
2012-10,16
2012-11,19
2012-12,22
2013-01,17
2013-02,13
2013-03,14
2013-04,14
2013-05,15
2013-06,16
2013-07,17
2013-08,15
2013-09,14
2013-10,14
2013-11,14
2013-12,17
2014-01,15
2014-02,15
2014-03,16
2014-04,38
2014-05,62
2014-06,20
2014-07,18
2014-08,23
2014-09,19
2014-10,21
2014-11,14
2014-12,16
2015-01,16
2015-02,23
2015-03,20
2015-04,20
2015-05,19
2015-06,21
2015-07,19
2015-08,18
2015-09,14
2015-10,14
2015-11,13
2015-12,13
2016-01,17
2016-02,16
2016-03,22
2016-04,20
2016-05,26
2016-06,18
2016-07,16
2016-08,14
2016-09,14
2016-10,15
2016-11,12
2016-12,17
2017-01,15
2017-02,13
2017-03,15
2017-04,14
2017-05,15
2017-06,21
2017-07,54
2017-08,24
2017-09,16
2017-10,20
2017-11,16
2017-12,17
2018-01,15
2018-02,16
2018-03,18
2018-04,24
2018-05,36
2018-06,24
2018-07,19
2018-08,20
2018-09,41
2018-10,29
2018-11,19
2018-12,33
2019-01,31
2019-02,20
2019-03,23
2019-04,24
2019-05,34
2019-06,26
2019-07,47
2019-08,24
2019-09,20
2019-10,19
2019-11,15
2019-12,15
2020-01,14
2020-02,14
2020-03,15
2020-04,20
2020-05,21
2020-06,20
2020-07,18
2020-08,18
2020-09,20
2020-10,23
2020-11,31
2020-12,25
2021-01,22
2021-02,20
2021-03,17
2021-04,18
2021-05,21
2021-06,18
2021-07,18
2021-08,28
2021-09,26
2021-10,19
2021-11,27
2021-12,100
2022-01,70
2022-02,34
2022-03,30
2022-04,26
2022-05,22
2022-06,20
2022-07,22
2022-08,26
2022-09,19
2022-10,20
2022-11,16
2022-12,19
2023-01,18
2023-02,15
2023-03,14
2023-04,17
2023-05,22
2023-06,75
2023-07,38
2023-08,24
2023-09,19
2023-10,38
2023-11,32
2023-12,23
2024-01,23
2024-02,19
2024-03,19
2024-04,18
2024-05,19
2024-06,17
2024-07,17
2024-08,22
2024-09,18
2024-10,20
2024-11,19
2024-12,22
2025-01,22
2025-02,23
