Category: All categories

Month,Dwight Schrute: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,22
2005-08,0
2005-09,0
2005-10,0
2005-11,5
2005-12,6
2006-01,11
2006-02,19
2006-03,22
2006-04,12
2006-05,21
2006-06,14
2006-07,13
2006-08,14
2006-09,23
2006-10,37
2006-11,33
2006-12,40
2007-01,53
2007-02,56
2007-03,37
2007-04,39
2007-05,55
2007-06,38
2007-07,35
2007-08,36
2007-09,58
2007-10,89
2007-11,54
2007-12,47
2008-01,38
2008-02,35
2008-03,30
2008-04,36
2008-05,50
2008-06,34
2008-07,32
2008-08,33
2008-09,44
2008-10,62
2008-11,40
2008-12,40
2009-01,40
2009-02,41
2009-03,30
2009-04,32
2009-05,28
2009-06,23
2009-07,24
2009-08,28
2009-09,35
2009-10,62
2009-11,51
2009-12,54
2010-01,52
2010-02,50
2010-03,57
2010-04,53
2010-05,47
2010-06,38
2010-07,41
2010-08,41
2010-09,47
2010-10,59
2010-11,43
2010-12,49
2011-01,41
2011-02,38
2011-03,34
2011-04,33
2011-05,42
2011-06,32
2011-07,33
2011-08,41
2011-09,38
2011-10,49
2011-11,38
2011-12,36
2012-01,75
2012-02,51
2012-03,36
2012-04,33
2012-05,32
2012-06,29
2012-07,29
2012-08,32
2012-09,38
2012-10,40
2012-11,32
2012-12,31
2013-01,27
2013-02,29
2013-03,32
2013-04,23
2013-05,38
2013-06,26
2013-07,25
2013-08,26
2013-09,22
2013-10,26
2013-11,22
2013-12,25
2014-01,23
2014-02,24
2014-03,22
2014-04,24
2014-05,22
2014-06,21
2014-07,24
2014-08,26
2014-09,24
2014-10,29
2014-11,29
2014-12,30
2015-01,34
2015-02,33
2015-03,25
2015-04,25
2015-05,24
2015-06,24
2015-07,26
2015-08,27
2015-09,30
2015-10,42
2015-11,33
2015-12,36
2016-01,35
2016-02,34
2016-03,29
2016-04,34
2016-05,32
2016-06,29
2016-07,29
2016-08,30
2016-09,36
2016-10,46
2016-11,36
2016-12,42
2017-01,41
2017-02,42
2017-03,39
2017-04,41
2017-05,39
2017-06,36
2017-07,36
2017-08,38
2017-09,45
2017-10,73
2017-11,44
2017-12,49
2018-01,51
2018-02,55
2018-03,53
2018-04,57
2018-05,52
2018-06,47
2018-07,53
2018-08,56
2018-09,66
2018-10,100
2018-11,72
2018-12,68
2019-01,58
2019-02,53
2019-03,48
2019-04,43
2019-05,46
2019-06,45
2019-07,52
2019-08,53
2019-09,56
2019-10,95
2019-11,63
2019-12,64
2020-01,55
2020-02,56
2020-03,61
2020-04,66
2020-05,63
2020-06,47
2020-07,48
2020-08,49
2020-09,49
2020-10,67
2020-11,44
2020-12,46
2021-01,50
2021-02,43
2021-03,35
2021-04,35
2021-05,34
2021-06,30
2021-07,30
2021-08,33
2021-09,35
2021-10,43
2021-11,34
2021-12,39
2022-01,44
2022-02,42
2022-03,35
2022-04,33
2022-05,35
2022-06,33
2022-07,33
2022-08,30
2022-09,31
2022-10,42
2022-11,33
2022-12,33
2023-01,36
2023-02,34
2023-03,33
2023-04,36
2023-05,28
2023-06,28
2023-07,30
2023-08,27
2023-09,26
2023-10,32
2023-11,31
2023-12,31
2024-01,32
2024-02,29
2024-03,25
2024-04,26
2024-05,23
2024-06,24
2024-07,23
2024-08,24
2024-09,25
2024-10,30
2024-11,23
2024-12,23
2025-01,23
2025-02,20
