Category: All categories

Month,Goose Chase: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,39
2004-06,55
2004-07,27
2004-08,30
2004-09,0
2004-10,0
2004-11,41
2004-12,34
2005-01,0
2005-02,0
2005-03,18
2005-04,0
2005-05,27
2005-06,29
2005-07,19
2005-08,22
2005-09,34
2005-10,22
2005-11,17
2005-12,27
2006-01,24
2006-02,27
2006-03,26
2006-04,22
2006-05,17
2006-06,22
2006-07,22
2006-08,27
2006-09,18
2006-10,28
2006-11,34
2006-12,31
2007-01,26
2007-02,23
2007-03,20
2007-04,23
2007-05,26
2007-06,32
2007-07,22
2007-08,21
2007-09,25
2007-10,19
2007-11,20
2007-12,27
2008-01,24
2008-02,22
2008-03,22
2008-04,30
2008-05,29
2008-06,26
2008-07,27
2008-08,32
2008-09,29
2008-10,34
2008-11,24
2008-12,21
2009-01,24
2009-02,24
2009-03,29
2009-04,25
2009-05,35
2009-06,30
2009-07,27
2009-08,28
2009-09,25
2009-10,27
2009-11,25
2009-12,24
2010-01,26
2010-02,30
2010-03,30
2010-04,24
2010-05,30
2010-06,33
2010-07,29
2010-08,31
2010-09,28
2010-10,33
2010-11,28
2010-12,28
2011-01,34
2011-02,22
2011-03,27
2011-04,31
2011-05,33
2011-06,33
2011-07,27
2011-08,30
2011-09,30
2011-10,25
2011-11,27
2011-12,30
2012-01,31
2012-02,35
2012-03,28
2012-04,27
2012-05,87
2012-06,46
2012-07,100
2012-08,47
2012-09,46
2012-10,38
2012-11,33
2012-12,36
2013-01,40
2013-02,37
2013-03,36
2013-04,34
2013-05,34
2013-06,34
2013-07,47
2013-08,40
2013-09,29
2013-10,30
2013-11,27
2013-12,26
2014-01,26
2014-02,26
2014-03,28
2014-04,29
2014-05,30
2014-06,29
2014-07,28
2014-08,27
2014-09,28
2014-10,27
2014-11,28
2014-12,24
2015-01,27
2015-02,26
2015-03,26
2015-04,29
2015-05,29
2015-06,28
2015-07,29
2015-08,35
2015-09,30
2015-10,29
2015-11,30
2015-12,28
2016-01,27
2016-02,28
2016-03,26
2016-04,32
2016-05,31
2016-06,25
2016-07,28
2016-08,32
2016-09,31
2016-10,29
2016-11,26
2016-12,28
2017-01,32
2017-02,29
2017-03,33
2017-04,31
2017-05,33
2017-06,29
2017-07,26
2017-08,35
2017-09,31
2017-10,32
2017-11,35
2017-12,29
2018-01,33
2018-02,34
2018-03,33
2018-04,40
2018-05,34
2018-06,31
2018-07,31
2018-08,39
2018-09,35
2018-10,36
2018-11,35
2018-12,31
2019-01,32
2019-02,34
2019-03,37
2019-04,37
2019-05,38
2019-06,34
2019-07,33
2019-08,44
2019-09,38
2019-10,40
2019-11,37
2019-12,33
2020-01,32
2020-02,37
2020-03,41
2020-04,54
2020-05,47
2020-06,43
2020-07,38
2020-08,42
2020-09,44
2020-10,32
2020-11,30
2020-12,30
2021-01,35
2021-02,32
2021-03,33
2021-04,34
2021-05,37
2021-06,33
2021-07,31
2021-08,34
2021-09,34
2021-10,31
2021-11,35
2021-12,30
2022-01,36
2022-02,47
2022-03,41
2022-04,42
2022-05,42
2022-06,39
2022-07,43
2022-08,49
2022-09,46
2022-10,37
2022-11,38
2022-12,36
2023-01,38
2023-02,40
2023-03,37
2023-04,39
2023-05,40
2023-06,40
2023-07,36
2023-08,36
2023-09,36
2023-10,36
2023-11,30
2023-12,31
2024-01,36
2024-02,35
2024-03,32
2024-04,34
2024-05,35
2024-06,32
2024-07,32
2024-08,31
2024-09,28
2024-10,34
2024-11,30
2024-12,31
2025-01,32
2025-02,34
2025-03,22
