Category: All categories

Month,Billy: (Worldwide),What Have You Done: (Worldwide)
2004-01,66,<1
2004-02,59,<1
2004-03,60,<1
2004-04,57,<1
2004-05,55,<1
2004-06,53,<1
2004-07,53,<1
2004-08,54,<1
2004-09,57,<1
2004-10,62,<1
2004-11,54,<1
2004-12,59,1
2005-01,59,<1
2005-02,61,<1
2005-03,61,<1
2005-04,61,<1
2005-05,58,<1
2005-06,65,<1
2005-07,59,<1
2005-08,56,<1
2005-09,52,<1
2005-10,50,<1
2005-11,57,<1
2005-12,59,1
2006-01,56,<1
2006-02,54,<1
2006-03,53,<1
2006-04,51,<1
2006-05,52,<1
2006-06,58,<1
2006-07,60,<1
2006-08,54,<1
2006-09,57,<1
2006-10,53,<1
2006-11,51,<1
2006-12,54,<1
2007-01,52,1
2007-02,56,1
2007-03,53,1
2007-04,52,1
2007-05,51,1
2007-06,53,1
2007-07,53,1
2007-08,50,1
2007-09,45,1
2007-10,46,1
2007-11,44,1
2007-12,48,1
2008-01,48,1
2008-02,46,1
2008-03,49,<1
2008-04,45,<1
2008-05,44,1
2008-06,43,1
2008-07,48,1
2008-08,43,1
2008-09,39,1
2008-10,43,1
2008-11,42,1
2008-12,43,1
2009-01,45,<1
2009-02,44,1
2009-03,46,<1
2009-04,47,<1
2009-05,44,<1
2009-06,100,<1
2009-07,67,<1
2009-08,54,1
2009-09,43,1
2009-10,46,<1
2009-11,44,1
2009-12,45,1
2010-01,42,<1
2010-02,41,<1
2010-03,39,1
2010-04,41,1
2010-05,41,<1
2010-06,41,<1
2010-07,43,<1
2010-08,41,<1
2010-09,39,1
2010-10,39,1
2010-11,42,1
2010-12,42,1
2011-01,40,1
2011-02,40,1
2011-03,38,1
2011-04,39,1
2011-05,37,<1
2011-06,40,1
2011-07,38,<1
2011-08,37,<1
2011-09,36,<1
2011-10,36,1
2011-11,40,1
2011-12,36,1
2012-01,44,1
2012-02,43,1
2012-03,36,1
2012-04,37,1
2012-05,34,1
2012-06,36,<1
2012-07,36,<1
2012-08,36,1
2012-09,39,<1
2012-10,35,<1
2012-11,36,1
2012-12,36,1
2013-01,35,<1
2013-02,34,<1
2013-03,33,1
2013-04,36,<1
2013-05,35,<1
2013-06,36,<1
2013-07,37,<1
2013-08,39,<1
2013-09,37,<1
2013-10,37,<1
2013-11,42,<1
2013-12,39,<1
2014-01,39,<1
2014-02,41,<1
2014-03,41,<1
2014-04,37,<1
2014-05,39,<1
2014-06,36,<1
2014-07,37,<1
2014-08,40,<1
2014-09,36,<1
2014-10,40,<1
2014-11,38,<1
2014-12,37,<1
2015-01,39,<1
2015-02,37,<1
2015-03,36,<1
2015-04,36,<1
2015-05,36,<1
2015-06,34,<1
2015-07,35,<1
2015-08,36,<1
2015-09,34,<1
2015-10,40,<1
2015-11,36,<1
2015-12,36,<1
2016-01,40,<1
2016-02,36,<1
2016-03,33,<1
2016-04,35,<1
2016-05,35,<1
2016-06,35,<1
2016-07,34,<1
2016-08,33,<1
2016-09,35,<1
2016-10,56,<1
2016-11,40,<1
2016-12,39,<1
2017-01,36,<1
2017-02,34,<1
2017-03,34,<1
2017-04,38,<1
2017-05,35,<1
2017-06,33,<1
2017-07,35,<1
2017-08,31,<1
2017-09,31,<1
2017-10,34,<1
2017-11,37,<1
2017-12,38,<1
2018-01,34,<1
2018-02,58,<1
2018-03,45,<1
2018-04,36,<1
2018-05,30,<1
2018-06,34,<1
2018-07,35,<1
2018-08,33,<1
2018-09,34,<1
2018-10,32,<1
2018-11,32,<1
2018-12,34,<1
2019-01,41,<1
2019-02,40,<1
2019-03,35,<1
2019-04,42,<1
2019-05,41,<1
2019-06,39,<1
2019-07,43,<1
2019-08,38,<1
2019-09,37,<1
2019-10,35,1
2019-11,36,1
2019-12,36,<1
2020-01,36,1
2020-02,34,1
2020-03,32,1
2020-04,34,1
2020-05,34,1
2020-06,32,1
2020-07,33,<1
2020-08,33,1
2020-09,32,1
2020-10,34,1
2020-11,29,1
2020-12,33,1
2021-01,32,1
2021-02,37,1
2021-03,32,1
2021-04,31,1
2021-05,38,1
2021-06,29,1
2021-07,32,1
2021-08,32,1
2021-09,33,1
2021-10,34,1
2021-11,32,1
2021-12,35,1
2022-01,33,1
2022-02,30,1
2022-03,30,1
2022-04,34,1
2022-05,34,1
2022-06,42,1
2022-07,41,1
2022-08,34,1
2022-09,35,1
2022-10,34,1
2022-11,30,1
2022-12,30,1
2023-01,32,1
2023-02,32,1
2023-03,31,1
2023-04,31,1
2023-05,30,1
2023-06,33,1
2023-07,33,1
2023-08,33,1
2023-09,35,1
2023-10,33,1
2023-11,32,1
2023-12,30,1
2024-01,31,1
2024-02,39,1
2024-03,32,1
2024-04,39,1
2024-05,36,1
2024-06,37,1
2024-07,38,1
2024-08,36,1
2024-09,35,1
2024-10,37,1
2024-11,39,1
2024-12,36,1
2025-01,43,1
2025-02,35,1
