Category: All categories

Month,Squidward: (Worldwide)
2004-01,5
2004-02,4
2004-03,5
2004-04,3
2004-05,5
2004-06,5
2004-07,4
2004-08,5
2004-09,5
2004-10,6
2004-11,7
2004-12,6
2005-01,6
2005-02,5
2005-03,5
2005-04,5
2005-05,5
2005-06,4
2005-07,4
2005-08,4
2005-09,5
2005-10,5
2005-11,4
2005-12,4
2006-01,4
2006-02,4
2006-03,5
2006-04,4
2006-05,4
2006-06,3
2006-07,4
2006-08,4
2006-09,5
2006-10,5
2006-11,4
2006-12,5
2007-01,4
2007-02,4
2007-03,4
2007-04,5
2007-05,4
2007-06,5
2007-07,5
2007-08,6
2007-09,5
2007-10,5
2007-11,6
2007-12,7
2008-01,6
2008-02,6
2008-03,6
2008-04,7
2008-05,7
2008-06,7
2008-07,7
2008-08,7
2008-09,7
2008-10,8
2008-11,7
2008-12,7
2009-01,6
2009-02,8
2009-03,8
2009-04,8
2009-05,8
2009-06,8
2009-07,12
2009-08,12
2009-09,9
2009-10,10
2009-11,11
2009-12,10
2010-01,11
2010-02,11
2010-03,11
2010-04,11
2010-05,12
2010-06,10
2010-07,13
2010-08,14
2010-09,13
2010-10,13
2010-11,14
2010-12,19
2011-01,15
2011-02,15
2011-03,15
2011-04,16
2011-05,16
2011-06,17
2011-07,17
2011-08,18
2011-09,17
2011-10,16
2011-11,17
2011-12,18
2012-01,17
2012-02,19
2012-03,18
2012-04,18
2012-05,18
2012-06,20
2012-07,22
2012-08,21
2012-09,20
2012-10,23
2012-11,20
2012-12,23
2013-01,22
2013-02,26
2013-03,24
2013-04,26
2013-05,25
2013-06,26
2013-07,26
2013-08,29
2013-09,24
2013-10,24
2013-11,24
2013-12,27
2014-01,31
2014-02,29
2014-03,28
2014-04,28
2014-05,28
2014-06,25
2014-07,28
2014-08,27
2014-09,29
2014-10,30
2014-11,29
2014-12,28
2015-01,27
2015-02,36
2015-03,36
2015-04,33
2015-05,34
2015-06,33
2015-07,32
2015-08,32
2015-09,33
2015-10,34
2015-11,33
2015-12,34
2016-01,42
2016-02,63
2016-03,46
2016-04,47
2016-05,48
2016-06,48
2016-07,39
2016-08,39
2016-09,46
2016-10,45
2016-11,45
2016-12,44
2017-01,44
2017-02,45
2017-03,51
2017-04,47
2017-05,50
2017-06,44
2017-07,42
2017-08,43
2017-09,46
2017-10,50
2017-11,50
2017-12,50
2018-01,50
2018-02,55
2018-03,58
2018-04,60
2018-05,62
2018-06,49
2018-07,48
2018-08,50
2018-09,56
2018-10,58
2018-11,61
2018-12,59
2019-01,61
2019-02,69
2019-03,64
2019-04,64
2019-05,68
2019-06,65
2019-07,66
2019-08,75
2019-09,85
2019-10,81
2019-11,85
2019-12,78
2020-01,69
2020-02,80
2020-03,76
2020-04,80
2020-05,72
2020-06,67
2020-07,70
2020-08,70
2020-09,69
2020-10,58
2020-11,56
2020-12,61
2021-01,75
2021-02,64
2021-03,62
2021-04,63
2021-05,63
2021-06,61
2021-07,60
2021-08,61
2021-09,62
2021-10,65
2021-11,63
2021-12,64
2022-01,72
2022-02,69
2022-03,100
2022-04,77
2022-05,78
2022-06,71
2022-07,66
2022-08,70
2022-09,71
2022-10,65
2022-11,64
2022-12,64
2023-01,65
2023-02,75
2023-03,65
2023-04,60
2023-05,62
2023-06,62
2023-07,60
2023-08,60
2023-09,60
2023-10,61
2023-11,59
2023-12,62
2024-01,60
2024-02,65
2024-03,64
2024-04,66
2024-05,70
2024-06,62
2024-07,58
2024-08,64
2024-09,67
2024-10,71
2024-11,64
2024-12,64
2025-01,63
2025-02,61
