Category: All categories

Month,Change My Mind: (Worldwide)
2004-01,11
2004-02,9
2004-03,10
2004-04,8
2004-05,8
2004-06,7
2004-07,7
2004-08,10
2004-09,8
2004-10,11
2004-11,15
2004-12,13
2005-01,11
2005-02,11
2005-03,9
2005-04,9
2005-05,6
2005-06,8
2005-07,11
2005-08,10
2005-09,9
2005-10,11
2005-11,11
2005-12,9
2006-01,10
2006-02,10
2006-03,11
2006-04,14
2006-05,9
2006-06,11
2006-07,11
2006-08,10
2006-09,10
2006-10,11
2006-11,9
2006-12,10
2007-01,8
2007-02,9
2007-03,10
2007-04,10
2007-05,9
2007-06,10
2007-07,10
2007-08,11
2007-09,10
2007-10,9
2007-11,8
2007-12,9
2008-01,10
2008-02,10
2008-03,9
2008-04,9
2008-05,10
2008-06,11
2008-07,12
2008-08,12
2008-09,12
2008-10,13
2008-11,13
2008-12,12
2009-01,11
2009-02,10
2009-03,11
2009-04,11
2009-05,11
2009-06,10
2009-07,11
2009-08,13
2009-09,16
2009-10,14
2009-11,14
2009-12,12
2010-01,13
2010-02,12
2010-03,13
2010-04,12
2010-05,12
2010-06,12
2010-07,12
2010-08,12
2010-09,11
2010-10,11
2010-11,11
2010-12,11
2011-01,12
2011-02,12
2011-03,11
2011-04,11
2011-05,11
2011-06,12
2011-07,12
2011-08,12
2011-09,11
2011-10,11
2011-11,10
2011-12,10
2012-01,11
2012-02,11
2012-03,11
2012-04,12
2012-05,10
2012-06,10
2012-07,10
2012-08,10
2012-09,11
2012-10,12
2012-11,69
2012-12,48
2013-01,40
2013-02,33
2013-03,31
2013-04,26
2013-05,24
2013-06,22
2013-07,21
2013-08,21
2013-09,26
2013-10,20
2013-11,17
2013-12,18
2014-01,19
2014-02,18
2014-03,19
2014-04,18
2014-05,17
2014-06,17
2014-07,17
2014-08,16
2014-09,15
2014-10,16
2014-11,16
2014-12,15
2015-01,16
2015-02,14
2015-03,15
2015-04,16
2015-05,18
2015-06,15
2015-07,14
2015-08,15
2015-09,15
2015-10,15
2015-11,14
2015-12,13
2016-01,15
2016-02,14
2016-03,13
2016-04,14
2016-05,15
2016-06,14
2016-07,13
2016-08,13
2016-09,12
2016-10,12
2016-11,13
2016-12,12
2017-01,12
2017-02,12
2017-03,12
2017-04,12
2017-05,12
2017-06,13
2017-07,13
2017-08,12
2017-09,12
2017-10,12
2017-11,12
2017-12,12
2018-01,12
2018-02,20
2018-03,100
2018-04,49
2018-05,34
2018-06,30
2018-07,30
2018-08,29
2018-09,33
2018-10,49
2018-11,43
2018-12,37
2019-01,44
2019-02,41
2019-03,42
2019-04,33
2019-05,27
2019-06,30
2019-07,25
2019-08,27
2019-09,27
2019-10,32
2019-11,27
2019-12,24
2020-01,26
2020-02,27
2020-03,27
2020-04,34
2020-05,31
2020-06,35
2020-07,35
2020-08,30
2020-09,28
2020-10,24
2020-11,24
2020-12,24
2021-01,23
2021-02,22
2021-03,24
2021-04,24
2021-05,22
2021-06,22
2021-07,21
2021-08,22
2021-09,19
2021-10,21
2021-11,20
2021-12,19
2022-01,22
2022-02,21
2022-03,23
2022-04,23
2022-05,24
2022-06,22
2022-07,21
2022-08,21
2022-09,21
2022-10,20
2022-11,19
2022-12,18
2023-01,18
2023-02,20
2023-03,19
2023-04,19
2023-05,19
2023-06,17
2023-07,17
2023-08,19
2023-09,17
2023-10,16
2023-11,16
2023-12,18
2024-01,15
2024-02,19
2024-03,18
2024-04,17
2024-05,19
2024-06,16
2024-07,16
2024-08,16
2024-09,16
2024-10,18
2024-11,15
2024-12,17
2025-01,15
2025-02,19
