Category: All categories

Month,Uncle Sam: (Worldwide)
2004-01,82
2004-02,87
2004-03,84
2004-04,79
2004-05,79
2004-06,72
2004-07,68
2004-08,60
2004-09,79
2004-10,87
2004-11,80
2004-12,62
2005-01,66
2005-02,71
2005-03,65
2005-04,65
2005-05,67
2005-06,64
2005-07,53
2005-08,56
2005-09,76
2005-10,73
2005-11,68
2005-12,55
2006-01,58
2006-02,64
2006-03,63
2006-04,60
2006-05,56
2006-06,55
2006-07,50
2006-08,44
2006-09,55
2006-10,62
2006-11,49
2006-12,42
2007-01,49
2007-02,48
2007-03,50
2007-04,50
2007-05,52
2007-06,50
2007-07,44
2007-08,38
2007-09,48
2007-10,57
2007-11,46
2007-12,41
2008-01,47
2008-02,47
2008-03,49
2008-04,49
2008-05,44
2008-06,42
2008-07,46
2008-08,37
2008-09,49
2008-10,55
2008-11,48
2008-12,37
2009-01,39
2009-02,44
2009-03,45
2009-04,42
2009-05,40
2009-06,39
2009-07,37
2009-08,34
2009-09,44
2009-10,45
2009-11,46
2009-12,40
2010-01,37
2010-02,47
2010-03,42
2010-04,35
2010-05,43
2010-06,41
2010-07,40
2010-08,30
2010-09,40
2010-10,40
2010-11,37
2010-12,32
2011-01,56
2011-02,53
2011-03,37
2011-04,38
2011-05,36
2011-06,38
2011-07,37
2011-08,36
2011-09,48
2011-10,50
2011-11,42
2011-12,40
2012-01,33
2012-02,39
2012-03,37
2012-04,40
2012-05,48
2012-06,39
2012-07,41
2012-08,38
2012-09,51
2012-10,47
2012-11,41
2012-12,33
2013-01,32
2013-02,34
2013-03,31
2013-04,36
2013-05,38
2013-06,39
2013-07,46
2013-08,28
2013-09,38
2013-10,39
2013-11,38
2013-12,27
2014-01,35
2014-02,40
2014-03,33
2014-04,38
2014-05,36
2014-06,40
2014-07,39
2014-08,26
2014-09,34
2014-10,36
2014-11,34
2014-12,29
2015-01,34
2015-02,35
2015-03,33
2015-04,38
2015-05,33
2015-06,33
2015-07,43
2015-08,27
2015-09,37
2015-10,36
2015-11,34
2015-12,32
2016-01,28
2016-02,31
2016-03,29
2016-04,29
2016-05,32
2016-06,30
2016-07,37
2016-08,21
2016-09,31
2016-10,34
2016-11,30
2016-12,21
2017-01,32
2017-02,28
2017-03,31
2017-04,27
2017-05,27
2017-06,26
2017-07,34
2017-08,22
2017-09,27
2017-10,30
2017-11,27
2017-12,22
2018-01,25
2018-02,28
2018-03,28
2018-04,26
2018-05,27
2018-06,26
2018-07,34
2018-08,22
2018-09,26
2018-10,26
2018-11,27
2018-12,21
2019-01,24
2019-02,28
2019-03,26
2019-04,24
2019-05,23
2019-06,24
2019-07,29
2019-08,19
2019-09,24
2019-10,24
2019-11,23
2019-12,22
2020-01,24
2020-02,26
2020-03,24
2020-04,23
2020-05,25
2020-06,26
2020-07,25
2020-08,19
2020-09,22
2020-10,22
2020-11,21
2020-12,18
2021-01,22
2021-02,17
2021-03,20
2021-04,19
2021-05,21
2021-06,20
2021-07,24
2021-08,17
2021-09,18
2021-10,19
2021-11,17
2021-12,16
2022-01,19
2022-02,21
2022-03,22
2022-04,24
2022-05,23
2022-06,23
2022-07,28
2022-08,19
2022-09,21
2022-10,21
2022-11,24
2022-12,19
2023-01,22
2023-02,23
2023-03,23
2023-04,22
2023-05,20
2023-06,21
2023-07,26
2023-08,18
2023-09,19
2023-10,21
2023-11,20
2023-12,18
2024-01,23
2024-02,24
2024-03,22
2024-04,23
2024-05,21
2024-06,20
2024-07,29
2024-08,18
2024-09,20
2024-10,24
2024-11,23
2024-12,18
2025-01,21
2025-02,100
