Category: All categories

Month,Smiling Cat: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,56
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,32
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,27
2005-12,0
2006-01,23
2006-02,20
2006-03,23
2006-04,19
2006-05,18
2006-06,0
2006-07,0
2006-08,23
2006-09,0
2006-10,17
2006-11,0
2006-12,23
2007-01,17
2007-02,0
2007-03,11
2007-04,15
2007-05,17
2007-06,12
2007-07,13
2007-08,17
2007-09,21
2007-10,14
2007-11,15
2007-12,17
2008-01,22
2008-02,17
2008-03,16
2008-04,23
2008-05,18
2008-06,15
2008-07,16
2008-08,14
2008-09,25
2008-10,21
2008-11,15
2008-12,18
2009-01,13
2009-02,20
2009-03,16
2009-04,18
2009-05,18
2009-06,14
2009-07,16
2009-08,19
2009-09,16
2009-10,24
2009-11,20
2009-12,21
2010-01,23
2010-02,19
2010-03,35
2010-04,29
2010-05,30
2010-06,17
2010-07,22
2010-08,21
2010-09,21
2010-10,26
2010-11,26
2010-12,21
2011-01,22
2011-02,23
2011-03,24
2011-04,24
2011-05,23
2011-06,23
2011-07,24
2011-08,23
2011-09,24
2011-10,30
2011-11,21
2011-12,28
2012-01,28
2012-02,29
2012-03,29
2012-04,34
2012-05,26
2012-06,25
2012-07,30
2012-08,33
2012-09,28
2012-10,34
2012-11,33
2012-12,54
2013-01,47
2013-02,57
2013-03,65
2013-04,49
2013-05,48
2013-06,48
2013-07,43
2013-08,46
2013-09,40
2013-10,42
2013-11,40
2013-12,38
2014-01,36
2014-02,42
2014-03,45
2014-04,39
2014-05,41
2014-06,39
2014-07,47
2014-08,44
2014-09,41
2014-10,43
2014-11,49
2014-12,43
2015-01,45
2015-02,44
2015-03,44
2015-04,40
2015-05,45
2015-06,42
2015-07,39
2015-08,40
2015-09,39
2015-10,43
2015-11,39
2015-12,41
2016-01,42
2016-02,44
2016-03,40
2016-04,41
2016-05,41
2016-06,35
2016-07,34
2016-08,31
2016-09,38
2016-10,37
2016-11,32
2016-12,35
2017-01,32
2017-02,35
2017-03,35
2017-04,28
2017-05,28
2017-06,30
2017-07,30
2017-08,32
2017-09,29
2017-10,34
2017-11,32
2017-12,27
2018-01,32
2018-02,27
2018-03,30
2018-04,30
2018-05,31
2018-06,28
2018-07,79
2018-08,76
2018-09,56
2018-10,51
2018-11,43
2018-12,38
2019-01,45
2019-02,44
2019-03,40
2019-04,39
2019-05,43
2019-06,35
2019-07,35
2019-08,42
2019-09,44
2019-10,42
2019-11,48
2019-12,45
2020-01,45
2020-02,48
2020-03,45
2020-04,43
2020-05,42
2020-06,42
2020-07,44
2020-08,42
2020-09,45
2020-10,44
2020-11,42
2020-12,38
2021-01,40
2021-02,42
2021-03,37
2021-04,36
2021-05,41
2021-06,41
2021-07,47
2021-08,50
2021-09,48
2021-10,51
2021-11,45
2021-12,46
2022-01,56
2022-02,47
2022-03,47
2022-04,50
2022-05,50
2022-06,47
2022-07,48
2022-08,47
2022-09,45
2022-10,51
2022-11,50
2022-12,47
2023-01,51
2023-02,49
2023-03,50
2023-04,54
2023-05,54
2023-06,47
2023-07,46
2023-08,46
2023-09,48
2023-10,51
2023-11,54
2023-12,62
2024-01,64
2024-02,100
2024-03,99
2024-04,96
2024-05,88
2024-06,77
2024-07,73
2024-08,67
2024-09,64
2024-10,68
2024-11,63
2024-12,57
2025-01,62
2025-02,66
2025-03,61
