Category: All categories

Month,undertaker: (Worldwide)
2004-01,15
2004-02,23
2004-03,38
2004-04,20
2004-05,23
2004-06,20
2004-07,18
2004-08,18
2004-09,16
2004-10,19
2004-11,15
2004-12,19
2005-01,18
2005-02,18
2005-03,21
2005-04,22
2005-05,15
2005-06,15
2005-07,17
2005-08,16
2005-09,15
2005-10,18
2005-11,20
2005-12,22
2006-01,17
2006-02,18
2006-03,18
2006-04,18
2006-05,17
2006-06,15
2006-07,16
2006-08,17
2006-09,16
2006-10,17
2006-11,18
2006-12,17
2007-01,18
2007-02,23
2007-03,28
2007-04,31
2007-05,29
2007-06,25
2007-07,22
2007-08,25
2007-09,25
2007-10,24
2007-11,29
2007-12,33
2008-01,27
2008-02,30
2008-03,36
2008-04,41
2008-05,34
2008-06,57
2008-07,40
2008-08,38
2008-09,24
2008-10,27
2008-11,30
2008-12,29
2009-01,26
2009-02,31
2009-03,32
2009-04,45
2009-05,33
2009-06,32
2009-07,32
2009-08,37
2009-09,40
2009-10,46
2009-11,41
2009-12,46
2010-01,44
2010-02,49
2010-03,54
2010-04,54
2010-05,47
2010-06,90
2010-07,63
2010-08,59
2010-09,47
2010-10,54
2010-11,38
2010-12,32
2011-01,30
2011-02,38
2011-03,38
2011-04,65
2011-05,31
2011-06,31
2011-07,31
2011-08,32
2011-09,28
2011-10,28
2011-11,25
2011-12,29
2012-01,30
2012-02,36
2012-03,29
2012-04,53
2012-05,24
2012-06,24
2012-07,29
2012-08,45
2012-09,25
2012-10,20
2012-11,22
2012-12,25
2013-01,25
2013-02,31
2013-03,42
2013-04,46
2013-05,22
2013-06,21
2013-07,22
2013-08,24
2013-09,17
2013-10,19
2013-11,20
2013-12,21
2014-01,23
2014-02,33
2014-03,36
2014-04,100
2014-05,27
2014-06,22
2014-07,30
2014-08,30
2014-09,23
2014-10,23
2014-11,23
2014-12,27
2015-01,28
2015-02,36
2015-03,58
2015-04,34
2015-05,24
2015-06,25
2015-07,49
2015-08,68
2015-09,34
2015-10,49
2015-11,50
2015-12,30
2016-01,30
2016-02,37
2016-03,44
2016-04,43
2016-05,24
2016-06,25
2016-07,28
2016-08,25
2016-09,24
2016-10,27
2016-11,31
2016-12,25
2017-01,30
2017-02,23
2017-03,30
2017-04,82
2017-05,19
2017-06,19
2017-07,20
2017-08,19
2017-09,18
2017-10,17
2017-11,17
2017-12,18
2018-01,22
2018-02,29
2018-03,31
2018-04,45
2018-05,17
2018-06,16
2018-07,17
2018-08,20
2018-09,26
2018-10,31
2018-11,20
2018-12,18
2019-01,17
2019-02,21
2019-03,20
2019-04,21
2019-05,14
2019-06,25
2019-07,19
2019-08,14
2019-09,14
2019-10,14
2019-11,14
2019-12,12
2020-01,13
2020-02,15
2020-03,20
2020-04,26
2020-05,25
2020-06,33
2020-07,17
2020-08,13
2020-09,12
2020-10,13
2020-11,36
2020-12,16
2021-01,15
2021-02,13
2021-03,12
2021-04,13
2021-05,12
2021-06,12
2021-07,11
2021-08,11
2021-09,11
2021-10,12
2021-11,9
2021-12,11
2022-01,12
2022-02,13
2022-03,14
2022-04,22
2022-05,10
2022-06,9
2022-07,13
2022-08,10
2022-09,9
2022-10,8
2022-11,8
2022-12,9
2023-01,12
2023-02,12
2023-03,11
2023-04,11
2023-05,9
2023-06,9
2023-07,12
2023-08,10
2023-09,9
2023-10,10
2023-11,9
2023-12,9
2024-01,9
2024-02,13
2024-03,11
2024-04,17
2024-05,9
2024-06,9
2024-07,9
2024-08,9
2024-09,8
2024-10,11
2024-11,9
2024-12,9
2025-01,11
2025-02,11
