Category: All categories

Month,where banana: (Worldwide)
2004-01,0
2004-02,29
2004-03,0
2004-04,19
2004-05,20
2004-06,20
2004-07,19
2004-08,19
2004-09,14
2004-10,19
2004-11,15
2004-12,17
2005-01,19
2005-02,13
2005-03,15
2005-04,23
2005-05,18
2005-06,22
2005-07,22
2005-08,15
2005-09,21
2005-10,32
2005-11,27
2005-12,23
2006-01,20
2006-02,21
2006-03,26
2006-04,29
2006-05,21
2006-06,25
2006-07,23
2006-08,19
2006-09,18
2006-10,21
2006-11,21
2006-12,21
2007-01,15
2007-02,22
2007-03,20
2007-04,21
2007-05,22
2007-06,21
2007-07,20
2007-08,17
2007-09,22
2007-10,24
2007-11,23
2007-12,20
2008-01,24
2008-02,27
2008-03,28
2008-04,24
2008-05,32
2008-06,29
2008-07,29
2008-08,30
2008-09,29
2008-10,32
2008-11,31
2008-12,30
2009-01,28
2009-02,31
2009-03,36
2009-04,33
2009-05,36
2009-06,35
2009-07,39
2009-08,38
2009-09,39
2009-10,43
2009-11,44
2009-12,41
2010-01,43
2010-02,41
2010-03,43
2010-04,42
2010-05,44
2010-06,44
2010-07,40
2010-08,42
2010-09,39
2010-10,43
2010-11,45
2010-12,48
2011-01,46
2011-02,43
2011-03,44
2011-04,51
2011-05,45
2011-06,42
2011-07,47
2011-08,46
2011-09,44
2011-10,44
2011-11,42
2011-12,42
2012-01,47
2012-02,49
2012-03,48
2012-04,51
2012-05,52
2012-06,55
2012-07,51
2012-08,54
2012-09,52
2012-10,57
2012-11,52
2012-12,48
2013-01,52
2013-02,50
2013-03,57
2013-04,57
2013-05,60
2013-06,56
2013-07,61
2013-08,57
2013-09,55
2013-10,55
2013-11,55
2013-12,56
2014-01,58
2014-02,59
2014-03,60
2014-04,60
2014-05,61
2014-06,59
2014-07,59
2014-08,58
2014-09,54
2014-10,59
2014-11,59
2014-12,57
2015-01,58
2015-02,59
2015-03,61
2015-04,61
2015-05,64
2015-06,58
2015-07,63
2015-08,66
2015-09,69
2015-10,64
2015-11,60
2015-12,64
2016-01,59
2016-02,57
2016-03,60
2016-04,61
2016-05,63
2016-06,59
2016-07,54
2016-08,45
2016-09,51
2016-10,53
2016-11,53
2016-12,51
2017-01,51
2017-02,55
2017-03,61
2017-04,59
2017-05,55
2017-06,54
2017-07,57
2017-08,53
2017-09,54
2017-10,53
2017-11,56
2017-12,51
2018-01,53
2018-02,55
2018-03,58
2018-04,59
2018-05,61
2018-06,58
2018-07,58
2018-08,57
2018-09,54
2018-10,54
2018-11,54
2018-12,52
2019-01,54
2019-02,60
2019-03,59
2019-04,65
2019-05,59
2019-06,68
2019-07,58
2019-08,59
2019-09,59
2019-10,55
2019-11,59
2019-12,58
2020-01,60
2020-02,54
2020-03,59
2020-04,71
2020-05,81
2020-06,72
2020-07,71
2020-08,100
2020-09,78
2020-10,76
2020-11,80
2020-12,71
2021-01,75
2021-02,81
2021-03,80
2021-04,83
2021-05,84
2021-06,79
2021-07,78
2021-08,74
2021-09,74
2021-10,77
2021-11,75
2021-12,69
2022-01,76
2022-02,82
2022-03,76
2022-04,83
2022-05,81
2022-06,79
2022-07,80
2022-08,78
2022-09,72
2022-10,75
2022-11,69
2022-12,70
2023-01,69
2023-02,80
2023-03,76
2023-04,76
2023-05,76
2023-06,75
2023-07,74
2023-08,77
2023-09,77
2023-10,70
2023-11,70
2023-12,68
2024-01,73
2024-02,84
2024-03,79
2024-04,86
2024-05,80
2024-06,82
2024-07,78
2024-08,76
2024-09,80
2024-10,79
2024-11,88
2024-12,84
2025-01,85
2025-02,95
