Category: All categories

Month,X: (Worldwide),X Everywhere: (Worldwide)
2004-01,42,0
2004-02,40,0
2004-03,37,0
2004-04,36,0
2004-05,38,0
2004-06,37,0
2004-07,38,0
2004-08,37,0
2004-09,39,0
2004-10,42,0
2004-11,37,0
2004-12,38,0
2005-01,37,0
2005-02,38,0
2005-03,33,0
2005-04,36,0
2005-05,38,0
2005-06,36,0
2005-07,35,0
2005-08,36,0
2005-09,34,0
2005-10,36,0
2005-11,36,0
2005-12,38,0
2006-01,35,0
2006-02,34,0
2006-03,35,0
2006-04,34,0
2006-05,37,0
2006-06,34,0
2006-07,33,0
2006-08,33,0
2006-09,34,0
2006-10,35,0
2006-11,35,0
2006-12,35,0
2007-01,33,0
2007-02,33,0
2007-03,31,0
2007-04,32,0
2007-05,32,0
2007-06,34,0
2007-07,34,0
2007-08,33,0
2007-09,32,0
2007-10,38,0
2007-11,36,0
2007-12,38,<1
2008-01,34,0
2008-02,34,<1
2008-03,34,0
2008-04,35,0
2008-05,35,0
2008-06,35,0
2008-07,34,0
2008-08,36,0
2008-09,35,0
2008-10,36,0
2008-11,38,0
2008-12,40,0
2009-01,37,<1
2009-02,37,0
2009-03,37,0
2009-04,38,<1
2009-05,40,<1
2009-06,37,<1
2009-07,36,0
2009-08,39,0
2009-09,39,<1
2009-10,42,<1
2009-11,46,0
2009-12,42,<1
2010-01,38,<1
2010-02,38,<1
2010-03,39,<1
2010-04,38,<1
2010-05,40,<1
2010-06,41,<1
2010-07,41,<1
2010-08,42,<1
2010-09,46,<1
2010-10,46,<1
2010-11,47,<1
2010-12,43,<1
2011-01,43,<1
2011-02,39,<1
2011-03,41,<1
2011-04,43,<1
2011-05,45,<1
2011-06,48,<1
2011-07,45,<1
2011-08,43,<1
2011-09,47,<1
2011-10,52,<1
2011-11,52,<1
2011-12,51,<1
2012-01,45,<1
2012-02,44,<1
2012-03,47,<1
2012-04,48,<1
2012-05,47,<1
2012-06,49,<1
2012-07,48,<1
2012-08,48,<1
2012-09,52,<1
2012-10,54,<1
2012-11,57,<1
2012-12,54,<1
2013-01,49,<1
2013-02,48,<1
2013-03,51,<1
2013-04,49,<1
2013-05,48,<1
2013-06,51,<1
2013-07,52,<1
2013-08,54,<1
2013-09,56,<1
2013-10,66,<1
2013-11,63,<1
2013-12,61,<1
2014-01,57,<1
2014-02,57,<1
2014-03,62,<1
2014-04,62,<1
2014-05,64,<1
2014-06,63,<1
2014-07,59,<1
2014-08,61,<1
2014-09,59,<1
2014-10,62,<1
2014-11,60,<1
2014-12,62,<1
2015-01,55,<1
2015-02,58,<1
2015-03,60,<1
2015-04,65,<1
2015-05,61,<1
2015-06,61,<1
2015-07,60,<1
2015-08,61,<1
2015-09,62,<1
2015-10,60,<1
2015-11,61,<1
2015-12,63,<1
2016-01,57,<1
2016-02,60,<1
2016-03,59,<1
2016-04,60,<1
2016-05,65,<1
2016-06,61,<1
2016-07,62,<1
2016-08,59,<1
2016-09,63,<1
2016-10,63,<1
2016-11,61,<1
2016-12,61,<1
2017-01,60,<1
2017-02,60,<1
2017-03,61,<1
2017-04,63,<1
2017-05,59,<1
2017-06,62,<1
2017-07,61,<1
2017-08,60,<1
2017-09,75,<1
2017-10,73,<1
2017-11,86,<1
2017-12,75,<1
2018-01,70,<1
2018-02,69,<1
2018-03,71,<1
2018-04,68,<1
2018-05,72,<1
2018-06,75,<1
2018-07,71,<1
2018-08,71,<1
2018-09,74,<1
2018-10,71,<1
2018-11,70,<1
2018-12,65,<1
2019-01,64,<1
2019-02,63,<1
2019-03,65,<1
2019-04,65,<1
2019-05,64,<1
2019-06,71,<1
2019-07,69,<1
2019-08,69,<1
2019-09,67,<1
2019-10,76,<1
2019-11,80,<1
2019-12,69,<1
2020-01,68,<1
2020-02,76,<1
2020-03,67,<1
2020-04,61,<1
2020-05,69,<1
2020-06,68,<1
2020-07,69,<1
2020-08,77,<1
2020-09,84,<1
2020-10,83,<1
2020-11,87,<1
2020-12,86,<1
2021-01,79,<1
2021-02,79,<1
2021-03,73,<1
2021-04,78,<1
2021-05,80,<1
2021-06,76,<1
2021-07,79,<1
2021-08,74,<1
2021-09,74,<1
2021-10,78,<1
2021-11,80,<1
2021-12,71,<1
2022-01,64,<1
2022-02,69,<1
2022-03,73,<1
2022-04,80,<1
2022-05,76,<1
2022-06,80,<1
2022-07,80,<1
2022-08,80,<1
2022-09,80,<1
2022-10,77,<1
2022-11,74,<1
2022-12,75,<1
2023-01,74,<1
2023-02,72,<1
2023-03,69,<1
2023-04,77,<1
2023-05,80,<1
2023-06,75,<1
2023-07,75,<1
2023-08,81,<1
2023-09,72,<1
2023-10,79,<1
2023-11,80,<1
2023-12,80,<1
2024-01,75,<1
2024-02,80,<1
2024-03,82,<1
2024-04,84,<1
2024-05,84,<1
2024-06,86,<1
2024-07,90,<1
2024-08,92,<1
2024-09,91,<1
2024-10,98,<1
2024-11,95,<1
2024-12,86,<1
2025-01,90,<1
2025-02,100,<1
