Category: All categories

Month,You can't defeat me: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,17
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,30
2018-08,68
2018-09,53
2018-10,46
2018-11,49
2018-12,42
2019-01,42
2019-02,57
2019-03,48
2019-04,41
2019-05,76
2019-06,65
2019-07,68
2019-08,61
2019-09,50
2019-10,65
2019-11,46
2019-12,47
2020-01,40
2020-02,47
2020-03,53
2020-04,47
2020-05,58
2020-06,71
2020-07,47
2020-08,45
2020-09,44
2020-10,42
2020-11,41
2020-12,49
2021-01,49
2021-02,45
2021-03,83
2021-04,100
2021-05,81
2021-06,65
2021-07,71
2021-08,46
2021-09,35
2021-10,44
2021-11,37
2021-12,41
2022-01,51
2022-02,52
2022-03,55
2022-04,48
2022-05,55
2022-06,56
2022-07,43
2022-08,35
2022-09,48
2022-10,21
2022-11,29
2022-12,44
2023-01,40
2023-02,42
2023-03,36
2023-04,39
2023-05,41
2023-06,32
2023-07,26
2023-08,38
2023-09,38
2023-10,27
2023-11,28
2023-12,25
2024-01,29
2024-02,27
2024-03,25
2024-04,31
2024-05,19
2024-06,25
2024-07,33
2024-08,27
2024-09,39
2024-10,31
2024-11,24
2024-12,35
2025-01,23
2025-02,23
