Category: All categories

Month,Don't You Squidward: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,10
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,66
2016-02,69
2016-03,37
2016-04,42
2016-05,55
2016-06,95
2016-07,71
2016-08,28
2016-09,38
2016-10,42
2016-11,94
2016-12,70
2017-01,37
2017-02,54
2017-03,91
2017-04,100
2017-05,99
2017-06,43
2017-07,66
2017-08,70
2017-09,48
2017-10,34
2017-11,46
2017-12,79
2018-01,55
2018-02,44
2018-03,30
2018-04,67
2018-05,80
2018-06,71
2018-07,36
2018-08,32
2018-09,51
2018-10,49
2018-11,43
2018-12,45
2019-01,43
2019-02,39
2019-03,35
2019-04,31
2019-05,33
2019-06,22
2019-07,28
2019-08,33
2019-09,31
2019-10,27
2019-11,55
2019-12,34
2020-01,35
2020-02,28
2020-03,36
2020-04,22
2020-05,20
2020-06,28
2020-07,32
2020-08,29
2020-09,39
2020-10,35
2020-11,34
2020-12,30
2021-01,35
2021-02,28
2021-03,17
2021-04,23
2021-05,28
2021-06,34
2021-07,31
2021-08,27
2021-09,25
2021-10,19
2021-11,27
2021-12,14
2022-01,38
2022-02,26
2022-03,21
2022-04,27
2022-05,28
2022-06,23
2022-07,23
2022-08,23
2022-09,24
2022-10,33
2022-11,30
2022-12,34
2023-01,25
2023-02,29
2023-03,34
2023-04,26
2023-05,26
2023-06,15
2023-07,10
2023-08,18
2023-09,19
2023-10,16
2023-11,14
2023-12,22
2024-01,22
2024-02,15
2024-03,11
2024-04,21
2024-05,29
2024-06,33
2024-07,36
2024-08,32
2024-09,40
2024-10,27
2024-11,27
2024-12,20
2025-01,27
2025-02,13
