Category: All categories

Month,Am I The Only One Around Here: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,15
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,9
2012-03,0
2012-04,0
2012-05,41
2012-06,73
2012-07,66
2012-08,100
2012-09,83
2012-10,52
2012-11,92
2012-12,79
2013-01,58
2013-02,60
2013-03,60
2013-04,60
2013-05,76
2013-06,95
2013-07,81
2013-08,62
2013-09,59
2013-10,44
2013-11,44
2013-12,42
2014-01,28
2014-02,42
2014-03,37
2014-04,36
2014-05,37
2014-06,26
2014-07,34
2014-08,40
2014-09,31
2014-10,38
2014-11,31
2014-12,30
2015-01,30
2015-02,20
2015-03,21
2015-04,32
2015-05,27
2015-06,28
2015-07,19
2015-08,22
2015-09,20
2015-10,19
2015-11,17
2015-12,22
2016-01,17
2016-02,25
2016-03,19
2016-04,21
2016-05,18
2016-06,18
2016-07,21
2016-08,11
2016-09,14
2016-10,12
2016-11,11
2016-12,12
2017-01,12
2017-02,12
2017-03,16
2017-04,12
2017-05,5
2017-06,11
2017-07,13
2017-08,7
2017-09,10
2017-10,11
2017-11,9
2017-12,7
2018-01,11
2018-02,8
2018-03,9
2018-04,8
2018-05,10
2018-06,7
2018-07,8
2018-08,7
2018-09,10
2018-10,8
2018-11,6
2018-12,0
2019-01,10
2019-02,10
2019-03,7
2019-04,12
2019-05,9
2019-06,0
2019-07,9
2019-08,11
2019-09,10
2019-10,11
2019-11,9
2019-12,9
2020-01,7
2020-02,8
2020-03,10
2020-04,14
2020-05,14
2020-06,15
2020-07,8
2020-08,9
2020-09,14
2020-10,11
2020-11,14
2020-12,10
2021-01,12
2021-02,13
2021-03,16
2021-04,14
2021-05,14
2021-06,14
2021-07,13
2021-08,16
2021-09,15
2021-10,22
2021-11,21
2021-12,15
2022-01,14
2022-02,18
2022-03,14
2022-04,17
2022-05,14
2022-06,17
2022-07,9
2022-08,14
2022-09,9
2022-10,15
2022-11,14
2022-12,17
2023-01,17
2023-02,17
2023-03,22
2023-04,17
2023-05,25
2023-06,14
2023-07,12
2023-08,14
2023-09,11
2023-10,14
2023-11,16
2023-12,12
2024-01,16
2024-02,13
2024-03,17
2024-04,19
2024-05,16
2024-06,21
2024-07,17
2024-08,25
2024-09,22
2024-10,19
2024-11,20
2024-12,22
2025-01,22
2025-02,14
