Category: All categories

Month,Back In My Day: (Worldwide)
2004-01,22
2004-02,0
2004-03,0
2004-04,31
2004-05,0
2004-06,18
2004-07,21
2004-08,19
2004-09,22
2004-10,25
2004-11,0
2004-12,18
2005-01,22
2005-02,16
2005-03,0
2005-04,37
2005-05,33
2005-06,27
2005-07,19
2005-08,19
2005-09,30
2005-10,27
2005-11,24
2005-12,13
2006-01,25
2006-02,19
2006-03,23
2006-04,35
2006-05,17
2006-06,17
2006-07,20
2006-08,26
2006-09,21
2006-10,27
2006-11,17
2006-12,24
2007-01,20
2007-02,19
2007-03,25
2007-04,17
2007-05,20
2007-06,20
2007-07,25
2007-08,23
2007-09,20
2007-10,20
2007-11,16
2007-12,25
2008-01,25
2008-02,20
2008-03,23
2008-04,20
2008-05,22
2008-06,20
2008-07,26
2008-08,22
2008-09,21
2008-10,24
2008-11,18
2008-12,24
2009-01,26
2009-02,25
2009-03,27
2009-04,30
2009-05,29
2009-06,30
2009-07,31
2009-08,32
2009-09,23
2009-10,22
2009-11,26
2009-12,23
2010-01,28
2010-02,28
2010-03,28
2010-04,30
2010-05,32
2010-06,29
2010-07,30
2010-08,33
2010-09,29
2010-10,30
2010-11,26
2010-12,23
2011-01,31
2011-02,28
2011-03,28
2011-04,30
2011-05,31
2011-06,29
2011-07,30
2011-08,31
2011-09,31
2011-10,30
2011-11,27
2011-12,28
2012-01,28
2012-02,31
2012-03,29
2012-04,34
2012-05,31
2012-06,32
2012-07,32
2012-08,37
2012-09,35
2012-10,31
2012-11,28
2012-12,34
2013-01,32
2013-02,32
2013-03,29
2013-04,32
2013-05,32
2013-06,32
2013-07,29
2013-08,33
2013-09,28
2013-10,28
2013-11,28
2013-12,29
2014-01,32
2014-02,33
2014-03,29
2014-04,31
2014-05,33
2014-06,30
2014-07,26
2014-08,30
2014-09,29
2014-10,27
2014-11,29
2014-12,28
2015-01,29
2015-02,28
2015-03,27
2015-04,28
2015-05,27
2015-06,29
2015-07,28
2015-08,30
2015-09,29
2015-10,29
2015-11,29
2015-12,30
2016-01,38
2016-02,38
2016-03,40
2016-04,38
2016-05,41
2016-06,37
2016-07,39
2016-08,41
2016-09,39
2016-10,32
2016-11,33
2016-12,35
2017-01,37
2017-02,36
2017-03,36
2017-04,37
2017-05,40
2017-06,37
2017-07,32
2017-08,35
2017-09,36
2017-10,34
2017-11,33
2017-12,34
2018-01,34
2018-02,37
2018-03,38
2018-04,35
2018-05,35
2018-06,33
2018-07,33
2018-08,34
2018-09,36
2018-10,35
2018-11,35
2018-12,32
2019-01,36
2019-02,38
2019-03,40
2019-04,40
2019-05,41
2019-06,38
2019-07,36
2019-08,37
2019-09,39
2019-10,43
2019-11,43
2019-12,38
2020-01,44
2020-02,48
2020-03,45
2020-04,59
2020-05,61
2020-06,55
2020-07,43
2020-08,58
2020-09,56
2020-10,52
2020-11,49
2020-12,50
2021-01,53
2021-02,57
2021-03,61
2021-04,54
2021-05,62
2021-06,64
2021-07,50
2021-08,54
2021-09,59
2021-10,59
2021-11,63
2021-12,62
2022-01,69
2022-02,76
2022-03,69
2022-04,72
2022-05,71
2022-06,70
2022-07,61
2022-08,63
2022-09,68
2022-10,73
2022-11,70
2022-12,67
2023-01,72
2023-02,77
2023-03,76
2023-04,83
2023-05,79
2023-06,74
2023-07,57
2023-08,58
2023-09,68
2023-10,64
2023-11,62
2023-12,64
2024-01,68
2024-02,78
2024-03,75
2024-04,78
2024-05,78
2024-06,77
2024-07,69
2024-08,72
2024-09,83
2024-10,86
2024-11,86
2024-12,84
2025-01,93
2025-02,100
