Category: All categories

Month,c'mon do something: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,23
2017-03,0
2017-04,0
2017-05,0
2017-06,17
2017-07,0
2017-08,0
2017-09,0
2017-10,16
2017-11,13
2017-12,18
2018-01,20
2018-02,19
2018-03,13
2018-04,21
2018-05,13
2018-06,21
2018-07,18
2018-08,18
2018-09,29
2018-10,18
2018-11,17
2018-12,15
2019-01,24
2019-02,28
2019-03,20
2019-04,18
2019-05,20
2019-06,25
2019-07,26
2019-08,17
2019-09,19
2019-10,25
2019-11,22
2019-12,19
2020-01,24
2020-02,15
2020-03,20
2020-04,35
2020-05,30
2020-06,33
2020-07,28
2020-08,33
2020-09,25
2020-10,40
2020-11,43
2020-12,37
2021-01,41
2021-02,44
2021-03,38
2021-04,39
2021-05,34
2021-06,40
2021-07,31
2021-08,34
2021-09,39
2021-10,44
2021-11,31
2021-12,44
2022-01,53
2022-02,65
2022-03,76
2022-04,63
2022-05,74
2022-06,67
2022-07,69
2022-08,53
2022-09,64
2022-10,75
2022-11,62
2022-12,76
2023-01,58
2023-02,56
2023-03,72
2023-04,67
2023-05,58
2023-06,56
2023-07,56
2023-08,42
2023-09,59
2023-10,61
2023-11,49
2023-12,58
2024-01,62
2024-02,62
2024-03,100
2024-04,65
2024-05,64
2024-06,69
2024-07,75
2024-08,62
2024-09,80
2024-10,79
2024-11,67
2024-12,76
2025-01,64
2025-02,86
