Category: All categories

Month,Two Buttons: (Worldwide)
2004-01,43
2004-02,37
2004-03,94
2004-04,70
2004-05,50
2004-06,55
2004-07,41
2004-08,56
2004-09,46
2004-10,55
2004-11,45
2004-12,33
2005-01,53
2005-02,48
2005-03,47
2005-04,47
2005-05,56
2005-06,46
2005-07,50
2005-08,53
2005-09,45
2005-10,31
2005-11,52
2005-12,49
2006-01,47
2006-02,52
2006-03,32
2006-04,51
2006-05,34
2006-06,44
2006-07,49
2006-08,34
2006-09,31
2006-10,43
2006-11,34
2006-12,31
2007-01,37
2007-02,43
2007-03,49
2007-04,37
2007-05,35
2007-06,41
2007-07,41
2007-08,34
2007-09,43
2007-10,39
2007-11,41
2007-12,37
2008-01,41
2008-02,40
2008-03,36
2008-04,41
2008-05,35
2008-06,40
2008-07,42
2008-08,36
2008-09,44
2008-10,37
2008-11,40
2008-12,37
2009-01,45
2009-02,52
2009-03,47
2009-04,39
2009-05,46
2009-06,47
2009-07,37
2009-08,42
2009-09,45
2009-10,45
2009-11,44
2009-12,45
2010-01,47
2010-02,49
2010-03,55
2010-04,49
2010-05,45
2010-06,52
2010-07,49
2010-08,57
2010-09,48
2010-10,49
2010-11,45
2010-12,50
2011-01,49
2011-02,45
2011-03,44
2011-04,51
2011-05,48
2011-06,50
2011-07,47
2011-08,45
2011-09,49
2011-10,49
2011-11,55
2011-12,49
2012-01,48
2012-02,50
2012-03,50
2012-04,56
2012-05,52
2012-06,54
2012-07,51
2012-08,58
2012-09,56
2012-10,57
2012-11,57
2012-12,54
2013-01,57
2013-02,63
2013-03,65
2013-04,61
2013-05,56
2013-06,53
2013-07,60
2013-08,60
2013-09,59
2013-10,60
2013-11,62
2013-12,58
2014-01,61
2014-02,59
2014-03,60
2014-04,61
2014-05,55
2014-06,57
2014-07,62
2014-08,63
2014-09,60
2014-10,61
2014-11,60
2014-12,64
2015-01,65
2015-02,72
2015-03,71
2015-04,67
2015-05,67
2015-06,65
2015-07,67
2015-08,68
2015-09,71
2015-10,66
2015-11,71
2015-12,72
2016-01,68
2016-02,74
2016-03,70
2016-04,71
2016-05,67
2016-06,67
2016-07,63
2016-08,57
2016-09,67
2016-10,69
2016-11,71
2016-12,68
2017-01,68
2017-02,71
2017-03,77
2017-04,75
2017-05,67
2017-06,68
2017-07,66
2017-08,67
2017-09,70
2017-10,67
2017-11,67
2017-12,63
2018-01,67
2018-02,69
2018-03,71
2018-04,65
2018-05,66
2018-06,61
2018-07,67
2018-08,62
2018-09,63
2018-10,63
2018-11,65
2018-12,65
2019-01,66
2019-02,68
2019-03,68
2019-04,62
2019-05,61
2019-06,65
2019-07,63
2019-08,67
2019-09,69
2019-10,67
2019-11,63
2019-12,59
2020-01,60
2020-02,67
2020-03,65
2020-04,73
2020-05,72
2020-06,69
2020-07,70
2020-08,71
2020-09,74
2020-10,68
2020-11,59
2020-12,60
2021-01,62
2021-02,68
2021-03,70
2021-04,66
2021-05,58
2021-06,61
2021-07,63
2021-08,62
2021-09,64
2021-10,74
2021-11,66
2021-12,72
2022-01,82
2022-02,96
2022-03,100
2022-04,92
2022-05,88
2022-06,84
2022-07,83
2022-08,79
2022-09,94
2022-10,96
2022-11,83
2022-12,83
2023-01,87
2023-02,93
2023-03,87
2023-04,80
2023-05,83
2023-06,78
2023-07,77
2023-08,75
2023-09,87
2023-10,89
2023-11,84
2023-12,81
2024-01,84
2024-02,94
2024-03,86
2024-04,83
2024-05,87
2024-06,80
2024-07,79
2024-08,80
2024-09,91
2024-10,92
2024-11,90
2024-12,89
2025-01,87
2025-02,94
