Category: All categories

Month,Disaster Girl: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,16
2005-01,21
2005-02,22
2005-03,25
2005-04,15
2005-05,0
2005-06,14
2005-07,0
2005-08,13
2005-09,22
2005-10,22
2005-11,14
2005-12,27
2006-01,16
2006-02,13
2006-03,12
2006-04,16
2006-05,23
2006-06,13
2006-07,10
2006-08,11
2006-09,8
2006-10,14
2006-11,8
2006-12,9
2007-01,9
2007-02,17
2007-03,11
2007-04,17
2007-05,11
2007-06,16
2007-07,12
2007-08,12
2007-09,15
2007-10,10
2007-11,15
2007-12,10
2008-01,11
2008-02,10
2008-03,15
2008-04,13
2008-05,15
2008-06,11
2008-07,10
2008-08,23
2008-09,22
2008-10,22
2008-11,25
2008-12,23
2009-01,28
2009-02,21
2009-03,22
2009-04,18
2009-05,24
2009-06,22
2009-07,20
2009-08,20
2009-09,20
2009-10,18
2009-11,19
2009-12,19
2010-01,21
2010-02,19
2010-03,17
2010-04,21
2010-05,22
2010-06,18
2010-07,21
2010-08,17
2010-09,20
2010-10,19
2010-11,17
2010-12,14
2011-01,17
2011-02,19
2011-03,23
2011-04,25
2011-05,38
2011-06,22
2011-07,19
2011-08,20
2011-09,22
2011-10,22
2011-11,29
2011-12,24
2012-01,24
2012-02,21
2012-03,19
2012-04,21
2012-05,22
2012-06,32
2012-07,20
2012-08,19
2012-09,19
2012-10,19
2012-11,21
2012-12,34
2013-01,26
2013-02,21
2013-03,20
2013-04,21
2013-05,23
2013-06,21
2013-07,17
2013-08,17
2013-09,16
2013-10,16
2013-11,17
2013-12,15
2014-01,24
2014-02,18
2014-03,15
2014-04,21
2014-05,17
2014-06,16
2014-07,27
2014-08,17
2014-09,22
2014-10,17
2014-11,15
2014-12,15
2015-01,19
2015-02,14
2015-03,15
2015-04,16
2015-05,14
2015-06,14
2015-07,15
2015-08,12
2015-09,13
2015-10,14
2015-11,14
2015-12,14
2016-01,16
2016-02,15
2016-03,15
2016-04,14
2016-05,14
2016-06,15
2016-07,14
2016-08,19
2016-09,13
2016-10,28
2016-11,15
2016-12,16
2017-01,29
2017-02,13
2017-03,15
2017-04,16
2017-05,19
2017-06,16
2017-07,16
2017-08,13
2017-09,17
2017-10,22
2017-11,15
2017-12,20
2018-01,21
2018-02,16
2018-03,14
2018-04,12
2018-05,12
2018-06,14
2018-07,15
2018-08,13
2018-09,13
2018-10,12
2018-11,12
2018-12,13
2019-01,12
2019-02,11
2019-03,11
2019-04,21
2019-05,12
2019-06,13
2019-07,12
2019-08,12
2019-09,10
2019-10,10
2019-11,13
2019-12,13
2020-01,12
2020-02,13
2020-03,13
2020-04,13
2020-05,13
2020-06,12
2020-07,12
2020-08,11
2020-09,11
2020-10,11
2020-11,24
2020-12,19
2021-01,13
2021-02,14
2021-03,15
2021-04,85
2021-05,100
2021-06,25
2021-07,18
2021-08,16
2021-09,17
2021-10,18
2021-11,16
2021-12,18
2022-01,19
2022-02,17
2022-03,17
2022-04,18
2022-05,16
2022-06,18
2022-07,16
2022-08,15
2022-09,18
2022-10,18
2022-11,15
2022-12,15
2023-01,15
2023-02,16
2023-03,16
2023-04,15
2023-05,18
2023-06,19
2023-07,18
2023-08,18
2023-09,15
2023-10,16
2023-11,18
2023-12,16
2024-01,15
2024-02,20
2024-03,15
2024-04,16
2024-05,17
2024-06,17
2024-07,16
2024-08,14
2024-09,15
2024-10,15
2024-11,14
2024-12,18
2025-01,17
2025-02,17
