Category: All categories

Month,Domino Effect: (Worldwide)
2004-01,0
2004-02,30
2004-03,43
2004-04,42
2004-05,48
2004-06,22
2004-07,31
2004-08,36
2004-09,26
2004-10,48
2004-11,53
2004-12,35
2005-01,30
2005-02,34
2005-03,42
2005-04,48
2005-05,48
2005-06,33
2005-07,29
2005-08,38
2005-09,32
2005-10,36
2005-11,48
2005-12,26
2006-01,21
2006-02,35
2006-03,54
2006-04,44
2006-05,47
2006-06,29
2006-07,22
2006-08,25
2006-09,34
2006-10,30
2006-11,53
2006-12,31
2007-01,33
2007-02,38
2007-03,56
2007-04,58
2007-05,56
2007-06,47
2007-07,36
2007-08,35
2007-09,32
2007-10,38
2007-11,46
2007-12,39
2008-01,30
2008-02,45
2008-03,40
2008-04,38
2008-05,44
2008-06,33
2008-07,30
2008-08,25
2008-09,48
2008-10,54
2008-11,46
2008-12,42
2009-01,35
2009-02,41
2009-03,51
2009-04,45
2009-05,47
2009-06,45
2009-07,34
2009-08,38
2009-09,40
2009-10,39
2009-11,46
2009-12,44
2010-01,37
2010-02,42
2010-03,46
2010-04,44
2010-05,48
2010-06,37
2010-07,31
2010-08,35
2010-09,44
2010-10,40
2010-11,41
2010-12,39
2011-01,47
2011-02,67
2011-03,52
2011-04,44
2011-05,42
2011-06,36
2011-07,33
2011-08,30
2011-09,39
2011-10,38
2011-11,41
2011-12,34
2012-01,36
2012-02,41
2012-03,41
2012-04,42
2012-05,42
2012-06,30
2012-07,30
2012-08,31
2012-09,41
2012-10,50
2012-11,47
2012-12,37
2013-01,35
2013-02,39
2013-03,44
2013-04,44
2013-05,40
2013-06,33
2013-07,33
2013-08,32
2013-09,43
2013-10,41
2013-11,43
2013-12,35
2014-01,39
2014-02,42
2014-03,41
2014-04,52
2014-05,48
2014-06,30
2014-07,32
2014-08,36
2014-09,40
2014-10,40
2014-11,41
2014-12,36
2015-01,38
2015-02,44
2015-03,60
2015-04,51
2015-05,46
2015-06,37
2015-07,34
2015-08,36
2015-09,39
2015-10,42
2015-11,42
2015-12,35
2016-01,37
2016-02,46
2016-03,46
2016-04,42
2016-05,45
2016-06,44
2016-07,30
2016-08,27
2016-09,36
2016-10,38
2016-11,39
2016-12,36
2017-01,33
2017-02,38
2017-03,44
2017-04,45
2017-05,49
2017-06,36
2017-07,29
2017-08,29
2017-09,34
2017-10,41
2017-11,42
2017-12,32
2018-01,38
2018-02,45
2018-03,45
2018-04,44
2018-05,45
2018-06,30
2018-07,28
2018-08,31
2018-09,34
2018-10,43
2018-11,47
2018-12,38
2019-01,39
2019-02,41
2019-03,42
2019-04,44
2019-05,43
2019-06,31
2019-07,30
2019-08,31
2019-09,40
2019-10,42
2019-11,41
2019-12,37
2020-01,37
2020-02,41
2020-03,66
2020-04,68
2020-05,59
2020-06,46
2020-07,39
2020-08,36
2020-09,46
2020-10,47
2020-11,42
2020-12,35
2021-01,43
2021-02,44
2021-03,49
2021-04,48
2021-05,49
2021-06,41
2021-07,38
2021-08,38
2021-09,44
2021-10,42
2021-11,42
2021-12,41
2022-01,54
2022-02,65
2022-03,65
2022-04,70
2022-05,66
2022-06,54
2022-07,45
2022-08,56
2022-09,51
2022-10,54
2022-11,55
2022-12,46
2023-01,48
2023-02,55
2023-03,66
2023-04,60
2023-05,70
2023-06,83
2023-07,50
2023-08,50
2023-09,52
2023-10,53
2023-11,52
2023-12,49
2024-01,49
2024-02,58
2024-03,59
2024-04,100
2024-05,59
2024-06,44
2024-07,39
2024-08,42
2024-09,44
2024-10,50
2024-11,83
2024-12,49
2025-01,48
2025-02,47
