Category: All categories

Month,Two Paths: (Worldwide)
2004-01,38
2004-02,51
2004-03,0
2004-04,0
2004-05,36
2004-06,0
2004-07,0
2004-08,52
2004-09,29
2004-10,44
2004-11,28
2004-12,42
2005-01,47
2005-02,34
2005-03,41
2005-04,47
2005-05,45
2005-06,50
2005-07,43
2005-08,38
2005-09,32
2005-10,45
2005-11,46
2005-12,29
2006-01,33
2006-02,34
2006-03,48
2006-04,34
2006-05,34
2006-06,43
2006-07,34
2006-08,26
2006-09,30
2006-10,39
2006-11,37
2006-12,27
2007-01,32
2007-02,37
2007-03,26
2007-04,31
2007-05,32
2007-06,27
2007-07,21
2007-08,21
2007-09,28
2007-10,40
2007-11,29
2007-12,28
2008-01,26
2008-02,29
2008-03,27
2008-04,35
2008-05,29
2008-06,26
2008-07,20
2008-08,22
2008-09,31
2008-10,32
2008-11,35
2008-12,31
2009-01,30
2009-02,35
2009-03,31
2009-04,34
2009-05,30
2009-06,31
2009-07,25
2009-08,29
2009-09,31
2009-10,38
2009-11,31
2009-12,33
2010-01,35
2010-02,39
2010-03,46
2010-04,40
2010-05,46
2010-06,33
2010-07,32
2010-08,31
2010-09,35
2010-10,33
2010-11,40
2010-12,34
2011-01,34
2011-02,41
2011-03,37
2011-04,43
2011-05,38
2011-06,39
2011-07,29
2011-08,31
2011-09,40
2011-10,43
2011-11,37
2011-12,33
2012-01,34
2012-02,42
2012-03,41
2012-04,41
2012-05,40
2012-06,43
2012-07,41
2012-08,34
2012-09,43
2012-10,46
2012-11,45
2012-12,36
2013-01,35
2013-02,50
2013-03,48
2013-04,46
2013-05,46
2013-06,36
2013-07,34
2013-08,34
2013-09,45
2013-10,43
2013-11,43
2013-12,36
2014-01,39
2014-02,49
2014-03,51
2014-04,48
2014-05,43
2014-06,36
2014-07,30
2014-08,33
2014-09,41
2014-10,45
2014-11,40
2014-12,36
2015-01,34
2015-02,45
2015-03,43
2015-04,46
2015-05,40
2015-06,33
2015-07,34
2015-08,31
2015-09,42
2015-10,41
2015-11,43
2015-12,36
2016-01,38
2016-02,48
2016-03,47
2016-04,53
2016-05,48
2016-06,39
2016-07,36
2016-08,34
2016-09,44
2016-10,45
2016-11,48
2016-12,36
2017-01,42
2017-02,45
2017-03,55
2017-04,59
2017-05,48
2017-06,37
2017-07,38
2017-08,39
2017-09,61
2017-10,48
2017-11,49
2017-12,40
2018-01,39
2018-02,43
2018-03,47
2018-04,47
2018-05,46
2018-06,35
2018-07,33
2018-08,36
2018-09,40
2018-10,43
2018-11,41
2018-12,35
2019-01,39
2019-02,47
2019-03,43
2019-04,43
2019-05,42
2019-06,37
2019-07,34
2019-08,33
2019-09,39
2019-10,44
2019-11,43
2019-12,36
2020-01,36
2020-02,45
2020-03,44
2020-04,61
2020-05,57
2020-06,46
2020-07,46
2020-08,43
2020-09,65
2020-10,55
2020-11,52
2020-12,50
2021-01,45
2021-02,51
2021-03,51
2021-04,52
2021-05,54
2021-06,47
2021-07,42
2021-08,42
2021-09,45
2021-10,55
2021-11,55
2021-12,43
2022-01,54
2022-02,77
2022-03,84
2022-04,81
2022-05,70
2022-06,59
2022-07,47
2022-08,55
2022-09,65
2022-10,65
2022-11,72
2022-12,64
2023-01,66
2023-02,77
2023-03,100
2023-04,70
2023-05,70
2023-06,53
2023-07,45
2023-08,48
2023-09,61
2023-10,71
2023-11,69
2023-12,60
2024-01,64
2024-02,82
2024-03,82
2024-04,88
2024-05,74
2024-06,61
2024-07,50
2024-08,55
2024-09,74
2024-10,76
2024-11,76
2024-12,64
2025-01,70
2025-02,78
