Category: All categories

Month,Epic Handshake: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,69
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,29
2012-12,29
2013-01,0
2013-02,0
2013-03,27
2013-04,23
2013-05,0
2013-06,23
2013-07,30
2013-08,23
2013-09,32
2013-10,25
2013-11,25
2013-12,22
2014-01,26
2014-02,38
2014-03,37
2014-04,25
2014-05,36
2014-06,19
2014-07,0
2014-08,0
2014-09,22
2014-10,39
2014-11,0
2014-12,0
2015-01,25
2015-02,24
2015-03,22
2015-04,0
2015-05,19
2015-06,20
2015-07,25
2015-08,21
2015-09,16
2015-10,30
2015-11,25
2015-12,0
2016-01,28
2016-02,0
2016-03,0
2016-04,17
2016-05,0
2016-06,21
2016-07,0
2016-08,0
2016-09,17
2016-10,0
2016-11,0
2016-12,0
2017-01,17
2017-02,27
2017-03,0
2017-04,18
2017-05,21
2017-06,17
2017-07,22
2017-08,20
2017-09,20
2017-10,24
2017-11,22
2017-12,0
2018-01,0
2018-02,24
2018-03,20
2018-04,0
2018-05,18
2018-06,22
2018-07,23
2018-08,73
2018-09,84
2018-10,75
2018-11,100
2018-12,97
2019-01,77
2019-02,62
2019-03,50
2019-04,59
2019-05,46
2019-06,39
2019-07,35
2019-08,52
2019-09,65
2019-10,74
2019-11,47
2019-12,50
2020-01,48
2020-02,51
2020-03,57
2020-04,62
2020-05,57
2020-06,56
2020-07,52
2020-08,39
2020-09,57
2020-10,51
2020-11,42
2020-12,47
2021-01,60
2021-02,59
2021-03,39
2021-04,33
2021-05,42
2021-06,44
2021-07,32
2021-08,27
2021-09,42
2021-10,37
2021-11,30
2021-12,46
2022-01,84
2022-02,81
2022-03,60
2022-04,64
2022-05,56
2022-06,66
2022-07,57
2022-08,65
2022-09,80
2022-10,60
2022-11,64
2022-12,54
2023-01,59
2023-02,78
2023-03,53
2023-04,45
2023-05,30
2023-06,58
2023-07,47
2023-08,59
2023-09,55
2023-10,63
2023-11,55
2023-12,60
2024-01,66
2024-02,81
2024-03,55
2024-04,62
2024-05,73
2024-06,56
2024-07,67
2024-08,57
2024-09,79
2024-10,79
2024-11,79
2024-12,64
2025-01,73
2025-02,51
