Category: All categories

Month,First World Problems: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,5
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,3
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,2
2007-09,0
2007-10,2
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,1
2008-05,0
2008-06,0
2008-07,1
2008-08,0
2008-09,1
2008-10,2
2008-11,1
2008-12,0
2009-01,1
2009-02,1
2009-03,2
2009-04,1
2009-05,2
2009-06,2
2009-07,1
2009-08,1
2009-09,2
2009-10,2
2009-11,2
2009-12,2
2010-01,1
2010-02,2
2010-03,2
2010-04,2
2010-05,2
2010-06,2
2010-07,2
2010-08,1
2010-09,2
2010-10,2
2010-11,3
2010-12,3
2011-01,3
2011-02,3
2011-03,6
2011-04,11
2011-05,10
2011-06,17
2011-07,38
2011-08,44
2011-09,52
2011-10,53
2011-11,78
2011-12,100
2012-01,81
2012-02,80
2012-03,79
2012-04,63
2012-05,61
2012-06,65
2012-07,61
2012-08,57
2012-09,56
2012-10,80
2012-11,70
2012-12,64
2013-01,56
2013-02,66
2013-03,59
2013-04,62
2013-05,57
2013-06,68
2013-07,67
2013-08,58
2013-09,56
2013-10,44
2013-11,41
2013-12,54
2014-01,44
2014-02,40
2014-03,37
2014-04,37
2014-05,35
2014-06,35
2014-07,93
2014-08,45
2014-09,36
2014-10,33
2014-11,34
2014-12,28
2015-01,27
2015-02,28
2015-03,28
2015-04,27
2015-05,26
2015-06,27
2015-07,24
2015-08,26
2015-09,26
2015-10,33
2015-11,28
2015-12,24
2016-01,22
2016-02,22
2016-03,23
2016-04,21
2016-05,22
2016-06,20
2016-07,17
2016-08,16
2016-09,18
2016-10,17
2016-11,18
2016-12,16
2017-01,15
2017-02,18
2017-03,22
2017-04,19
2017-05,17
2017-06,16
2017-07,14
2017-08,14
2017-09,20
2017-10,23
2017-11,16
2017-12,15
2018-01,18
2018-02,16
2018-03,15
2018-04,15
2018-05,14
2018-06,12
2018-07,12
2018-08,11
2018-09,13
2018-10,16
2018-11,15
2018-12,13
2019-01,13
2019-02,14
2019-03,13
2019-04,14
2019-05,13
2019-06,12
2019-07,12
2019-08,10
2019-09,13
2019-10,11
2019-11,12
2019-12,12
2020-01,11
2020-02,12
2020-03,14
2020-04,13
2020-05,12
2020-06,11
2020-07,10
2020-08,9
2020-09,11
2020-10,12
2020-11,11
2020-12,11
2021-01,10
2021-02,11
2021-03,11
2021-04,11
2021-05,10
2021-06,9
2021-07,8
2021-08,8
2021-09,9
2021-10,9
2021-11,10
2021-12,10
2022-01,12
2022-02,14
2022-03,15
2022-04,13
2022-05,13
2022-06,10
2022-07,8
2022-08,9
2022-09,11
2022-10,11
2022-11,13
2022-12,11
2023-01,12
2023-02,13
2023-03,14
2023-04,13
2023-05,12
2023-06,9
2023-07,7
2023-08,8
2023-09,10
2023-10,10
2023-11,10
2023-12,9
2024-01,10
2024-02,13
2024-03,12
2024-04,12
2024-05,11
2024-06,9
2024-07,7
2024-08,8
2024-09,10
2024-10,11
2024-11,11
2024-12,9
2025-01,10
2025-02,10
