Category: All categories

Month,I See Dead People: (Worldwide)
2004-01,38
2004-02,36
2004-03,55
2004-04,69
2004-05,65
2004-06,39
2004-07,57
2004-08,45
2004-09,35
2004-10,63
2004-11,60
2004-12,59
2005-01,40
2005-02,35
2005-03,47
2005-04,31
2005-05,31
2005-06,50
2005-07,51
2005-08,58
2005-09,45
2005-10,66
2005-11,49
2005-12,36
2006-01,33
2006-02,39
2006-03,61
2006-04,42
2006-05,41
2006-06,48
2006-07,41
2006-08,52
2006-09,34
2006-10,47
2006-11,41
2006-12,45
2007-01,48
2007-02,39
2007-03,43
2007-04,31
2007-05,36
2007-06,45
2007-07,45
2007-08,41
2007-09,39
2007-10,48
2007-11,38
2007-12,54
2008-01,40
2008-02,37
2008-03,40
2008-04,54
2008-05,42
2008-06,44
2008-07,40
2008-08,41
2008-09,38
2008-10,40
2008-11,39
2008-12,40
2009-01,40
2009-02,43
2009-03,43
2009-04,40
2009-05,42
2009-06,36
2009-07,41
2009-08,41
2009-09,40
2009-10,54
2009-11,47
2009-12,44
2010-01,37
2010-02,45
2010-03,53
2010-04,41
2010-05,44
2010-06,41
2010-07,51
2010-08,48
2010-09,45
2010-10,48
2010-11,47
2010-12,43
2011-01,46
2011-02,44
2011-03,46
2011-04,46
2011-05,51
2011-06,43
2011-07,44
2011-08,49
2011-09,44
2011-10,58
2011-11,57
2011-12,49
2012-01,53
2012-02,53
2012-03,47
2012-04,57
2012-05,51
2012-06,50
2012-07,53
2012-08,53
2012-09,51
2012-10,59
2012-11,55
2012-12,50
2013-01,56
2013-02,54
2013-03,60
2013-04,58
2013-05,53
2013-06,58
2013-07,49
2013-08,50
2013-09,49
2013-10,72
2013-11,51
2013-12,51
2014-01,50
2014-02,52
2014-03,52
2014-04,54
2014-05,50
2014-06,49
2014-07,54
2014-08,52
2014-09,56
2014-10,62
2014-11,68
2014-12,61
2015-01,59
2015-02,62
2015-03,61
2015-04,59
2015-05,64
2015-06,56
2015-07,56
2015-08,61
2015-09,54
2015-10,60
2015-11,51
2015-12,46
2016-01,47
2016-02,53
2016-03,44
2016-04,44
2016-05,44
2016-06,47
2016-07,44
2016-08,37
2016-09,41
2016-10,52
2016-11,40
2016-12,42
2017-01,44
2017-02,45
2017-03,38
2017-04,43
2017-05,40
2017-06,42
2017-07,46
2017-08,44
2017-09,40
2017-10,44
2017-11,41
2017-12,38
2018-01,39
2018-02,50
2018-03,37
2018-04,40
2018-05,37
2018-06,37
2018-07,39
2018-08,37
2018-09,36
2018-10,51
2018-11,39
2018-12,38
2019-01,51
2019-02,40
2019-03,36
2019-04,39
2019-05,80
2019-06,42
2019-07,39
2019-08,49
2019-09,40
2019-10,53
2019-11,47
2019-12,47
2020-01,41
2020-02,37
2020-03,43
2020-04,57
2020-05,58
2020-06,39
2020-07,41
2020-08,43
2020-09,40
2020-10,54
2020-11,47
2020-12,35
2021-01,40
2021-02,37
2021-03,100
2021-04,35
2021-05,40
2021-06,37
2021-07,35
2021-08,35
2021-09,48
2021-10,52
2021-11,42
2021-12,35
2022-01,37
2022-02,37
2022-03,35
2022-04,34
2022-05,36
2022-06,40
2022-07,37
2022-08,34
2022-09,35
2022-10,43
2022-11,35
2022-12,31
2023-01,36
2023-02,48
2023-03,41
2023-04,43
2023-05,42
2023-06,39
2023-07,36
2023-08,31
2023-09,37
2023-10,40
2023-11,31
2023-12,31
2024-01,36
2024-02,43
2024-03,35
2024-04,44
2024-05,76
2024-06,86
2024-07,94
2024-08,71
2024-09,69
2024-10,77
2024-11,57
2024-12,56
2025-01,49
2025-02,79
