Category: All categories

Month,Bell Curve: (Worldwide)
2004-01,76
2004-02,100
2004-03,95
2004-04,90
2004-05,76
2004-06,63
2004-07,66
2004-08,65
2004-09,81
2004-10,90
2004-11,82
2004-12,80
2005-01,82
2005-02,100
2005-03,81
2005-04,83
2005-05,67
2005-06,63
2005-07,62
2005-08,64
2005-09,83
2005-10,80
2005-11,74
2005-12,66
2006-01,58
2006-02,78
2006-03,76
2006-04,69
2006-05,57
2006-06,59
2006-07,50
2006-08,50
2006-09,58
2006-10,71
2006-11,66
2006-12,48
2007-01,55
2007-02,58
2007-03,59
2007-04,60
2007-05,59
2007-06,47
2007-07,43
2007-08,48
2007-09,50
2007-10,79
2007-11,58
2007-12,55
2008-01,50
2008-02,58
2008-03,58
2008-04,57
2008-05,53
2008-06,48
2008-07,44
2008-08,46
2008-09,57
2008-10,61
2008-11,57
2008-12,56
2009-01,55
2009-02,61
2009-03,59
2009-04,60
2009-05,51
2009-06,47
2009-07,49
2009-08,46
2009-09,55
2009-10,63
2009-11,59
2009-12,59
2010-01,47
2010-02,57
2010-03,55
2010-04,58
2010-05,55
2010-06,45
2010-07,40
2010-08,42
2010-09,56
2010-10,62
2010-11,54
2010-12,52
2011-01,48
2011-02,51
2011-03,52
2011-04,57
2011-05,50
2011-06,44
2011-07,36
2011-08,40
2011-09,51
2011-10,54
2011-11,54
2011-12,47
2012-01,48
2012-02,64
2012-03,57
2012-04,55
2012-05,51
2012-06,43
2012-07,39
2012-08,37
2012-09,52
2012-10,56
2012-11,49
2012-12,45
2013-01,45
2013-02,52
2013-03,47
2013-04,48
2013-05,49
2013-06,36
2013-07,35
2013-08,34
2013-09,45
2013-10,53
2013-11,49
2013-12,43
2014-01,40
2014-02,50
2014-03,44
2014-04,48
2014-05,51
2014-06,38
2014-07,33
2014-08,36
2014-09,53
2014-10,52
2014-11,50
2014-12,48
2015-01,42
2015-02,47
2015-03,46
2015-04,47
2015-05,45
2015-06,38
2015-07,38
2015-08,33
2015-09,53
2015-10,49
2015-11,44
2015-12,42
2016-01,38
2016-02,47
2016-03,44
2016-04,47
2016-05,44
2016-06,35
2016-07,29
2016-08,32
2016-09,45
2016-10,48
2016-11,44
2016-12,41
2017-01,41
2017-02,45
2017-03,71
2017-04,57
2017-05,51
2017-06,38
2017-07,33
2017-08,38
2017-09,44
2017-10,50
2017-11,51
2017-12,41
2018-01,44
2018-02,44
2018-03,46
2018-04,49
2018-05,43
2018-06,38
2018-07,34
2018-08,38
2018-09,43
2018-10,50
2018-11,46
2018-12,39
2019-01,37
2019-02,44
2019-03,44
2019-04,44
2019-05,44
2019-06,37
2019-07,33
2019-08,34
2019-09,44
2019-10,48
2019-11,43
2019-12,39
2020-01,40
2020-02,45
2020-03,62
2020-04,50
2020-05,46
2020-06,42
2020-07,36
2020-08,35
2020-09,45
2020-10,39
2020-11,32
2020-12,30
2021-01,30
2021-02,37
2021-03,35
2021-04,36
2021-05,33
2021-06,29
2021-07,27
2021-08,24
2021-09,31
2021-10,35
2021-11,34
2021-12,30
2022-01,35
2022-02,41
2022-03,41
2022-04,47
2022-05,41
2022-06,39
2022-07,35
2022-08,37
2022-09,42
2022-10,44
2022-11,40
2022-12,35
2023-01,36
2023-02,43
2023-03,49
2023-04,43
2023-05,41
2023-06,34
2023-07,31
2023-08,34
2023-09,39
2023-10,43
2023-11,40
2023-12,37
2024-01,40
2024-02,48
2024-03,51
2024-04,47
2024-05,44
2024-06,35
2024-07,33
2024-08,38
2024-09,46
2024-10,47
2024-11,43
2024-12,42
2025-01,38
2025-02,51
