Category: All categories

Month,Batman Slapping Robin: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,10
2012-03,0
2012-04,0
2012-05,0
2012-06,19
2012-07,43
2012-08,37
2012-09,38
2012-10,28
2012-11,54
2012-12,79
2013-01,64
2013-02,92
2013-03,88
2013-04,69
2013-05,50
2013-06,57
2013-07,58
2013-08,58
2013-09,52
2013-10,61
2013-11,77
2013-12,65
2014-01,49
2014-02,70
2014-03,52
2014-04,52
2014-05,60
2014-06,52
2014-07,52
2014-08,51
2014-09,49
2014-10,54
2014-11,64
2014-12,53
2015-01,52
2015-02,53
2015-03,42
2015-04,50
2015-05,43
2015-06,36
2015-07,53
2015-08,55
2015-09,63
2015-10,58
2015-11,56
2015-12,48
2016-01,48
2016-02,46
2016-03,47
2016-04,36
2016-05,41
2016-06,40
2016-07,41
2016-08,29
2016-09,35
2016-10,37
2016-11,38
2016-12,43
2017-01,36
2017-02,41
2017-03,29
2017-04,37
2017-05,32
2017-06,37
2017-07,27
2017-08,24
2017-09,27
2017-10,24
2017-11,35
2017-12,27
2018-01,25
2018-02,31
2018-03,29
2018-04,29
2018-05,26
2018-06,25
2018-07,27
2018-08,22
2018-09,22
2018-10,18
2018-11,21
2018-12,12
2019-01,16
2019-02,22
2019-03,22
2019-04,21
2019-05,26
2019-06,19
2019-07,20
2019-08,23
2019-09,18
2019-10,22
2019-11,22
2019-12,20
2020-01,18
2020-02,25
2020-03,28
2020-04,35
2020-05,31
2020-06,24
2020-07,24
2020-08,19
2020-09,18
2020-10,23
2020-11,24
2020-12,18
2021-01,22
2021-02,20
2021-03,15
2021-04,18
2021-05,19
2021-06,15
2021-07,16
2021-08,18
2021-09,16
2021-10,14
2021-11,10
2021-12,16
2022-01,15
2022-02,9
2022-03,100
2022-04,25
2022-05,15
2022-06,12
2022-07,14
2022-08,14
2022-09,12
2022-10,15
2022-11,14
2022-12,15
2023-01,14
2023-02,17
2023-03,16
2023-04,12
2023-05,12
2023-06,14
2023-07,8
2023-08,9
2023-09,10
2023-10,11
2023-11,11
2023-12,12
2024-01,8
2024-02,11
2024-03,10
2024-04,12
2024-05,11
2024-06,11
2024-07,8
2024-08,13
2024-09,11
2024-10,11
2024-11,10
2024-12,9
2025-01,9
2025-02,10
