Category: All categories

Month,Look At All These: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,19
2005-07,0
2005-08,0
2005-09,0
2005-10,18
2005-11,10
2005-12,0
2006-01,0
2006-02,0
2006-03,10
2006-04,10
2006-05,13
2006-06,0
2006-07,9
2006-08,9
2006-09,10
2006-10,8
2006-11,9
2006-12,8
2007-01,8
2007-02,8
2007-03,7
2007-04,8
2007-05,6
2007-06,11
2007-07,8
2007-08,7
2007-09,7
2007-10,9
2007-11,10
2007-12,9
2008-01,11
2008-02,8
2008-03,9
2008-04,9
2008-05,7
2008-06,7
2008-07,7
2008-08,9
2008-09,9
2008-10,6
2008-11,8
2008-12,5
2009-01,8
2009-02,6
2009-03,8
2009-04,6
2009-05,7
2009-06,6
2009-07,6
2009-08,9
2009-09,5
2009-10,6
2009-11,7
2009-12,6
2010-01,7
2010-02,6
2010-03,9
2010-04,8
2010-05,8
2010-06,9
2010-07,7
2010-08,9
2010-09,9
2010-10,8
2010-11,7
2010-12,8
2011-01,9
2011-02,7
2011-03,9
2011-04,10
2011-05,10
2011-06,9
2011-07,10
2011-08,10
2011-09,10
2011-10,10
2011-11,10
2011-12,9
2012-01,9
2012-02,10
2012-03,9
2012-04,10
2012-05,12
2012-06,8
2012-07,24
2012-08,17
2012-09,11
2012-10,11
2012-11,14
2012-12,13
2013-01,12
2013-02,12
2013-03,10
2013-04,12
2013-05,9
2013-06,11
2013-07,10
2013-08,11
2013-09,10
2013-10,10
2013-11,12
2013-12,10
2014-01,10
2014-02,11
2014-03,11
2014-04,11
2014-05,10
2014-06,9
2014-07,11
2014-08,16
2014-09,26
2014-10,25
2014-11,19
2014-12,16
2015-01,14
2015-02,13
2015-03,15
2015-04,16
2015-05,16
2015-06,14
2015-07,13
2015-08,11
2015-09,10
2015-10,13
2015-11,14
2015-12,11
2016-01,18
2016-02,19
2016-03,18
2016-04,18
2016-05,17
2016-06,15
2016-07,12
2016-08,12
2016-09,15
2016-10,16
2016-11,16
2016-12,16
2017-01,17
2017-02,19
2017-03,22
2017-04,22
2017-05,19
2017-06,15
2017-07,20
2017-08,14
2017-09,15
2017-10,19
2017-11,19
2017-12,17
2018-01,14
2018-02,17
2018-03,21
2018-04,22
2018-05,20
2018-06,14
2018-07,16
2018-08,16
2018-09,22
2018-10,20
2018-11,20
2018-12,18
2019-01,18
2019-02,20
2019-03,24
2019-04,24
2019-05,24
2019-06,18
2019-07,16
2019-08,18
2019-09,26
2019-10,24
2019-11,23
2019-12,20
2020-01,20
2020-02,25
2020-03,26
2020-04,32
2020-05,35
2020-06,34
2020-07,28
2020-08,25
2020-09,38
2020-10,43
2020-11,34
2020-12,33
2021-01,30
2021-02,37
2021-03,42
2021-04,41
2021-05,43
2021-06,35
2021-07,29
2021-08,29
2021-09,43
2021-10,50
2021-11,47
2021-12,40
2022-01,45
2022-02,58
2022-03,70
2022-04,70
2022-05,60
2022-06,49
2022-07,32
2022-08,37
2022-09,61
2022-10,64
2022-11,63
2022-12,55
2023-01,59
2023-02,78
2023-03,75
2023-04,77
2023-05,81
2023-06,49
2023-07,29
2023-08,35
2023-09,62
2023-10,67
2023-11,65
2023-12,54
2024-01,62
2024-02,90
2024-03,79
2024-04,94
2024-05,72
2024-06,62
2024-07,44
2024-08,56
2024-09,93
2024-10,100
2024-11,89
2024-12,85
2025-01,81
2025-02,85
