Category: All categories

Month,Pentagon Hexagon Octagon: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,28
2006-01,0
2006-02,0
2006-03,18
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,26
2006-10,17
2006-11,0
2006-12,0
2007-01,0
2007-02,24
2007-03,21
2007-04,24
2007-05,29
2007-06,17
2007-07,0
2007-08,15
2007-09,20
2007-10,17
2007-11,16
2007-12,14
2008-01,26
2008-02,31
2008-03,25
2008-04,18
2008-05,23
2008-06,0
2008-07,8
2008-08,17
2008-09,13
2008-10,23
2008-11,19
2008-12,16
2009-01,24
2009-02,27
2009-03,38
2009-04,20
2009-05,21
2009-06,13
2009-07,7
2009-08,13
2009-09,26
2009-10,22
2009-11,26
2009-12,14
2010-01,34
2010-02,36
2010-03,24
2010-04,27
2010-05,30
2010-06,19
2010-07,10
2010-08,10
2010-09,22
2010-10,26
2010-11,30
2010-12,19
2011-01,34
2011-02,40
2011-03,36
2011-04,30
2011-05,31
2011-06,20
2011-07,11
2011-08,13
2011-09,21
2011-10,25
2011-11,30
2011-12,19
2012-01,33
2012-02,44
2012-03,38
2012-04,37
2012-05,33
2012-06,22
2012-07,12
2012-08,15
2012-09,33
2012-10,39
2012-11,31
2012-12,24
2013-01,38
2013-02,49
2013-03,42
2013-04,44
2013-05,41
2013-06,24
2013-07,18
2013-08,18
2013-09,34
2013-10,32
2013-11,34
2013-12,25
2014-01,39
2014-02,58
2014-03,53
2014-04,54
2014-05,51
2014-06,22
2014-07,15
2014-08,20
2014-09,33
2014-10,40
2014-11,43
2014-12,32
2015-01,44
2015-02,54
2015-03,57
2015-04,54
2015-05,55
2015-06,30
2015-07,19
2015-08,22
2015-09,36
2015-10,41
2015-11,48
2015-12,36
2016-01,43
2016-02,52
2016-03,49
2016-04,53
2016-05,50
2016-06,25
2016-07,16
2016-08,20
2016-09,29
2016-10,32
2016-11,38
2016-12,27
2017-01,43
2017-02,45
2017-03,52
2017-04,45
2017-05,47
2017-06,26
2017-07,18
2017-08,21
2017-09,32
2017-10,40
2017-11,47
2017-12,33
2018-01,47
2018-02,48
2018-03,54
2018-04,51
2018-05,55
2018-06,25
2018-07,19
2018-08,18
2018-09,35
2018-10,50
2018-11,56
2018-12,40
2019-01,51
2019-02,60
2019-03,61
2019-04,61
2019-05,56
2019-06,29
2019-07,21
2019-08,23
2019-09,37
2019-10,44
2019-11,45
2019-12,38
2020-01,52
2020-02,56
2020-03,71
2020-04,100
2020-05,87
2020-06,51
2020-07,35
2020-08,39
2020-09,54
2020-10,48
2020-11,48
2020-12,36
2021-01,57
2021-02,66
2021-03,66
2021-04,62
2021-05,75
2021-06,42
2021-07,27
2021-08,30
2021-09,33
2021-10,36
2021-11,35
2021-12,28
2022-01,54
2022-02,64
2022-03,91
2022-04,83
2022-05,75
2022-06,44
2022-07,35
2022-08,40
2022-09,52
2022-10,49
2022-11,49
2022-12,42
2023-01,58
2023-02,72
2023-03,89
2023-04,62
2023-05,74
2023-06,40
2023-07,30
2023-08,32
2023-09,38
2023-10,42
2023-11,44
2023-12,37
2024-01,47
2024-02,63
2024-03,59
2024-04,59
2024-05,54
2024-06,35
2024-07,32
2024-08,60
2024-09,42
2024-10,38
2024-11,37
2024-12,32
2025-01,41
2025-02,45
