Category: All categories

Month,i don't always: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,<1
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,53
2016-02,49
2016-03,45
2016-04,50
2016-05,47
2016-06,46
2016-07,46
2016-08,41
2016-09,46
2016-10,43
2016-11,44
2016-12,42
2017-01,45
2017-02,47
2017-03,44
2017-04,42
2017-05,43
2017-06,39
2017-07,42
2017-08,39
2017-09,39
2017-10,42
2017-11,41
2017-12,35
2018-01,35
2018-02,37
2018-03,39
2018-04,38
2018-05,39
2018-06,37
2018-07,34
2018-08,36
2018-09,39
2018-10,38
2018-11,37
2018-12,37
2019-01,36
2019-02,42
2019-03,39
2019-04,36
2019-05,35
2019-06,38
2019-07,39
2019-08,38
2019-09,37
2019-10,37
2019-11,40
2019-12,38
2020-01,35
2020-02,38
2020-03,37
2020-04,45
2020-05,46
2020-06,44
2020-07,44
2020-08,37
2020-09,44
2020-10,44
2020-11,46
2020-12,43
2021-01,43
2021-02,47
2021-03,47
2021-04,45
2021-05,50
2021-06,50
2021-07,47
2021-08,48
2021-09,51
2021-10,59
2021-11,60
2021-12,60
2022-01,62
2022-02,98
2022-03,89
2022-04,79
2022-05,77
2022-06,75
2022-07,68
2022-08,68
2022-09,83
2022-10,90
2022-11,82
2022-12,87
2023-01,81
2023-02,88
2023-03,89
2023-04,94
2023-05,100
2023-06,69
2023-07,48
2023-08,49
2023-09,54
2023-10,53
2023-11,47
2023-12,49
2024-01,50
2024-02,54
2024-03,49
2024-04,53
2024-05,51
2024-06,51
2024-07,48
2024-08,64
2024-09,58
2024-10,56
2024-11,54
2024-12,56
2025-01,57
2025-02,61
