Category: All categories

Month,So I Got That Goin For Me Which Is Nice: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,46
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,20
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,38
2013-12,100
2014-01,58
2014-02,45
2014-03,25
2014-04,23
2014-05,23
2014-06,38
2014-07,43
2014-08,59
2014-09,41
2014-10,19
2014-11,38
2014-12,23
2015-01,35
2015-02,22
2015-03,21
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,21
2015-09,0
2015-10,15
2015-11,20
2015-12,20
2016-01,18
2016-02,0
2016-03,18
2016-04,19
2016-05,50
2016-06,21
2016-07,0
2016-08,27
2016-09,34
2016-10,14
2016-11,16
2016-12,0
2017-01,19
2017-02,0
2017-03,0
2017-04,16
2017-05,21
2017-06,0
2017-07,0
2017-08,16
2017-09,17
2017-10,0
2017-11,0
2017-12,17
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,12
2019-09,0
2019-10,14
2019-11,22
2019-12,0
2020-01,0
2020-02,0
2020-03,16
2020-04,0
2020-05,16
2020-06,10
2020-07,16
2020-08,18
2020-09,19
2020-10,18
2020-11,14
2020-12,12
2021-01,12
2021-02,15
2021-03,0
2021-04,11
2021-05,0
2021-06,13
2021-07,19
2021-08,0
2021-09,14
2021-10,0
2021-11,0
2021-12,0
2022-01,15
2022-02,13
2022-03,9
2022-04,0
2022-05,11
2022-06,22
2022-07,13
2022-08,18
2022-09,12
2022-10,0
2022-11,9
2022-12,14
2023-01,23
2023-02,11
2023-03,13
2023-04,15
2023-05,16
2023-06,20
2023-07,22
2023-08,20
2023-09,0
2023-10,0
2023-11,10
2023-12,11
2024-01,0
2024-02,0
2024-03,14
2024-04,0
2024-05,0
2024-06,14
2024-07,0
2024-08,0
2024-09,0
2024-10,0
2024-11,0
2024-12,0
2025-01,0
2025-02,3
