Category: All categories

Month,Success Kid: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,4
2007-11,0
2007-12,0
2008-01,0
2008-02,3
2008-03,0
2008-04,3
2008-05,0
2008-06,4
2008-07,0
2008-08,0
2008-09,2
2008-10,0
2008-11,3
2008-12,3
2009-01,0
2009-02,3
2009-03,2
2009-04,0
2009-05,2
2009-06,4
2009-07,10
2009-08,12
2009-09,15
2009-10,8
2009-11,10
2009-12,8
2010-01,6
2010-02,7
2010-03,6
2010-04,9
2010-05,5
2010-06,7
2010-07,5
2010-08,5
2010-09,6
2010-10,6
2010-11,7
2010-12,16
2011-01,12
2011-02,15
2011-03,14
2011-04,12
2011-05,12
2011-06,10
2011-07,9
2011-08,10
2011-09,16
2011-10,31
2011-11,43
2011-12,71
2012-01,64
2012-02,100
2012-03,90
2012-04,67
2012-05,66
2012-06,54
2012-07,55
2012-08,60
2012-09,57
2012-10,59
2012-11,53
2012-12,45
2013-01,43
2013-02,56
2013-03,51
2013-04,46
2013-05,35
2013-06,39
2013-07,36
2013-08,34
2013-09,30
2013-10,38
2013-11,29
2013-12,28
2014-01,28
2014-02,26
2014-03,27
2014-04,28
2014-05,30
2014-06,23
2014-07,24
2014-08,22
2014-09,23
2014-10,25
2014-11,24
2014-12,21
2015-01,20
2015-02,24
2015-03,20
2015-04,88
2015-05,27
2015-06,23
2015-07,20
2015-08,19
2015-09,34
2015-10,28
2015-11,21
2015-12,20
2016-01,17
2016-02,19
2016-03,36
2016-04,18
2016-05,18
2016-06,17
2016-07,14
2016-08,16
2016-09,17
2016-10,18
2016-11,17
2016-12,18
2017-01,17
2017-02,17
2017-03,15
2017-04,14
2017-05,30
2017-06,14
2017-07,12
2017-08,14
2017-09,14
2017-10,13
2017-11,12
2017-12,12
2018-01,12
2018-02,11
2018-03,13
2018-04,11
2018-05,12
2018-06,11
2018-07,10
2018-08,13
2018-09,10
2018-10,11
2018-11,11
2018-12,10
2019-01,10
2019-02,10
2019-03,10
2019-04,11
2019-05,10
2019-06,9
2019-07,8
2019-08,7
2019-09,10
2019-10,9
2019-11,10
2019-12,9
2020-01,19
2020-02,11
2020-03,8
2020-04,9
2020-05,10
2020-06,11
2020-07,13
2020-08,9
2020-09,13
2020-10,8
2020-11,8
2020-12,9
2021-01,8
2021-02,8
2021-03,7
2021-04,9
2021-05,8
2021-06,7
2021-07,8
2021-08,7
2021-09,5
2021-10,5
2021-11,5
2021-12,6
2022-01,6
2022-02,7
2022-03,6
2022-04,8
2022-05,8
2022-06,7
2022-07,6
2022-08,7
2022-09,7
2022-10,7
2022-11,8
2022-12,7
2023-01,8
2023-02,8
2023-03,7
2023-04,7
2023-05,7
2023-06,7
2023-07,6
2023-08,6
2023-09,6
2023-10,7
2023-11,6
2023-12,6
2024-01,7
2024-02,8
2024-03,12
2024-04,11
2024-05,8
2024-06,7
2024-07,7
2024-08,7
2024-09,12
2024-10,9
2024-11,7
2024-12,8
2025-01,8
2025-02,7
