Category: All categories

Month,Black background: (Worldwide)
2004-01,11
2004-02,13
2004-03,12
2004-04,12
2004-05,10
2004-06,9
2004-07,9
2004-08,11
2004-09,10
2004-10,10
2004-11,10
2004-12,10
2005-01,11
2005-02,12
2005-03,10
2005-04,11
2005-05,10
2005-06,10
2005-07,12
2005-08,12
2005-09,11
2005-10,13
2005-11,13
2005-12,12
2006-01,13
2006-02,13
2006-03,14
2006-04,13
2006-05,13
2006-06,14
2006-07,14
2006-08,14
2006-09,14
2006-10,15
2006-11,15
2006-12,14
2007-01,16
2007-02,15
2007-03,14
2007-04,15
2007-05,14
2007-06,15
2007-07,16
2007-08,16
2007-09,15
2007-10,15
2007-11,16
2007-12,16
2008-01,16
2008-02,17
2008-03,17
2008-04,16
2008-05,17
2008-06,17
2008-07,18
2008-08,19
2008-09,18
2008-10,18
2008-11,21
2008-12,20
2009-01,18
2009-02,20
2009-03,19
2009-04,18
2009-05,18
2009-06,17
2009-07,17
2009-08,18
2009-09,17
2009-10,18
2009-11,19
2009-12,20
2010-01,18
2010-02,19
2010-03,18
2010-04,17
2010-05,17
2010-06,17
2010-07,16
2010-08,16
2010-09,16
2010-10,15
2010-11,19
2010-12,16
2011-01,18
2011-02,19
2011-03,19
2011-04,17
2011-05,19
2011-06,18
2011-07,17
2011-08,20
2011-09,21
2011-10,22
2011-11,23
2011-12,23
2012-01,23
2012-02,25
2012-03,23
2012-04,23
2012-05,24
2012-06,23
2012-07,22
2012-08,23
2012-09,25
2012-10,28
2012-11,26
2012-12,26
2013-01,25
2013-02,26
2013-03,33
2013-04,27
2013-05,26
2013-06,25
2013-07,26
2013-08,25
2013-09,28
2013-10,28
2013-11,30
2013-12,28
2014-01,29
2014-02,31
2014-03,29
2014-04,28
2014-05,29
2014-06,27
2014-07,27
2014-08,30
2014-09,30
2014-10,32
2014-11,32
2014-12,31
2015-01,31
2015-02,33
2015-03,32
2015-04,32
2015-05,31
2015-06,30
2015-07,30
2015-08,32
2015-09,33
2015-10,37
2015-11,35
2015-12,37
2016-01,34
2016-02,38
2016-03,35
2016-04,35
2016-05,35
2016-06,34
2016-07,31
2016-08,33
2016-09,36
2016-10,39
2016-11,39
2016-12,37
2017-01,36
2017-02,37
2017-03,38
2017-04,37
2017-05,36
2017-06,33
2017-07,35
2017-08,35
2017-09,38
2017-10,41
2017-11,39
2017-12,38
2018-01,41
2018-02,41
2018-03,41
2018-04,39
2018-05,39
2018-06,38
2018-07,38
2018-08,38
2018-09,41
2018-10,40
2018-11,42
2018-12,40
2019-01,40
2019-02,41
2019-03,41
2019-04,38
2019-05,40
2019-06,39
2019-07,38
2019-08,42
2019-09,43
2019-10,46
2019-11,44
2019-12,44
2020-01,45
2020-02,45
2020-03,49
2020-04,59
2020-05,64
2020-06,73
2020-07,62
2020-08,62
2020-09,100
2020-10,64
2020-11,53
2020-12,55
2021-01,56
2021-02,54
2021-03,53
2021-04,55
2021-05,57
2021-06,56
2021-07,56
2021-08,56
2021-09,54
2021-10,53
2021-11,53
2021-12,53
2022-01,67
2022-02,67
2022-03,65
2022-04,67
2022-05,68
2022-06,68
2022-07,68
2022-08,68
2022-09,70
2022-10,67
2022-11,67
2022-12,66
2023-01,68
2023-02,75
2023-03,68
2023-04,64
2023-05,63
2023-06,64
2023-07,64
2023-08,69
2023-09,66
2023-10,65
2023-11,61
2023-12,61
2024-01,62
2024-02,62
2024-03,61
2024-04,59
2024-05,59
2024-06,54
2024-07,53
2024-08,60
2024-09,56
2024-10,62
2024-11,58
2024-12,60
2025-01,59
2025-02,59
