Category: All categories

Month,talking to wall: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,25
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,16
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,15
2007-05,13
2007-06,0
2007-07,12
2007-08,0
2007-09,9
2007-10,0
2007-11,8
2007-12,0
2008-01,0
2008-02,9
2008-03,11
2008-04,7
2008-05,9
2008-06,11
2008-07,0
2008-08,7
2008-09,10
2008-10,9
2008-11,10
2008-12,10
2009-01,9
2009-02,0
2009-03,7
2009-04,8
2009-05,5
2009-06,7
2009-07,10
2009-08,10
2009-09,8
2009-10,10
2009-11,9
2009-12,9
2010-01,12
2010-02,8
2010-03,12
2010-04,12
2010-05,7
2010-06,12
2010-07,12
2010-08,10
2010-09,8
2010-10,11
2010-11,8
2010-12,13
2011-01,13
2011-02,12
2011-03,7
2011-04,10
2011-05,13
2011-06,13
2011-07,8
2011-08,12
2011-09,12
2011-10,15
2011-11,16
2011-12,16
2012-01,14
2012-02,13
2012-03,11
2012-04,10
2012-05,14
2012-06,14
2012-07,14
2012-08,12
2012-09,13
2012-10,12
2012-11,11
2012-12,14
2013-01,10
2013-02,10
2013-03,12
2013-04,12
2013-05,12
2013-06,11
2013-07,12
2013-08,11
2013-09,11
2013-10,10
2013-11,12
2013-12,13
2014-01,13
2014-02,13
2014-03,15
2014-04,16
2014-05,12
2014-06,12
2014-07,13
2014-08,15
2014-09,13
2014-10,17
2014-11,17
2014-12,15
2015-01,13
2015-02,18
2015-03,17
2015-04,19
2015-05,15
2015-06,15
2015-07,18
2015-08,19
2015-09,17
2015-10,22
2015-11,22
2015-12,22
2016-01,20
2016-02,24
2016-03,25
2016-04,24
2016-05,25
2016-06,23
2016-07,20
2016-08,22
2016-09,24
2016-10,19
2016-11,29
2016-12,21
2017-01,25
2017-02,26
2017-03,25
2017-04,25
2017-05,22
2017-06,26
2017-07,23
2017-08,26
2017-09,23
2017-10,24
2017-11,21
2017-12,21
2018-01,22
2018-02,24
2018-03,21
2018-04,23
2018-05,24
2018-06,21
2018-07,21
2018-08,22
2018-09,22
2018-10,23
2018-11,23
2018-12,21
2019-01,29
2019-02,26
2019-03,22
2019-04,22
2019-05,22
2019-06,23
2019-07,22
2019-08,19
2019-09,22
2019-10,22
2019-11,23
2019-12,20
2020-01,32
2020-02,24
2020-03,25
2020-04,30
2020-05,36
2020-06,40
2020-07,42
2020-08,38
2020-09,41
2020-10,46
2020-11,47
2020-12,48
2021-01,46
2021-02,50
2021-03,45
2021-04,46
2021-05,46
2021-06,42
2021-07,44
2021-08,37
2021-09,39
2021-10,41
2021-11,38
2021-12,36
2022-01,46
2022-02,46
2022-03,40
2022-04,46
2022-05,44
2022-06,43
2022-07,40
2022-08,41
2022-09,40
2022-10,51
2022-11,57
2022-12,54
2023-01,52
2023-02,48
2023-03,48
2023-04,54
2023-05,53
2023-06,50
2023-07,50
2023-08,42
2023-09,52
2023-10,53
2023-11,55
2023-12,54
2024-01,47
2024-02,51
2024-03,48
2024-04,49
2024-05,49
2024-06,51
2024-07,72
2024-08,77
2024-09,75
2024-10,77
2024-11,84
2024-12,78
2025-01,97
2025-02,100
