Category: All categories

Month,Big book small book: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,48
2006-02,0
2006-03,53
2006-04,49
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,87
2007-01,37
2007-02,0
2007-03,43
2007-04,0
2007-05,42
2007-06,0
2007-07,0
2007-08,32
2007-09,0
2007-10,34
2007-11,30
2007-12,40
2008-01,35
2008-02,32
2008-03,36
2008-04,35
2008-05,28
2008-06,28
2008-07,18
2008-08,21
2008-09,30
2008-10,34
2008-11,34
2008-12,43
2009-01,34
2009-02,31
2009-03,36
2009-04,28
2009-05,24
2009-06,25
2009-07,31
2009-08,33
2009-09,36
2009-10,35
2009-11,34
2009-12,43
2010-01,40
2010-02,33
2010-03,42
2010-04,44
2010-05,39
2010-06,35
2010-07,35
2010-08,45
2010-09,36
2010-10,35
2010-11,43
2010-12,35
2011-01,36
2011-02,39
2011-03,37
2011-04,42
2011-05,36
2011-06,46
2011-07,34
2011-08,37
2011-09,40
2011-10,46
2011-11,45
2011-12,39
2012-01,45
2012-02,35
2012-03,39
2012-04,40
2012-05,42
2012-06,38
2012-07,40
2012-08,32
2012-09,44
2012-10,46
2012-11,48
2012-12,32
2013-01,40
2013-02,41
2013-03,40
2013-04,41
2013-05,34
2013-06,39
2013-07,36
2013-08,34
2013-09,32
2013-10,38
2013-11,39
2013-12,36
2014-01,45
2014-02,42
2014-03,46
2014-04,38
2014-05,36
2014-06,37
2014-07,34
2014-08,39
2014-09,49
2014-10,42
2014-11,45
2014-12,44
2015-01,41
2015-02,36
2015-03,36
2015-04,36
2015-05,39
2015-06,36
2015-07,44
2015-08,43
2015-09,40
2015-10,50
2015-11,64
2015-12,62
2016-01,58
2016-02,51
2016-03,49
2016-04,53
2016-05,50
2016-06,40
2016-07,37
2016-08,43
2016-09,46
2016-10,37
2016-11,54
2016-12,44
2017-01,53
2017-02,42
2017-03,48
2017-04,55
2017-05,53
2017-06,41
2017-07,45
2017-08,55
2017-09,44
2017-10,50
2017-11,53
2017-12,54
2018-01,44
2018-02,43
2018-03,46
2018-04,38
2018-05,43
2018-06,39
2018-07,48
2018-08,49
2018-09,51
2018-10,49
2018-11,50
2018-12,47
2019-01,48
2019-02,48
2019-03,49
2019-04,34
2019-05,49
2019-06,42
2019-07,42
2019-08,48
2019-09,49
2019-10,49
2019-11,46
2019-12,47
2020-01,53
2020-02,57
2020-03,55
2020-04,58
2020-05,69
2020-06,63
2020-07,58
2020-08,55
2020-09,67
2020-10,61
2020-11,63
2020-12,54
2021-01,60
2021-02,58
2021-03,64
2021-04,62
2021-05,57
2021-06,57
2021-07,59
2021-08,58
2021-09,59
2021-10,62
2021-11,65
2021-12,58
2022-01,73
2022-02,76
2022-03,84
2022-04,70
2022-05,79
2022-06,74
2022-07,67
2022-08,72
2022-09,84
2022-10,81
2022-11,76
2022-12,75
2023-01,78
2023-02,85
2023-03,82
2023-04,77
2023-05,78
2023-06,71
2023-07,62
2023-08,62
2023-09,78
2023-10,77
2023-11,69
2023-12,72
2024-01,76
2024-02,78
2024-03,74
2024-04,78
2024-05,77
2024-06,76
2024-07,74
2024-08,79
2024-09,89
2024-10,81
2024-11,94
2024-12,91
2025-01,100
2025-02,92
