Category: All categories

Month,Trade Offer: (Worldwide)
2004-01,0
2004-02,10
2004-03,18
2004-04,11
2004-05,11
2004-06,18
2004-07,13
2004-08,11
2004-09,10
2004-10,10
2004-11,14
2004-12,11
2005-01,11
2005-02,9
2005-03,15
2005-04,15
2005-05,11
2005-06,9
2005-07,6
2005-08,11
2005-09,7
2005-10,11
2005-11,11
2005-12,11
2006-01,7
2006-02,7
2006-03,12
2006-04,11
2006-05,8
2006-06,10
2006-07,8
2006-08,10
2006-09,9
2006-10,7
2006-11,11
2006-12,10
2007-01,10
2007-02,9
2007-03,10
2007-04,11
2007-05,10
2007-06,8
2007-07,9
2007-08,9
2007-09,10
2007-10,10
2007-11,9
2007-12,9
2008-01,8
2008-02,9
2008-03,9
2008-04,7
2008-05,8
2008-06,10
2008-07,8
2008-08,8
2008-09,7
2008-10,10
2008-11,7
2008-12,7
2009-01,8
2009-02,10
2009-03,8
2009-04,11
2009-05,10
2009-06,10
2009-07,10
2009-08,10
2009-09,12
2009-10,10
2009-11,12
2009-12,10
2010-01,10
2010-02,9
2010-03,10
2010-04,11
2010-05,21
2010-06,17
2010-07,17
2010-08,10
2010-09,11
2010-10,12
2010-11,13
2010-12,11
2011-01,10
2011-02,12
2011-03,12
2011-04,11
2011-05,9
2011-06,11
2011-07,11
2011-08,11
2011-09,11
2011-10,12
2011-11,14
2011-12,10
2012-01,9
2012-02,11
2012-03,11
2012-04,11
2012-05,12
2012-06,11
2012-07,15
2012-08,13
2012-09,15
2012-10,15
2012-11,13
2012-12,10
2013-01,11
2013-02,14
2013-03,12
2013-04,11
2013-05,13
2013-06,14
2013-07,11
2013-08,11
2013-09,17
2013-10,17
2013-11,21
2013-12,19
2014-01,16
2014-02,16
2014-03,18
2014-04,21
2014-05,23
2014-06,32
2014-07,29
2014-08,29
2014-09,39
2014-10,37
2014-11,32
2014-12,30
2015-01,35
2015-02,31
2015-03,29
2015-04,32
2015-05,32
2015-06,33
2015-07,34
2015-08,28
2015-09,32
2015-10,31
2015-11,26
2015-12,27
2016-01,24
2016-02,27
2016-03,27
2016-04,26
2016-05,24
2016-06,25
2016-07,19
2016-08,18
2016-09,28
2016-10,23
2016-11,22
2016-12,21
2017-01,22
2017-02,21
2017-03,23
2017-04,21
2017-05,18
2017-06,19
2017-07,19
2017-08,20
2017-09,21
2017-10,20
2017-11,22
2017-12,19
2018-01,16
2018-02,18
2018-03,17
2018-04,15
2018-05,12
2018-06,15
2018-07,15
2018-08,14
2018-09,18
2018-10,18
2018-11,16
2018-12,16
2019-01,16
2019-02,24
2019-03,15
2019-04,14
2019-05,15
2019-06,18
2019-07,15
2019-08,16
2019-09,18
2019-10,17
2019-11,16
2019-12,15
2020-01,14
2020-02,16
2020-03,14
2020-04,17
2020-05,16
2020-06,15
2020-07,15
2020-08,16
2020-09,20
2020-10,22
2020-11,21
2020-12,19
2021-01,20
2021-02,20
2021-03,19
2021-04,100
2021-05,47
2021-06,32
2021-07,30
2021-08,25
2021-09,29
2021-10,30
2021-11,30
2021-12,24
2022-01,33
2022-02,31
2022-03,36
2022-04,36
2022-05,29
2022-06,28
2022-07,31
2022-08,29
2022-09,30
2022-10,35
2022-11,31
2022-12,29
2023-01,31
2023-02,33
2023-03,32
2023-04,33
2023-05,31
2023-06,28
2023-07,28
2023-08,28
2023-09,37
2023-10,37
2023-11,32
2023-12,32
2024-01,32
2024-02,35
2024-03,35
2024-04,34
2024-05,33
2024-06,29
2024-07,31
2024-08,33
2024-09,41
2024-10,38
2024-11,37
2024-12,35
2025-01,34
2025-02,43
