Category: All categories

Month,Star Wars No: (Worldwide)
2004-01,26
2004-02,19
2004-03,13
2004-04,13
2004-05,16
2004-06,10
2004-07,16
2004-08,16
2004-09,27
2004-10,43
2004-11,24
2004-12,25
2005-01,20
2005-02,22
2005-03,34
2005-04,36
2005-05,64
2005-06,48
2005-07,28
2005-08,22
2005-09,18
2005-10,19
2005-11,49
2005-12,32
2006-01,23
2006-02,45
2006-03,30
2006-04,24
2006-05,21
2006-06,18
2006-07,19
2006-08,18
2006-09,20
2006-10,18
2006-11,16
2006-12,17
2007-01,16
2007-02,13
2007-03,12
2007-04,12
2007-05,13
2007-06,13
2007-07,13
2007-08,12
2007-09,11
2007-10,12
2007-11,11
2007-12,12
2008-01,12
2008-02,13
2008-03,13
2008-04,14
2008-05,13
2008-06,12
2008-07,12
2008-08,16
2008-09,16
2008-10,14
2008-11,12
2008-12,14
2009-01,13
2009-02,12
2009-03,13
2009-04,13
2009-05,14
2009-06,13
2009-07,13
2009-08,13
2009-09,12
2009-10,15
2009-11,16
2009-12,15
2010-01,15
2010-02,14
2010-03,13
2010-04,15
2010-05,14
2010-06,15
2010-07,13
2010-08,15
2010-09,13
2010-10,13
2010-11,14
2010-12,14
2011-01,13
2011-02,11
2011-03,11
2011-04,13
2011-05,13
2011-06,12
2011-07,14
2011-08,13
2011-09,14
2011-10,12
2011-11,11
2011-12,17
2012-01,15
2012-02,14
2012-03,11
2012-04,11
2012-05,11
2012-06,11
2012-07,12
2012-08,9
2012-09,10
2012-10,9
2012-11,16
2012-12,15
2013-01,15
2013-02,13
2013-03,12
2013-04,12
2013-05,12
2013-06,12
2013-07,12
2013-08,11
2013-09,10
2013-10,10
2013-11,11
2013-12,11
2014-01,11
2014-02,10
2014-03,10
2014-04,11
2014-05,14
2014-06,11
2014-07,10
2014-08,10
2014-09,11
2014-10,11
2014-11,13
2014-12,16
2015-01,12
2015-02,11
2015-03,11
2015-04,17
2015-05,15
2015-06,12
2015-07,12
2015-08,13
2015-09,14
2015-10,27
2015-11,33
2015-12,100
2016-01,47
2016-02,23
2016-03,19
2016-04,19
2016-05,17
2016-06,13
2016-07,15
2016-08,14
2016-09,12
2016-10,12
2016-11,12
2016-12,23
2017-01,16
2017-02,12
2017-03,11
2017-04,13
2017-05,12
2017-06,9
2017-07,9
2017-08,9
2017-09,9
2017-10,12
2017-11,14
2017-12,34
2018-01,16
2018-02,11
2018-03,11
2018-04,9
2018-05,11
2018-06,9
2018-07,8
2018-08,7
2018-09,7
2018-10,7
2018-11,6
2018-12,8
2019-01,7
2019-02,6
2019-03,7
2019-04,8
2019-05,7
2019-06,6
2019-07,6
2019-08,7
2019-09,7
2019-10,8
2019-11,12
2019-12,30
2020-01,16
2020-02,10
2020-03,9
2020-04,11
2020-05,14
2020-06,9
2020-07,8
2020-08,9
2020-09,7
2020-10,7
2020-11,9
2020-12,12
2021-01,11
2021-02,8
2021-03,6
2021-04,7
2021-05,9
2021-06,7
2021-07,7
2021-08,7
2021-09,6
2021-10,7
2021-11,7
2021-12,10
2022-01,13
2022-02,11
2022-03,9
2022-04,12
2022-05,13
2022-06,12
2022-07,10
2022-08,8
2022-09,7
2022-10,6
2022-11,7
2022-12,8
2023-01,8
2023-02,7
2023-03,7
2023-04,10
2023-05,11
2023-06,8
2023-07,6
2023-08,7
2023-09,8
2023-10,12
2023-11,6
2023-12,7
2024-01,7
2024-02,7
2024-03,8
2024-04,8
2024-05,9
2024-06,10
2024-07,8
2024-08,9
2024-09,9
2024-10,7
2024-11,7
2024-12,9
2025-01,8
2025-02,8
