Category: All categories

Month,Picard Wtf: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,73
2008-12,72
2009-01,0
2009-02,59
2009-03,0
2009-04,0
2009-05,65
2009-06,62
2009-07,56
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,46
2010-03,54
2010-04,43
2010-05,36
2010-06,54
2010-07,0
2010-08,38
2010-09,39
2010-10,49
2010-11,0
2010-12,0
2011-01,29
2011-02,38
2011-03,43
2011-04,28
2011-05,0
2011-06,34
2011-07,0
2011-08,33
2011-09,38
2011-10,44
2011-11,33
2011-12,68
2012-01,52
2012-02,72
2012-03,83
2012-04,64
2012-05,84
2012-06,71
2012-07,97
2012-08,100
2012-09,69
2012-10,60
2012-11,67
2012-12,57
2013-01,45
2013-02,56
2013-03,49
2013-04,58
2013-05,53
2013-06,43
2013-07,44
2013-08,47
2013-09,48
2013-10,31
2013-11,40
2013-12,40
2014-01,37
2014-02,61
2014-03,38
2014-04,28
2014-05,37
2014-06,44
2014-07,36
2014-08,30
2014-09,19
2014-10,39
2014-11,29
2014-12,25
2015-01,44
2015-02,28
2015-03,31
2015-04,32
2015-05,26
2015-06,31
2015-07,25
2015-08,0
2015-09,25
2015-10,29
2015-11,31
2015-12,21
2016-01,23
2016-02,24
2016-03,28
2016-04,23
2016-05,0
2016-06,0
2016-07,24
2016-08,20
2016-09,29
2016-10,15
2016-11,0
2016-12,17
2017-01,24
2017-02,20
2017-03,17
2017-04,0
2017-05,0
2017-06,15
2017-07,0
2017-08,0
2017-09,0
2017-10,15
2017-11,15
2017-12,0
2018-01,15
2018-02,20
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,15
2018-09,0
2018-10,0
2018-11,13
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,12
2019-06,0
2019-07,0
2019-08,0
2019-09,14
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,0
2020-09,0
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,0
2021-05,0
2021-06,0
2021-07,0
2021-08,0
2021-09,0
2021-10,0
2021-11,0
2021-12,0
2022-01,0
2022-02,0
2022-03,0
2022-04,0
2022-05,0
2022-06,0
2022-07,0
2022-08,0
2022-09,0
2022-10,0
2022-11,0
2022-12,0
2023-01,0
2023-02,0
2023-03,12
2023-04,0
2023-05,0
2023-06,0
2023-07,0
2023-08,0
2023-09,0
2023-10,0
2023-11,0
2023-12,0
2024-01,0
2024-02,0
2024-03,0
2024-04,0
2024-05,0
2024-06,0
2024-07,0
2024-08,0
2024-09,0
2024-10,0
2024-11,0
2024-12,0
2025-01,0
2025-02,0
