Category: All categories

Month,Yo Dawg Heard You: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,12
2008-11,25
2008-12,98
2009-01,93
2009-02,70
2009-03,69
2009-04,62
2009-05,42
2009-06,44
2009-07,50
2009-08,60
2009-09,72
2009-10,51
2009-11,56
2009-12,69
2010-01,54
2010-02,56
2010-03,52
2010-04,51
2010-05,51
2010-06,44
2010-07,57
2010-08,51
2010-09,41
2010-10,47
2010-11,47
2010-12,50
2011-01,46
2011-02,34
2011-03,31
2011-04,29
2011-05,28
2011-06,31
2011-07,29
2011-08,36
2011-09,100
2011-10,57
2011-11,51
2011-12,48
2012-01,37
2012-02,43
2012-03,43
2012-04,41
2012-05,34
2012-06,28
2012-07,26
2012-08,25
2012-09,24
2012-10,24
2012-11,22
2012-12,20
2013-01,18
2013-02,22
2013-03,20
2013-04,16
2013-05,17
2013-06,15
2013-07,14
2013-08,17
2013-09,15
2013-10,15
2013-11,11
2013-12,11
2014-01,9
2014-02,10
2014-03,14
2014-04,10
2014-05,8
2014-06,10
2014-07,10
2014-08,13
2014-09,11
2014-10,11
2014-11,10
2014-12,11
2015-01,10
2015-02,9
2015-03,8
2015-04,9
2015-05,10
2015-06,7
2015-07,9
2015-08,9
2015-09,10
2015-10,11
2015-11,7
2015-12,9
2016-01,8
2016-02,8
2016-03,6
2016-04,6
2016-05,7
2016-06,6
2016-07,6
2016-08,7
2016-09,6
2016-10,6
2016-11,7
2016-12,6
2017-01,7
2017-02,5
2017-03,6
2017-04,6
2017-05,6
2017-06,6
2017-07,5
2017-08,6
2017-09,5
2017-10,6
2017-11,5
2017-12,4
2018-01,5
2018-02,5
2018-03,4
2018-04,5
2018-05,4
2018-06,4
2018-07,3
2018-08,3
2018-09,3
2018-10,4
2018-11,4
2018-12,2
2019-01,2
2019-02,5
2019-03,4
2019-04,2
2019-05,3
2019-06,3
2019-07,2
2019-08,2
2019-09,2
2019-10,2
2019-11,4
2019-12,3
2020-01,3
2020-02,3
2020-03,3
2020-04,3
2020-05,4
2020-06,5
2020-07,4
2020-08,3
2020-09,2
2020-10,2
2020-11,2
2020-12,3
2021-01,3
2021-02,3
2021-03,3
2021-04,2
2021-05,3
2021-06,3
2021-07,2
2021-08,3
2021-09,1
2021-10,0
2021-11,2
2021-12,2
2022-01,2
2022-02,2
2022-03,3
2022-04,2
2022-05,3
2022-06,3
2022-07,2
2022-08,2
2022-09,2
2022-10,3
2022-11,2
2022-12,2
2023-01,4
2023-02,3
2023-03,3
2023-04,3
2023-05,2
2023-06,4
2023-07,2
2023-08,2
2023-09,2
2023-10,2
2023-11,2
2023-12,2
2024-01,2
2024-02,2
2024-03,2
2024-04,2
2024-05,2
2024-06,2
2024-07,3
2024-08,3
2024-09,4
2024-10,2
2024-11,3
2024-12,2
2025-01,4
2025-02,2
