Category: All categories

Month,Cute Cat: (Worldwide)
2004-01,13
2004-02,15
2004-03,20
2004-04,17
2004-05,14
2004-06,20
2004-07,19
2004-08,22
2004-09,18
2004-10,15
2004-11,15
2004-12,18
2005-01,15
2005-02,15
2005-03,14
2005-04,13
2005-05,16
2005-06,13
2005-07,16
2005-08,15
2005-09,16
2005-10,16
2005-11,16
2005-12,16
2006-01,17
2006-02,19
2006-03,18
2006-04,16
2006-05,21
2006-06,19
2006-07,17
2006-08,18
2006-09,17
2006-10,17
2006-11,17
2006-12,16
2007-01,14
2007-02,17
2007-03,16
2007-04,16
2007-05,18
2007-06,19
2007-07,17
2007-08,16
2007-09,16
2007-10,19
2007-11,18
2007-12,20
2008-01,16
2008-02,18
2008-03,17
2008-04,17
2008-05,18
2008-06,18
2008-07,17
2008-08,18
2008-09,19
2008-10,21
2008-11,19
2008-12,19
2009-01,18
2009-02,18
2009-03,20
2009-04,17
2009-05,19
2009-06,18
2009-07,19
2009-08,20
2009-09,20
2009-10,23
2009-11,22
2009-12,24
2010-01,22
2010-02,22
2010-03,22
2010-04,22
2010-05,23
2010-06,21
2010-07,23
2010-08,23
2010-09,20
2010-10,23
2010-11,23
2010-12,25
2011-01,22
2011-02,22
2011-03,22
2011-04,24
2011-05,26
2011-06,28
2011-07,25
2011-08,26
2011-09,26
2011-10,34
2011-11,31
2011-12,32
2012-01,31
2012-02,31
2012-03,31
2012-04,36
2012-05,33
2012-06,38
2012-07,33
2012-08,34
2012-09,35
2012-10,42
2012-11,39
2012-12,40
2013-01,39
2013-02,39
2013-03,38
2013-04,41
2013-05,43
2013-06,42
2013-07,41
2013-08,42
2013-09,44
2013-10,53
2013-11,49
2013-12,50
2014-01,47
2014-02,46
2014-03,45
2014-04,47
2014-05,49
2014-06,46
2014-07,47
2014-08,55
2014-09,51
2014-10,60
2014-11,53
2014-12,54
2015-01,54
2015-02,53
2015-03,54
2015-04,54
2015-05,57
2015-06,55
2015-07,58
2015-08,57
2015-09,57
2015-10,70
2015-11,58
2015-12,59
2016-01,58
2016-02,60
2016-03,57
2016-04,58
2016-05,62
2016-06,59
2016-07,56
2016-08,52
2016-09,60
2016-10,69
2016-11,63
2016-12,59
2017-01,54
2017-02,53
2017-03,51
2017-04,50
2017-05,52
2017-06,51
2017-07,50
2017-08,50
2017-09,52
2017-10,63
2017-11,55
2017-12,53
2018-01,52
2018-02,51
2018-03,52
2018-04,50
2018-05,52
2018-06,49
2018-07,47
2018-08,49
2018-09,51
2018-10,60
2018-11,52
2018-12,52
2019-01,48
2019-02,49
2019-03,48
2019-04,47
2019-05,50
2019-06,48
2019-07,46
2019-08,47
2019-09,51
2019-10,58
2019-11,55
2019-12,54
2020-01,51
2020-02,52
2020-03,56
2020-04,69
2020-05,71
2020-06,63
2020-07,64
2020-08,68
2020-09,74
2020-10,69
2020-11,63
2020-12,66
2021-01,66
2021-02,64
2021-03,63
2021-04,66
2021-05,73
2021-06,70
2021-07,75
2021-08,73
2021-09,71
2021-10,77
2021-11,74
2021-12,77
2022-01,80
2022-02,78
2022-03,78
2022-04,85
2022-05,90
2022-06,88
2022-07,83
2022-08,80
2022-09,82
2022-10,91
2022-11,87
2022-12,88
2023-01,87
2023-02,85
2023-03,82
2023-04,88
2023-05,89
2023-06,83
2023-07,81
2023-08,82
2023-09,88
2023-10,91
2023-11,88
2023-12,88
2024-01,88
2024-02,90
2024-03,85
2024-04,90
2024-05,94
2024-06,85
2024-07,80
2024-08,80
2024-09,100
2024-10,95
2024-11,93
2024-12,96
2025-01,87
2025-02,87
