Category: All categories

Month,Skinner Out Of Touch: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,56
2014-06,0
2014-07,0
2014-08,73
2014-09,64
2014-10,56
2014-11,0
2014-12,0
2015-01,64
2015-02,0
2015-03,0
2015-04,0
2015-05,58
2015-06,48
2015-07,0
2015-08,62
2015-09,50
2015-10,58
2015-11,0
2015-12,0
2016-01,0
2016-02,68
2016-03,59
2016-04,54
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,55
2016-11,69
2016-12,49
2017-01,0
2017-02,50
2017-03,52
2017-04,69
2017-05,52
2017-06,69
2017-07,81
2017-08,62
2017-09,45
2017-10,47
2017-11,0
2017-12,0
2018-01,66
2018-02,0
2018-03,0
2018-04,46
2018-05,45
2018-06,61
2018-07,44
2018-08,50
2018-09,0
2018-10,60
2018-11,55
2018-12,45
2019-01,100
2019-02,72
2019-03,53
2019-04,0
2019-05,0
2019-06,51
2019-07,0
2019-08,74
2019-09,50
2019-10,50
2019-11,0
2019-12,56
2020-01,58
2020-02,61
2020-03,61
2020-04,44
2020-05,46
2020-06,69
2020-07,59
2020-08,84
2020-09,45
2020-10,60
2020-11,38
2020-12,41
2021-01,37
2021-02,85
2021-03,40
2021-04,0
2021-05,60
2021-06,82
2021-07,0
2021-08,60
2021-09,0
2021-10,49
2021-11,57
2021-12,0
2022-01,79
2022-02,51
2022-03,62
2022-04,70
2022-05,56
2022-06,58
2022-07,59
2022-08,56
2022-09,32
2022-10,51
2022-11,58
2022-12,52
2023-01,45
2023-02,74
2023-03,46
2023-04,58
2023-05,43
2023-06,60
2023-07,35
2023-08,54
2023-09,40
2023-10,39
2023-11,64
2023-12,37
2024-01,44
2024-02,0
2024-03,50
2024-04,57
2024-05,72
2024-06,55
2024-07,71
2024-08,61
2024-09,53
2024-10,60
2024-11,77
2024-12,49
2025-01,67
2025-02,52
