Category: All categories

Month,Captain Picard Facepalm: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,74
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,60
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,48
2011-05,0
2011-06,46
2011-07,55
2011-08,55
2011-09,64
2011-10,68
2011-11,60
2011-12,57
2012-01,47
2012-02,100
2012-03,57
2012-04,47
2012-05,52
2012-06,40
2012-07,51
2012-08,64
2012-09,59
2012-10,62
2012-11,62
2012-12,49
2013-01,68
2013-02,54
2013-03,69
2013-04,72
2013-05,50
2013-06,0
2013-07,63
2013-08,76
2013-09,61
2013-10,63
2013-11,63
2013-12,51
2014-01,69
2014-02,66
2014-03,67
2014-04,46
2014-05,71
2014-06,78
2014-07,70
2014-08,71
2014-09,61
2014-10,65
2014-11,56
2014-12,68
2015-01,85
2015-02,72
2015-03,50
2015-04,50
2015-05,65
2015-06,59
2015-07,43
2015-08,40
2015-09,63
2015-10,44
2015-11,55
2015-12,48
2016-01,40
2016-02,33
2016-03,35
2016-04,40
2016-05,28
2016-06,48
2016-07,45
2016-08,55
2016-09,48
2016-10,35
2016-11,30
2016-12,29
2017-01,42
2017-02,52
2017-03,41
2017-04,23
2017-05,33
2017-06,42
2017-07,31
2017-08,38
2017-09,52
2017-10,47
2017-11,40
2017-12,21
2018-01,28
2018-02,39
2018-03,0
2018-04,29
2018-05,36
2018-06,24
2018-07,35
2018-08,49
2018-09,26
2018-10,34
2018-11,0
2018-12,0
2019-01,18
2019-02,28
2019-03,28
2019-04,0
2019-05,36
2019-06,21
2019-07,23
2019-08,32
2019-09,0
2019-10,17
2019-11,0
2019-12,0
2020-01,19
2020-02,17
2020-03,0
2020-04,0
2020-05,0
2020-06,16
2020-07,0
2020-08,0
2020-09,0
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,0
2021-05,0
2021-06,0
2021-07,0
2021-08,0
2021-09,0
2021-10,0
2021-11,0
2021-12,0
2022-01,0
2022-02,0
2022-03,0
2022-04,0
2022-05,14
2022-06,0
2022-07,0
2022-08,0
2022-09,0
2022-10,0
2022-11,0
2022-12,0
2023-01,0
2023-02,0
2023-03,0
2023-04,0
2023-05,0
2023-06,0
2023-07,0
2023-08,0
2023-09,0
2023-10,0
2023-11,0
2023-12,0
2024-01,0
2024-02,0
2024-03,0
2024-04,0
2024-05,0
2024-06,0
2024-07,0
2024-08,0
2024-09,0
2024-10,0
2024-11,0
2024-12,0
2025-01,0
2025-02,4
