Category: All categories

Month,Bike Fall: (Worldwide)
2004-01,0
2004-02,15
2004-03,0
2004-04,23
2004-05,43
2004-06,17
2004-07,24
2004-08,28
2004-09,47
2004-10,36
2004-11,14
2004-12,0
2005-01,13
2005-02,17
2005-03,0
2005-04,16
2005-05,15
2005-06,14
2005-07,28
2005-08,35
2005-09,42
2005-10,28
2005-11,13
2005-12,9
2006-01,12
2006-02,14
2006-03,11
2006-04,15
2006-05,17
2006-06,13
2006-07,28
2006-08,32
2006-09,46
2006-10,34
2006-11,5
2006-12,11
2007-01,10
2007-02,10
2007-03,10
2007-04,12
2007-05,16
2007-06,22
2007-07,30
2007-08,31
2007-09,44
2007-10,39
2007-11,12
2007-12,12
2008-01,12
2008-02,10
2008-03,12
2008-04,16
2008-05,20
2008-06,22
2008-07,25
2008-08,37
2008-09,52
2008-10,34
2008-11,13
2008-12,14
2009-01,12
2009-02,14
2009-03,15
2009-04,14
2009-05,16
2009-06,18
2009-07,24
2009-08,33
2009-09,42
2009-10,27
2009-11,13
2009-12,10
2010-01,11
2010-02,9
2010-03,45
2010-04,14
2010-05,17
2010-06,17
2010-07,22
2010-08,27
2010-09,37
2010-10,28
2010-11,14
2010-12,11
2011-01,12
2011-02,11
2011-03,12
2011-04,13
2011-05,16
2011-06,18
2011-07,21
2011-08,27
2011-09,43
2011-10,25
2011-11,12
2011-12,9
2012-01,10
2012-02,10
2012-03,12
2012-04,12
2012-05,16
2012-06,16
2012-07,21
2012-08,29
2012-09,43
2012-10,32
2012-11,13
2012-12,9
2013-01,11
2013-02,10
2013-03,11
2013-04,15
2013-05,18
2013-06,16
2013-07,22
2013-08,29
2013-09,39
2013-10,31
2013-11,13
2013-12,11
2014-01,10
2014-02,11
2014-03,12
2014-04,14
2014-05,17
2014-06,18
2014-07,24
2014-08,26
2014-09,42
2014-10,29
2014-11,15
2014-12,11
2015-01,11
2015-02,11
2015-03,12
2015-04,15
2015-05,17
2015-06,18
2015-07,21
2015-08,31
2015-09,44
2015-10,31
2015-11,15
2015-12,11
2016-01,11
2016-02,12
2016-03,14
2016-04,17
2016-05,20
2016-06,19
2016-07,21
2016-08,35
2016-09,44
2016-10,29
2016-11,15
2016-12,11
2017-01,14
2017-02,16
2017-03,15
2017-04,17
2017-05,19
2017-06,20
2017-07,22
2017-08,28
2017-09,39
2017-10,31
2017-11,14
2017-12,12
2018-01,12
2018-02,13
2018-03,14
2018-04,14
2018-05,18
2018-06,18
2018-07,20
2018-08,25
2018-09,37
2018-10,27
2018-11,12
2018-12,11
2019-01,11
2019-02,12
2019-03,13
2019-04,15
2019-05,18
2019-06,18
2019-07,20
2019-08,28
2019-09,40
2019-10,29
2019-11,21
2019-12,12
2020-01,13
2020-02,12
2020-03,13
2020-04,19
2020-05,24
2020-06,26
2020-07,27
2020-08,38
2020-09,44
2020-10,31
2020-11,17
2020-12,14
2021-01,14
2021-02,14
2021-03,17
2021-04,17
2021-05,22
2021-06,21
2021-07,23
2021-08,27
2021-09,37
2021-10,27
2021-11,16
2021-12,14
2022-01,14
2022-02,15
2022-03,18
2022-04,19
2022-05,21
2022-06,100
2022-07,41
2022-08,44
2022-09,45
2022-10,33
2022-11,16
2022-12,14
2023-01,17
2023-02,17
2023-03,17
2023-04,19
2023-05,22
2023-06,23
2023-07,23
2023-08,29
2023-09,40
2023-10,31
2023-11,18
2023-12,13
2024-01,15
2024-02,17
2024-03,19
2024-04,20
2024-05,25
2024-06,26
2024-07,29
2024-08,32
2024-09,42
2024-10,33
2024-11,19
2024-12,16
2025-01,17
2025-02,16
