Category: All categories

Month,Buddy Christ: (Worldwide)
2004-01,66
2004-02,100
2004-03,88
2004-04,69
2004-05,55
2004-06,37
2004-07,50
2004-08,61
2004-09,74
2004-10,63
2004-11,52
2004-12,60
2005-01,45
2005-02,57
2005-03,67
2005-04,48
2005-05,47
2005-06,43
2005-07,35
2005-08,51
2005-09,48
2005-10,51
2005-11,56
2005-12,59
2006-01,43
2006-02,46
2006-03,33
2006-04,43
2006-05,44
2006-06,18
2006-07,40
2006-08,45
2006-09,44
2006-10,57
2006-11,38
2006-12,41
2007-01,28
2007-02,33
2007-03,30
2007-04,34
2007-05,35
2007-06,30
2007-07,28
2007-08,25
2007-09,30
2007-10,29
2007-11,33
2007-12,34
2008-01,25
2008-02,20
2008-03,23
2008-04,23
2008-05,22
2008-06,25
2008-07,24
2008-08,27
2008-09,23
2008-10,22
2008-11,23
2008-12,25
2009-01,17
2009-02,18
2009-03,15
2009-04,16
2009-05,18
2009-06,19
2009-07,18
2009-08,17
2009-09,19
2009-10,19
2009-11,16
2009-12,27
2010-01,15
2010-02,18
2010-03,17
2010-04,20
2010-05,15
2010-06,14
2010-07,18
2010-08,14
2010-09,16
2010-10,17
2010-11,16
2010-12,19
2011-01,14
2011-02,13
2011-03,13
2011-04,19
2011-05,16
2011-06,14
2011-07,12
2011-08,14
2011-09,18
2011-10,16
2011-11,13
2011-12,20
2012-01,12
2012-02,12
2012-03,14
2012-04,20
2012-05,13
2012-06,13
2012-07,12
2012-08,14
2012-09,14
2012-10,15
2012-11,13
2012-12,19
2013-01,13
2013-02,12
2013-03,16
2013-04,11
2013-05,12
2013-06,11
2013-07,11
2013-08,13
2013-09,12
2013-10,14
2013-11,12
2013-12,17
2014-01,12
2014-02,14
2014-03,16
2014-04,19
2014-05,13
2014-06,13
2014-07,13
2014-08,14
2014-09,13
2014-10,15
2014-11,13
2014-12,16
2015-01,13
2015-02,12
2015-03,14
2015-04,17
2015-05,12
2015-06,14
2015-07,12
2015-08,13
2015-09,14
2015-10,13
2015-11,12
2015-12,15
2016-01,9
2016-02,10
2016-03,12
2016-04,9
2016-05,9
2016-06,9
2016-07,9
2016-08,9
2016-09,10
2016-10,9
2016-11,8
2016-12,12
2017-01,8
2017-02,9
2017-03,9
2017-04,11
2017-05,10
2017-06,8
2017-07,8
2017-08,8
2017-09,8
2017-10,9
2017-11,7
2017-12,10
2018-01,7
2018-02,8
2018-03,8
2018-04,11
2018-05,8
2018-06,7
2018-07,7
2018-08,8
2018-09,7
2018-10,7
2018-11,7
2018-12,9
2019-01,6
2019-02,6
2019-03,7
2019-04,9
2019-05,6
2019-06,6
2019-07,7
2019-08,7
2019-09,7
2019-10,6
2019-11,7
2019-12,8
2020-01,6
2020-02,6
2020-03,6
2020-04,7
2020-05,6
2020-06,6
2020-07,5
2020-08,5
2020-09,6
2020-10,5
2020-11,5
2020-12,6
2021-01,4
2021-02,6
2021-03,5
2021-04,8
2021-05,4
2021-06,6
2021-07,5
2021-08,4
2021-09,5
2021-10,4
2021-11,4
2021-12,7
2022-01,5
2022-02,6
2022-03,5
2022-04,7
2022-05,5
2022-06,5
2022-07,6
2022-08,6
2022-09,5
2022-10,5
2022-11,7
2022-12,6
2023-01,6
2023-02,6
2023-03,5
2023-04,7
2023-05,5
2023-06,6
2023-07,5
2023-08,5
2023-09,5
2023-10,5
2023-11,4
2023-12,8
2024-01,5
2024-02,6
2024-03,8
2024-04,7
2024-05,6
2024-06,5
2024-07,5
2024-08,4
2024-09,5
2024-10,7
2024-11,6
2024-12,7
2025-01,5
2025-02,5
