Category: All categories

Month,Angry Baby: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,22
2004-05,0
2004-06,28
2004-07,0
2004-08,0
2004-09,0
2004-10,17
2004-11,0
2004-12,0
2005-01,26
2005-02,0
2005-03,26
2005-04,17
2005-05,19
2005-06,19
2005-07,30
2005-08,0
2005-09,24
2005-10,21
2005-11,33
2005-12,22
2006-01,26
2006-02,29
2006-03,17
2006-04,27
2006-05,21
2006-06,23
2006-07,18
2006-08,23
2006-09,20
2006-10,21
2006-11,27
2006-12,10
2007-01,18
2007-02,23
2007-03,20
2007-04,28
2007-05,24
2007-06,29
2007-07,25
2007-08,23
2007-09,24
2007-10,26
2007-11,26
2007-12,33
2008-01,32
2008-02,23
2008-03,26
2008-04,26
2008-05,27
2008-06,25
2008-07,27
2008-08,26
2008-09,29
2008-10,25
2008-11,28
2008-12,22
2009-01,29
2009-02,27
2009-03,25
2009-04,26
2009-05,25
2009-06,25
2009-07,26
2009-08,35
2009-09,29
2009-10,30
2009-11,32
2009-12,32
2010-01,29
2010-02,32
2010-03,37
2010-04,40
2010-05,37
2010-06,33
2010-07,32
2010-08,84
2010-09,37
2010-10,33
2010-11,38
2010-12,39
2011-01,42
2011-02,44
2011-03,47
2011-04,50
2011-05,58
2011-06,61
2011-07,63
2011-08,68
2011-09,74
2011-10,95
2011-11,87
2011-12,92
2012-01,80
2012-02,81
2012-03,76
2012-04,78
2012-05,73
2012-06,76
2012-07,74
2012-08,75
2012-09,79
2012-10,69
2012-11,76
2012-12,80
2013-01,73
2013-02,72
2013-03,86
2013-04,71
2013-05,70
2013-06,71
2013-07,73
2013-08,64
2013-09,65
2013-10,64
2013-11,69
2013-12,70
2014-01,74
2014-02,69
2014-03,75
2014-04,72
2014-05,73
2014-06,73
2014-07,75
2014-08,77
2014-09,75
2014-10,73
2014-11,70
2014-12,70
2015-01,69
2015-02,71
2015-03,72
2015-04,72
2015-05,70
2015-06,64
2015-07,66
2015-08,84
2015-09,70
2015-10,71
2015-11,67
2015-12,78
2016-01,69
2016-02,67
2016-03,70
2016-04,69
2016-05,95
2016-06,83
2016-07,72
2016-08,68
2016-09,68
2016-10,73
2016-11,63
2016-12,72
2017-01,64
2017-02,65
2017-03,63
2017-04,69
2017-05,70
2017-06,66
2017-07,63
2017-08,64
2017-09,58
2017-10,60
2017-11,55
2017-12,61
2018-01,53
2018-02,57
2018-03,54
2018-04,54
2018-05,52
2018-06,53
2018-07,70
2018-08,52
2018-09,56
2018-10,54
2018-11,54
2018-12,54
2019-01,52
2019-02,53
2019-03,51
2019-04,55
2019-05,52
2019-06,53
2019-07,50
2019-08,62
2019-09,54
2019-10,53
2019-11,54
2019-12,71
2020-01,57
2020-02,100
2020-03,73
2020-04,65
2020-05,63
2020-06,57
2020-07,61
2020-08,55
2020-09,54
2020-10,50
2020-11,53
2020-12,51
2021-01,51
2021-02,52
2021-03,50
2021-04,50
2021-05,51
2021-06,51
2021-07,50
2021-08,50
2021-09,46
2021-10,49
2021-11,47
2021-12,48
2022-01,56
2022-02,54
2022-03,51
2022-04,56
2022-05,53
2022-06,53
2022-07,50
2022-08,48
2022-09,51
2022-10,50
2022-11,49
2022-12,48
2023-01,47
2023-02,53
2023-03,52
2023-04,52
2023-05,50
2023-06,51
2023-07,48
2023-08,45
2023-09,48
2023-10,48
2023-11,47
2023-12,47
2024-01,48
2024-02,51
2024-03,50
2024-04,52
2024-05,55
2024-06,50
2024-07,48
2024-08,46
2024-09,48
2024-10,50
2024-11,47
2024-12,50
2025-01,50
2025-02,51
