Category: All categories

Month,Yes Honey: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,36
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,15
2007-09,0
2007-10,0
2007-11,0
2007-12,17
2008-01,0
2008-02,14
2008-03,16
2008-04,12
2008-05,0
2008-06,13
2008-07,10
2008-08,14
2008-09,0
2008-10,17
2008-11,12
2008-12,17
2009-01,13
2009-02,12
2009-03,16
2009-04,10
2009-05,16
2009-06,0
2009-07,0
2009-08,12
2009-09,11
2009-10,14
2009-11,12
2009-12,12
2010-01,14
2010-02,18
2010-03,16
2010-04,12
2010-05,15
2010-06,11
2010-07,17
2010-08,18
2010-09,14
2010-10,15
2010-11,13
2010-12,12
2011-01,15
2011-02,19
2011-03,14
2011-04,15
2011-05,15
2011-06,14
2011-07,11
2011-08,16
2011-09,13
2011-10,15
2011-11,15
2011-12,17
2012-01,16
2012-02,20
2012-03,17
2012-04,21
2012-05,17
2012-06,24
2012-07,22
2012-08,24
2012-09,26
2012-10,26
2012-11,23
2012-12,28
2013-01,26
2013-02,24
2013-03,27
2013-04,22
2013-05,21
2013-06,24
2013-07,23
2013-08,26
2013-09,29
2013-10,22
2013-11,35
2013-12,31
2014-01,33
2014-02,33
2014-03,35
2014-04,34
2014-05,31
2014-06,56
2014-07,46
2014-08,36
2014-09,39
2014-10,38
2014-11,37
2014-12,35
2015-01,36
2015-02,37
2015-03,44
2015-04,39
2015-05,42
2015-06,36
2015-07,35
2015-08,41
2015-09,46
2015-10,47
2015-11,20
2015-12,21
2016-01,26
2016-02,20
2016-03,21
2016-04,24
2016-05,18
2016-06,20
2016-07,22
2016-08,20
2016-09,22
2016-10,21
2016-11,23
2016-12,21
2017-01,27
2017-02,24
2017-03,25
2017-04,24
2017-05,26
2017-06,24
2017-07,25
2017-08,28
2017-09,26
2017-10,23
2017-11,22
2017-12,23
2018-01,23
2018-02,25
2018-03,27
2018-04,27
2018-05,22
2018-06,28
2018-07,25
2018-08,30
2018-09,28
2018-10,33
2018-11,30
2018-12,31
2019-01,28
2019-02,28
2019-03,29
2019-04,28
2019-05,21
2019-06,23
2019-07,27
2019-08,28
2019-09,25
2019-10,22
2019-11,25
2019-12,21
2020-01,26
2020-02,21
2020-03,42
2020-04,72
2020-05,77
2020-06,71
2020-07,93
2020-08,100
2020-09,92
2020-10,87
2020-11,75
2020-12,77
2021-01,92
2021-02,83
2021-03,76
2021-04,73
2021-05,72
2021-06,81
2021-07,73
2021-08,72
2021-09,68
2021-10,70
2021-11,65
2021-12,69
2022-01,75
2022-02,66
2022-03,79
2022-04,79
2022-05,69
2022-06,68
2022-07,77
2022-08,66
2022-09,67
2022-10,63
2022-11,66
2022-12,62
2023-01,73
2023-02,59
2023-03,64
2023-04,63
2023-05,58
2023-06,63
2023-07,60
2023-08,58
2023-09,61
2023-10,60
2023-11,55
2023-12,58
2024-01,61
2024-02,63
2024-03,64
2024-04,61
2024-05,61
2024-06,65
2024-07,64
2024-08,63
2024-09,63
2024-10,57
2024-11,62
2024-12,56
2025-01,55
2025-02,61
