Category: All categories

Month,Disappointed Black Guy: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,45
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,43
2013-01,43
2013-02,0
2013-03,51
2013-04,49
2013-05,40
2013-06,0
2013-07,0
2013-08,42
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,36
2014-11,33
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,31
2015-05,44
2015-06,0
2015-07,0
2015-08,0
2015-09,29
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,30
2016-04,36
2016-05,38
2016-06,0
2016-07,56
2016-08,0
2016-09,45
2016-10,32
2016-11,64
2016-12,0
2017-01,39
2017-02,42
2017-03,40
2017-04,41
2017-05,0
2017-06,54
2017-07,33
2017-08,36
2017-09,49
2017-10,36
2017-11,43
2017-12,38
2018-01,61
2018-02,62
2018-03,39
2018-04,49
2018-05,69
2018-06,55
2018-07,66
2018-08,57
2018-09,31
2018-10,47
2018-11,58
2018-12,53
2019-01,64
2019-02,55
2019-03,52
2019-04,67
2019-05,47
2019-06,45
2019-07,68
2019-08,71
2019-09,42
2019-10,65
2019-11,59
2019-12,74
2020-01,81
2020-02,74
2020-03,98
2020-04,78
2020-05,96
2020-06,92
2020-07,65
2020-08,89
2020-09,84
2020-10,78
2020-11,62
2020-12,70
2021-01,71
2021-02,59
2021-03,85
2021-04,61
2021-05,100
2021-06,93
2021-07,57
2021-08,62
2021-09,51
2021-10,39
2021-11,55
2021-12,49
2022-01,69
2022-02,40
2022-03,83
2022-04,52
2022-05,66
2022-06,65
2022-07,58
2022-08,59
2022-09,57
2022-10,66
2022-11,36
2022-12,48
2023-01,67
2023-02,58
2023-03,53
2023-04,50
2023-05,41
2023-06,52
2023-07,35
2023-08,43
2023-09,50
2023-10,36
2023-11,36
2023-12,48
2024-01,44
2024-02,50
2024-03,48
2024-04,59
2024-05,35
2024-06,47
2024-07,34
2024-08,49
2024-09,46
2024-10,55
2024-11,37
2024-12,69
2025-01,34
2025-02,32
