Category: All categories

Month,What Do We Want: (Worldwide)
2004-01,0
2004-02,13
2004-03,15
2004-04,9
2004-05,9
2004-06,13
2004-07,8
2004-08,10
2004-09,12
2004-10,11
2004-11,13
2004-12,12
2005-01,12
2005-02,17
2005-03,13
2005-04,15
2005-05,14
2005-06,9
2005-07,17
2005-08,11
2005-09,13
2005-10,16
2005-11,16
2005-12,11
2006-01,13
2006-02,16
2006-03,14
2006-04,13
2006-05,14
2006-06,13
2006-07,13
2006-08,12
2006-09,13
2006-10,12
2006-11,12
2006-12,15
2007-01,13
2007-02,14
2007-03,14
2007-04,13
2007-05,13
2007-06,15
2007-07,11
2007-08,13
2007-09,12
2007-10,16
2007-11,14
2007-12,18
2008-01,18
2008-02,18
2008-03,17
2008-04,15
2008-05,18
2008-06,16
2008-07,18
2008-08,19
2008-09,18
2008-10,19
2008-11,19
2008-12,18
2009-01,20
2009-02,21
2009-03,20
2009-04,20
2009-05,15
2009-06,18
2009-07,17
2009-08,18
2009-09,18
2009-10,20
2009-11,21
2009-12,18
2010-01,21
2010-02,22
2010-03,23
2010-04,26
2010-05,26
2010-06,24
2010-07,23
2010-08,19
2010-09,22
2010-10,25
2010-11,24
2010-12,21
2011-01,27
2011-02,28
2011-03,40
2011-04,33
2011-05,28
2011-06,24
2011-07,23
2011-08,28
2011-09,27
2011-10,28
2011-11,35
2011-12,26
2012-01,27
2012-02,27
2012-03,26
2012-04,27
2012-05,29
2012-06,26
2012-07,26
2012-08,25
2012-09,28
2012-10,28
2012-11,32
2012-12,31
2013-01,28
2013-02,30
2013-03,28
2013-04,28
2013-05,27
2013-06,27
2013-07,28
2013-08,30
2013-09,30
2013-10,33
2013-11,31
2013-12,31
2014-01,31
2014-02,33
2014-03,30
2014-04,30
2014-05,30
2014-06,27
2014-07,26
2014-08,26
2014-09,27
2014-10,28
2014-11,27
2014-12,32
2015-01,27
2015-02,29
2015-03,29
2015-04,30
2015-05,30
2015-06,29
2015-07,28
2015-08,30
2015-09,31
2015-10,31
2015-11,32
2015-12,30
2016-01,33
2016-02,34
2016-03,34
2016-04,34
2016-05,33
2016-06,29
2016-07,33
2016-08,27
2016-09,33
2016-10,33
2016-11,35
2016-12,31
2017-01,32
2017-02,34
2017-03,32
2017-04,34
2017-05,34
2017-06,28
2017-07,28
2017-08,29
2017-09,33
2017-10,35
2017-11,34
2017-12,29
2018-01,27
2018-02,33
2018-03,33
2018-04,34
2018-05,32
2018-06,28
2018-07,28
2018-08,28
2018-09,32
2018-10,35
2018-11,32
2018-12,29
2019-01,30
2019-02,37
2019-03,36
2019-04,36
2019-05,36
2019-06,34
2019-07,30
2019-08,30
2019-09,35
2019-10,39
2019-11,36
2019-12,34
2020-01,31
2020-02,37
2020-03,38
2020-04,52
2020-05,51
2020-06,45
2020-07,42
2020-08,41
2020-09,68
2020-10,68
2020-11,56
2020-12,53
2021-01,49
2021-02,56
2021-03,65
2021-04,55
2021-05,59
2021-06,53
2021-07,48
2021-08,52
2021-09,71
2021-10,76
2021-11,69
2021-12,60
2022-01,70
2022-02,95
2022-03,100
2022-04,87
2022-05,82
2022-06,77
2022-07,62
2022-08,64
2022-09,89
2022-10,87
2022-11,83
2022-12,84
2023-01,77
2023-02,89
2023-03,91
2023-04,84
2023-05,89
2023-06,70
2023-07,53
2023-08,56
2023-09,75
2023-10,75
2023-11,74
2023-12,66
2024-01,69
2024-02,82
2024-03,80
2024-04,82
2024-05,73
2024-06,64
2024-07,54
2024-08,61
2024-09,85
2024-10,85
2024-11,88
2024-12,80
2025-01,77
2025-02,93
