Category: All categories

Month,Flex Tape: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,6
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,7
2005-08,0
2005-09,4
2005-10,5
2005-11,0
2005-12,0
2006-01,4
2006-02,3
2006-03,0
2006-04,0
2006-05,0
2006-06,3
2006-07,0
2006-08,4
2006-09,3
2006-10,2
2006-11,3
2006-12,0
2007-01,3
2007-02,3
2007-03,2
2007-04,3
2007-05,3
2007-06,0
2007-07,3
2007-08,3
2007-09,3
2007-10,3
2007-11,3
2007-12,3
2008-01,3
2008-02,4
2008-03,2
2008-04,3
2008-05,2
2008-06,2
2008-07,3
2008-08,3
2008-09,4
2008-10,4
2008-11,3
2008-12,4
2009-01,3
2009-02,3
2009-03,3
2009-04,2
2009-05,3
2009-06,3
2009-07,3
2009-08,3
2009-09,2
2009-10,3
2009-11,3
2009-12,3
2010-01,3
2010-02,3
2010-03,3
2010-04,2
2010-05,3
2010-06,2
2010-07,3
2010-08,2
2010-09,3
2010-10,3
2010-11,3
2010-12,3
2011-01,4
2011-02,3
2011-03,3
2011-04,2
2011-05,3
2011-06,3
2011-07,2
2011-08,4
2011-09,3
2011-10,3
2011-11,3
2011-12,3
2012-01,3
2012-02,3
2012-03,3
2012-04,3
2012-05,3
2012-06,3
2012-07,3
2012-08,3
2012-09,3
2012-10,2
2012-11,3
2012-12,3
2013-01,3
2013-02,3
2013-03,3
2013-04,4
2013-05,3
2013-06,3
2013-07,3
2013-08,3
2013-09,3
2013-10,3
2013-11,3
2013-12,3
2014-01,3
2014-02,3
2014-03,4
2014-04,4
2014-05,3
2014-06,3
2014-07,4
2014-08,4
2014-09,4
2014-10,4
2014-11,4
2014-12,4
2015-01,4
2015-02,4
2015-03,4
2015-04,4
2015-05,4
2015-06,3
2015-07,4
2015-08,4
2015-09,3
2015-10,4
2015-11,3
2015-12,3
2016-01,3
2016-02,3
2016-03,4
2016-04,4
2016-05,3
2016-06,3
2016-07,3
2016-08,4
2016-09,4
2016-10,4
2016-11,3
2016-12,4
2017-01,85
2017-02,69
2017-03,54
2017-04,59
2017-05,57
2017-06,53
2017-07,53
2017-08,45
2017-09,45
2017-10,49
2017-11,46
2017-12,43
2018-01,37
2018-02,37
2018-03,44
2018-04,45
2018-05,57
2018-06,64
2018-07,79
2018-08,75
2018-09,97
2018-10,90
2018-11,80
2018-12,100
2019-01,65
2019-02,50
2019-03,47
2019-04,48
2019-05,47
2019-06,52
2019-07,50
2019-08,49
2019-09,50
2019-10,50
2019-11,45
2019-12,42
2020-01,42
2020-02,50
2020-03,49
2020-04,47
2020-05,69
2020-06,77
2020-07,65
2020-08,50
2020-09,43
2020-10,39
2020-11,36
2020-12,35
2021-01,36
2021-02,35
2021-03,33
2021-04,37
2021-05,42
2021-06,47
2021-07,45
2021-08,40
2021-09,33
2021-10,34
2021-11,31
2021-12,32
2022-01,31
2022-02,28
2022-03,30
2022-04,35
2022-05,39
2022-06,40
2022-07,37
2022-08,32
2022-09,32
2022-10,32
2022-11,25
2022-12,30
2023-01,32
2023-02,28
2023-03,28
2023-04,29
2023-05,31
2023-06,38
2023-07,36
2023-08,33
2023-09,28
2023-10,32
2023-11,25
2023-12,22
2024-01,24
2024-02,23
2024-03,24
2024-04,27
2024-05,31
2024-06,37
2024-07,33
2024-08,27
2024-09,25
2024-10,28
2024-11,23
2024-12,21
2025-01,21
2025-02,21
