Category: All categories

Month,Free: (Worldwide)
2004-01,93
2004-02,93
2004-03,90
2004-04,91
2004-05,91
2004-06,89
2004-07,92
2004-08,88
2004-09,88
2004-10,87
2004-11,88
2004-12,95
2005-01,92
2005-02,90
2005-03,87
2005-04,85
2005-05,86
2005-06,84
2005-07,87
2005-08,84
2005-09,81
2005-10,85
2005-11,81
2005-12,100
2006-01,84
2006-02,83
2006-03,80
2006-04,79
2006-05,80
2006-06,81
2006-07,81
2006-08,76
2006-09,77
2006-10,78
2006-11,77
2006-12,80
2007-01,73
2007-02,77
2007-03,73
2007-04,74
2007-05,68
2007-06,74
2007-07,75
2007-08,71
2007-09,69
2007-10,71
2007-11,72
2007-12,77
2008-01,73
2008-02,76
2008-03,73
2008-04,72
2008-05,71
2008-06,75
2008-07,77
2008-08,75
2008-09,71
2008-10,71
2008-11,75
2008-12,79
2009-01,74
2009-02,77
2009-03,75
2009-04,76
2009-05,78
2009-06,77
2009-07,77
2009-08,79
2009-09,76
2009-10,76
2009-11,79
2009-12,82
2010-01,81
2010-02,79
2010-03,78
2010-04,79
2010-05,75
2010-06,80
2010-07,84
2010-08,79
2010-09,72
2010-10,78
2010-11,75
2010-12,76
2011-01,79
2011-02,75
2011-03,72
2011-04,74
2011-05,71
2011-06,74
2011-07,71
2011-08,72
2011-09,72
2011-10,71
2011-11,70
2011-12,76
2012-01,70
2012-02,70
2012-03,71
2012-04,71
2012-05,68
2012-06,70
2012-07,71
2012-08,70
2012-09,69
2012-10,66
2012-11,66
2012-12,70
2013-01,67
2013-02,66
2013-03,65
2013-04,65
2013-05,62
2013-06,63
2013-07,64
2013-08,64
2013-09,60
2013-10,61
2013-11,61
2013-12,62
2014-01,59
2014-02,62
2014-03,57
2014-04,58
2014-05,54
2014-06,56
2014-07,56
2014-08,56
2014-09,52
2014-10,52
2014-11,51
2014-12,54
2015-01,52
2015-02,50
2015-03,51
2015-04,49
2015-05,48
2015-06,46
2015-07,48
2015-08,50
2015-09,47
2015-10,45
2015-11,44
2015-12,46
2016-01,43
2016-02,42
2016-03,40
2016-04,40
2016-05,39
2016-06,42
2016-07,43
2016-08,41
2016-09,39
2016-10,38
2016-11,37
2016-12,38
2017-01,35
2017-02,36
2017-03,37
2017-04,37
2017-05,36
2017-06,36
2017-07,38
2017-08,35
2017-09,35
2017-10,36
2017-11,35
2017-12,36
2018-01,33
2018-02,35
2018-03,33
2018-04,32
2018-05,30
2018-06,33
2018-07,32
2018-08,31
2018-09,31
2018-10,29
2018-11,31
2018-12,32
2019-01,31
2019-02,30
2019-03,32
2019-04,31
2019-05,29
2019-06,32
2019-07,32
2019-08,32
2019-09,30
2019-10,30
2019-11,30
2019-12,30
2020-01,30
2020-02,29
2020-03,31
2020-04,34
2020-05,32
2020-06,30
2020-07,32
2020-08,29
2020-09,30
2020-10,30
2020-11,29
2020-12,29
2021-01,28
2021-02,27
2021-03,27
2021-04,28
2021-05,29
2021-06,27
2021-07,27
2021-08,30
2021-09,28
2021-10,28
2021-11,27
2021-12,27
2022-01,29
2022-02,28
2022-03,28
2022-04,27
2022-05,28
2022-06,26
2022-07,27
2022-08,26
2022-09,26
2022-10,25
2022-11,24
2022-12,24
2023-01,26
2023-02,26
2023-03,26
2023-04,25
2023-05,25
2023-06,26
2023-07,26
2023-08,26
2023-09,27
2023-10,25
2023-11,26
2023-12,27
2024-01,28
2024-02,25
2024-03,28
2024-04,28
2024-05,27
2024-06,27
2024-07,28
2024-08,28
2024-09,28
2024-10,28
2024-11,28
2024-12,30
2025-01,30
2025-02,30
